地点名,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
札幌,5/8,5/8,5/1,5/21,5/8,5/9,5/9,5/7,5/4,4/29,5/7,5/10,5/10,5/9,5/3,5/12,5/5,4/26,5/8,5/11,5/5,4/25,5/4,5/9,5/16,5/12,5/8,4/25,5/4,5/14,5/12,5/2,5/17,5/1,4/26,5/1,5/3,4/29,4/29
室蘭,5/10,5/14,5/4,5/30,5/18,5/12,5/13,5/12,5/7,5/2,5/7,5/12,5/9,5/9,5/9,5/20,5/6,5/3,5/13,5/17,5/14,4/28,5/6,5/8,5/20,5/16,5/12,5/2,5/7,5/18,5/13,5/14,5/21,5/5,5/1,5/2,5/4,5/1,5/4
江差,5/8,5/6,4/27,5/21,5/8,5/8,5/9,5/7,4/27,4/26,5/5,5/2,5/5,-,5/1,5/9,5/3,4/24,5/2,5/7,5/4,4/21,5/3,5/5,5/12,5/10,5/6,-,-,-,-,-,-,-,-,-,-,-,-
函館,5/6,5/9,4/30,5/27,5/9,5/8,5/8,5/6,5/1,4/26,5/2,5/2,5/2,5/5,5/3,5/11,5/1,4/24,5/2,5/8,5/3,4/21,5/2,4/30,5/5,5/12,5/4,4/26,5/1,5/10,5/6,5/5,5/12,5/1,4/24,4/26,4/30,4/28,4/29
新庄,5/2,4/26,4/23,5/11,4/29,4/30,4/27,4/30,4/19,4/17,4/22,4/24,4/26,4/25,4/25,4/30,4/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
青森,5/1,5/4,4/25,5/18,5/3,5/5,5/1,5/1,4/20,4/23,4/30,4/27,4/28,4/27,4/28,5/3,4/27,4/20,4/30,5/3,4/27,4/16,4/27,4/21,5/2,5/6,4/29,4/21,4/22,5/2,4/28,5/1,5/6,4/25,4/19,4/21,4/21,4/22,4/22
八戸,4/28,5/1,4/23,5/23,5/1,5/2,4/28,4/30,4/19,4/18,4/25,4/24,4/26,4/26,4/25,5/2,4/28,4/19,4/27,4/30,4/24,4/16,4/25,4/19,4/29,5/2,4/29,-,-,-,-,-,-,-,-,-,-,-,-
秋田,4/27,4/24,4/19,5/5,4/23,4/25,4/21,4/28,4/15,4/13,4/22,4/22,4/24,4/24,4/23,4/30,4/22,4/16,4/20,4/25,4/18,4/12,4/21,4/16,4/28,4/26,4/23,4/15,4/19,4/28,4/27,4/26,4/29,4/24,4/15,4/19,4/19,4/20,4/20
盛岡,4/28,4/26,4/22,5/9,4/29,5/1,4/30,4/30,4/18,4/21,4/24,4/26,4/27,4/25,4/28,5/1,4/28,4/16,4/23,4/29,4/18,4/16,4/21,4/17,4/27,4/30,4/29,4/17,4/18,5/2,4/29,4/28,5/2,4/21,4/16,4/18,4/24,4/20,4/22
宮古,4/25,4/25,4/21,5/19,4/26,4/28,4/22,4/27,4/17,4/15,4/21,4/24,4/23,4/22,4/25,4/28,4/26,4/19,4/20,4/27,4/17,4/13,4/19,4/14,4/24,4/28,4/27,-,-,-,-,-,-,-,-,-,-,-,-
