É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:32:04

,éDñy,éDñy,éDñy
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1981/12/1,-3.8,-1.4,-6.0
1981/12/2,-3.5,0.1,-6.0
1981/12/3,-3.8,-1.2,-7.4
1981/12/4,1.7,5.3,-2.0
1981/12/5,1.1,6.0,-1.0
1981/12/6,-0.4,1.1,-1.6
1981/12/7,0.0,2.3,-4.0
1981/12/8,0.1,2.6,-2.0
1981/12/9,0.3,1.6,-1.4
1981/12/10,0.9,2.2,-1.1
1981/12/11,2.8,5.9,-1.1
1981/12/12,4.2,8.3,0.5
1981/12/13,0.1,2.5,-2.1
1981/12/14,-2.1,0.8,-3.9
1981/12/15,2.6,4.4,-0.6
1981/12/16,0.3,2.2,-1.6
1981/12/17,0.7,3.3,-2.1
1981/12/18,-0.8,1.1,-2.2
1981/12/19,1.5,5.4,-0.8
1981/12/20,0.3,1.7,-1.0
1981/12/21,0.6,3.5,-3.2
1981/12/22,3.4,8.7,-3.9
1981/12/23,4.1,7.7,-0.6
1981/12/24,-4.8,-0.6,-6.6
1981/12/25,-2.7,0.1,-6.1
1981/12/26,0.7,4.0,-3.8
1981/12/27,1.3,5.0,-4.0
1981/12/28,-0.7,3.1,-4.1
1981/12/29,-2.5,1.3,-5.4
1981/12/30,-1.9,1.7,-6.8
1981/12/31,-5.1,-0.9,-10.6
1982/1/1,-3.1,-1.0,-6.2
1982/1/2,-4.4,-1.5,-6.1
1982/1/3,-2.8,-0.5,-5.1
1982/1/4,2.5,5.6,-1.8
1982/1/5,-1.1,2.4,-5.7
1982/1/6,-5.4,-3.8,-7.5
1982/1/7,-5.6,-3.5,-8.0
1982/1/8,-3.2,0.4,-8.3
1982/1/9,1.6,4.7,-1.7
1982/1/10,-3.5,-0.2,-6.7
1982/1/11,-0.7,2.5,-5.7
1982/1/12,1.0,7.0,-4.1
1982/1/13,-6.0,-3.0,-7.8
1982/1/14,-7.4,-4.4,-11.3
1982/1/15,-9.7,-7.9,-12.1
1982/1/16,-7.0,-1.3,-12.8
1982/1/17,-7.5,-3.2,-13.4
1982/1/18,-4.2,-2.2,-6.0
1982/1/19,-4.1,-0.8,-7.0
1982/1/20,-5.6,-3.4,-9.3
1982/1/21,-3.0,0.8,-5.6
1982/1/22,-4.3,-1.6,-7.7
1982/1/23,-4.1,-1.2,-7.0
1982/1/24,-2.0,0.2,-3.7
1982/1/25,-5.7,-3.4,-8.5
1982/1/26,-8.5,-5.9,-12.4
1982/1/27,-7.8,-3.9,-13.0
1982/1/28,-6.5,-5.2,-9.8
1982/1/29,-6.0,-4.0,-8.4
1982/1/30,-7.3,-3.9,-9.9
1982/1/31,-6.0,-3.4,-10.0
1982/2/1,-8.2,-5.2,-10.9
1982/2/2,-9.1,-5.5,-14.7
1982/2/3,-3.9,-0.1,-6.5
1982/2/4,-8.1,-5.9,-9.6
1982/2/5,-10.8,-8.0,-12.6
1982/2/6,-11.3,-7.5,-16.4
1982/2/7,-9.0,-6.2,-12.1
1982/2/8,-8.1,-3.8,-12.9
1982/2/9,-7.4,-3.0,-12.0
1982/2/10,-4.9,-1.0,-10.0
1982/2/11,-4.9,-2.5,-9.9
1982/2/12,-2.8,0.1,-4.2
1982/2/13,-5.9,-2.6,-9.9
1982/2/14,-6.1,-1.3,-11.1
1982/2/15,-4.2,0.5,-9.8
1982/2/16,-2.6,0.4,-7.1
1982/2/17,-1.4,1.5,-4.2
1982/2/18,-1.0,1.6,-3.0
1982/2/19,-0.9,2.2,-6.1
1982/2/20,0.1,1.7,-0.8
1982/2/21,1.0,3.3,-2.1
1982/2/22,-1.4,1.1,-3.4
1982/2/23,-4.0,-1.7,-5.8
1982/2/24,-5.3,-0.2,-10.9
1982/2/25,-5.6,-3.3,-8.2
1982/2/26,-5.8,-2.7,-8.8
1982/2/27,-0.2,2.9,-6.4
1982/2/28,2.2,5.3,-1.7
1982/3/1,1.7,4.3,-1.3
1982/3/2,0.3,3.3,-2.5
1982/3/3,-1.4,1.0,-6.0
1982/3/4,1.9,4.4,-3.0
1982/3/5,2.0,5.0,-0.9
1982/3/6,-3.2,2.8,-5.3
1982/3/7,-4.4,-1.6,-6.7
1982/3/8,-1.9,1.4,-7.4
1982/3/9,-1.4,3.0,-5.8
1982/3/10,0.7,5.2,-3.9
1982/3/11,-0.6,2.7,-4.2
1982/3/12,-0.1,3.6,-5.8
1982/3/13,0.7,3.6,-1.6
1982/3/14,1.0,4.1,-5.1
1982/3/15,4.3,7.0,1.3
1982/3/16,3.6,8.3,-0.5
1982/3/17,-0.8,1.4,-1.9
1982/3/18,-1.2,1.5,-3.3
1982/3/19,0.1,2.5,-2.2
1982/3/20,0.2,4.4,-5.4
1982/3/21,1.0,1.9,0.3
1982/3/22,1.7,4.0,-2.1
1982/3/23,1.4,4.6,-2.1
1982/3/24,1.3,2.9,0.0
1982/3/25,0.0,1.3,-1.9
1982/3/26,-1.3,0.9,-2.8
1982/3/27,-0.6,3.0,-5.6
1982/3/28,0.6,4.4,-2.7
1982/3/29,5.1,10.4,-3.4
1982/3/30,8.3,12.9,4.4
1982/3/31,4.0,9.8,1.2
