ダウンロードした時刻：2019/10/10 15:33:04

,室蘭,室蘭,室蘭
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/12/1,10.0,12.7,7.4
1990/12/2,7.5,11.4,4.0
1990/12/3,1.3,4.9,-1.2
1990/12/4,2.9,4.5,0.7
1990/12/5,7.6,9.9,4.3
1990/12/6,9.5,11.0,6.9
1990/12/7,9.4,11.7,5.9
1990/12/8,6.5,8.8,3.2
1990/12/9,7.8,9.9,5.7
1990/12/10,4.9,7.1,2.7
1990/12/11,2.3,4.1,1.0
1990/12/12,3.0,5.3,0.0
1990/12/13,3.5,5.4,1.7
1990/12/14,6.1,9.4,2.6
1990/12/15,-1.8,3.7,-3.4
1990/12/16,-1.5,0.1,-3.6
1990/12/17,-0.3,2.6,-4.8
1990/12/18,2.2,4.9,-0.5
1990/12/19,1.1,3.3,-0.8
1990/12/20,2.8,5.1,1.1
1990/12/21,6.0,8.4,2.6
1990/12/22,7.5,9.9,5.7
1990/12/23,2.7,6.8,-0.1
1990/12/24,-1.0,0.9,-2.4
1990/12/25,0.1,1.6,-2.3
1990/12/26,1.7,3.2,-1.6
1990/12/27,1.6,2.9,0.6
1990/12/28,0.4,2.1,-0.9
1990/12/29,-0.3,1.4,-2.4
1990/12/30,-0.1,1.3,-1.9
1990/12/31,1.4,3.3,-1.3
1991/1/1,1.1,2.4,-1.3
1991/1/2,1.6,4.2,-1.4
1991/1/3,-3.6,-1.2,-5.1
1991/1/4,-4.2,-3.1,-5.3
1991/1/5,-1.7,-0.2,-4.5
1991/1/6,-0.5,1.6,-2.3
1991/1/7,0.0,1.9,-1.1
1991/1/8,0.5,1.6,-1.1
1991/1/9,1.6,3.6,-0.1
1991/1/10,1.0,2.0,0.1
1991/1/11,0.9,2.2,0.0
1991/1/12,0.5,3.1,-0.9
1991/1/13,2.2,5.2,-1.4
1991/1/14,2.0,4.5,0.4
1991/1/15,0.5,2.1,-1.1
1991/1/16,-1.0,0.0,-2.0
1991/1/17,1.8,5.0,-2.8
1991/1/18,0.2,2.1,-1.5
1991/1/19,1.7,3.9,-1.4
1991/1/20,3.5,5.3,2.1
1991/1/21,1.4,3.0,-1.7
1991/1/22,-2.0,0.7,-4.5
1991/1/23,-3.2,-1.3,-5.1
1991/1/24,0.1,1.7,-1.6
1991/1/25,3.3,5.6,0.0
1991/1/26,3.3,5.1,0.8
1991/1/27,0.5,1.4,-0.6
1991/1/28,-0.5,2.3,-3.0
1991/1/29,-1.2,1.2,-3.4
1991/1/30,-1.7,1.1,-4.1
1991/1/31,-0.5,1.9,-2.7
1991/2/1,-0.4,0.9,-1.8
1991/2/2,-1.0,1.3,-2.9
1991/2/3,-0.9,0.7,-2.1
1991/2/4,-1.5,0.2,-3.4
1991/2/5,-1.7,1.0,-4.5
1991/2/6,-1.1,0.8,-2.0
1991/2/7,-0.6,1.0,-2.0
1991/2/8,-1.3,1.2,-2.9
1991/2/9,-0.4,1.5,-3.3
1991/2/10,0.9,3.4,-0.9
1991/2/11,0.9,3.0,-1.2
1991/2/12,-1.5,1.0,-2.9
1991/2/13,-0.9,1.4,-3.7
1991/2/14,0.9,3.1,-2.1
1991/2/15,0.7,3.1,-1.8
1991/2/16,-1.1,0.6,-2.1
1991/2/17,-2.7,-0.5,-5.7
1991/2/18,-5.3,-3.1,-7.1
1991/2/19,-6.5,-3.9,-8.4
1991/2/20,-4.9,-1.7,-9.6
1991/2/21,-1.9,-0.6,-3.2
1991/2/22,-2.2,1.9,-3.6
1991/2/23,-4.1,-1.8,-5.5
1991/2/24,-4.8,-2.5,-6.2
1991/2/25,-3.3,-0.5,-7.1
1991/2/26,-0.9,1.5,-3.2
1991/2/27,2.9,4.6,1.4
1991/2/28,1.3,3.9,-2.5
1991/3/1,-3.5,-1.8,-4.6
1991/3/2,-2.5,-0.7,-4.2
1991/3/3,-0.5,1.3,-3.3
1991/3/4,3.7,6.0,0.8
1991/3/5,3.6,5.3,1.3
1991/3/6,1.6,4.8,-2.5
1991/3/7,-2.0,0.0,-3.8
1991/3/8,-1.9,0.9,-4.0
1991/3/9,-2.1,-1.0,-3.7
1991/3/10,-0.1,2.4,-2.3
1991/3/11,0.7,2.9,-2.3
1991/3/12,-0.4,3.9,-3.9
1991/3/13,-3.8,-1.7,-5.5
1991/3/14,-3.7,-1.5,-5.3
1991/3/15,-3.1,-0.8,-5.7
1991/3/16,0.3,2.7,-2.4
1991/3/17,1.0,4.0,-1.0
1991/3/18,2.4,5.0,-0.2
1991/3/19,5.4,7.6,2.7
1991/3/20,4.1,9.4,-1.5
1991/3/21,-1.0,1.3,-3.7
1991/3/22,1.8,5.4,-0.7
1991/3/23,3.7,5.4,0.7
1991/3/24,4.6,8.6,2.2
1991/3/25,4.1,9.8,1.1
1991/3/26,2.7,6.1,-0.5
1991/3/27,-0.4,1.9,-1.6
1991/3/28,0.8,2.5,-1.0
1991/3/29,2.9,5.5,0.6
1991/3/30,3.0,4.5,0.9
1991/3/31,3.2,5.8,1.1
