ダウンロードした時刻：2019/10/10 15:34:11

,江差,江差,江差
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2005/12/1,4.1,6.1,1.3
2005/12/2,1.8,6.1,-2.1
2005/12/3,-0.8,1.3,-2.8
2005/12/4,1.5,2.9,-0.8
2005/12/5,3.7,6.3,1.2
2005/12/6,1.4,5.5,-2.2
2005/12/7,1.0,6.3,-3.6
2005/12/8,2.3,4.0,-0.8
2005/12/9,2.4,5.8,-0.1
2005/12/10,-2.5,0.7,-5.5
2005/12/11,0.4,2.6,-3.9
2005/12/12,-1.0,1.0,-4.1
2005/12/13,-2.3,1.3,-6.5
2005/12/14,-2.1,0.5,-4.5
2005/12/15,-0.8,1.9,-3.3
2005/12/16,-0.3,2.1,-3.6
2005/12/17,-2.7,1.1,-4.7
2005/12/18,-4.4,-0.1,-7.7
2005/12/19,-1.0,3.7,-7.1
2005/12/20,-0.3,4.0,-5.3
2005/12/21,0.4,2.8,-1.4
2005/12/22,0.1,3.4,-3.9
2005/12/23,-0.9,2.8,-5.1
2005/12/24,-0.1,2.5,-5.1
2005/12/25,1.0,4.9,-2.2
2005/12/26,0.0,3.0,-2.4
2005/12/27,-2.1,-1.0,-4.1
2005/12/28,-2.1,0.4,-3.8
2005/12/29,-2.6,-0.8,-5.2
2005/12/30,-1.6,-0.1,-4.6
2005/12/31,-2.5,0.8,-7.7
2006/1/1,0.8,2.0,-0.6
2006/1/2,2.2,5.8,-1.3
2006/1/3,0.0,2.0,-1.8
2006/1/4,-0.1,2.8,-4.5
2006/1/5,-2.3,-0.5,-4.0
2006/1/6,-3.2,-1.8,-4.9
2006/1/7,-2.7,-1.1,-4.2
2006/1/8,-2.9,-1.7,-4.4
2006/1/9,-2.3,-1.0,-3.6
2006/1/10,-1.9,0.3,-5.8
2006/1/11,-1.3,2.2,-4.7
2006/1/12,-3.1,-1.9,-4.9
2006/1/13,-2.2,0.9,-5.0
2006/1/14,1.4,4.7,-0.7
2006/1/15,1.4,4.6,-4.1
2006/1/16,1.1,4.4,-2.1
2006/1/17,-3.0,-1.2,-4.3
2006/1/18,-3.3,-2.0,-5.3
2006/1/19,-4.5,-2.0,-7.0
2006/1/20,-2.6,-1.0,-4.3
2006/1/21,-3.4,-0.8,-6.2
2006/1/22,-6.0,-4.6,-7.6
2006/1/23,-3.8,-1.1,-8.0
2006/1/24,-1.2,0.3,-3.1
2006/1/25,-0.8,0.1,-2.2
2006/1/26,-2.1,-0.4,-4.0
2006/1/27,-1.6,0.0,-6.5
2006/1/28,-1.1,2.4,-7.0
2006/1/29,1.2,2.3,-0.8
2006/1/30,1.6,4.7,-1.3
2006/1/31,-1.5,-0.7,-2.3
2006/2/1,-2.7,-1.2,-3.8
2006/2/2,-3.9,-0.1,-6.0
2006/2/3,-6.3,-3.3,-8.4
2006/2/4,-2.9,-0.5,-5.3
2006/2/5,-4.5,-2.6,-6.0
2006/2/6,-3.0,-1.7,-5.4
2006/2/7,-3.0,-0.4,-8.2
2006/2/8,-1.2,1.0,-3.4
2006/2/9,-4.0,-0.2,-7.1
2006/2/10,1.1,3.2,-2.6
2006/2/11,-3.6,-1.4,-5.5
2006/2/12,-4.9,-2.3,-6.9
2006/2/13,2.7,4.7,-2.6
2006/2/14,4.7,6.9,1.6
2006/2/15,2.2,4.6,-0.2
2006/2/16,1.0,2.9,-2.2
2006/2/17,-4.4,3.0,-7.3
2006/2/18,-0.7,2.7,-4.6
2006/2/19,2.6,4.9,-0.7
2006/2/20,4.2,8.2,-0.9
2006/2/21,3.7,8.1,0.1
2006/2/22,4.9,8.1,0.0
2006/2/23,0.5,5.1,-2.5
2006/2/24,-0.6,0.8,-2.8
2006/2/25,0.5,2.3,-4.7
2006/2/26,4.7,9.1,1.2
2006/2/27,-2.7,2.2,-4.6
2006/2/28,-1.6,-0.6,-2.7
2006/3/1,-0.3,1.3,-2.4
2006/3/2,1.3,3.9,-0.7
2006/3/3,0.2,1.9,-1.4
2006/3/4,2.8,4.7,0.5
2006/3/5,5.4,7.5,1.8
2006/3/6,1.9,7.3,-1.4
2006/3/7,0.6,3.3,-1.5
2006/3/8,1.5,4.0,0.1
2006/3/9,0.2,1.8,-3.1
2006/3/10,3.2,9.9,-4.1
2006/3/11,5.3,9.6,1.7
2006/3/12,-0.8,3.1,-5.1
2006/3/13,-4.2,-3.1,-5.2
2006/3/14,-1.7,-0.2,-4.6
2006/3/15,3.9,7.0,-1.6
2006/3/16,6.4,8.5,4.1
2006/3/17,5.8,9.7,3.0
2006/3/18,6.4,9.9,1.7
2006/3/19,2.5,8.2,-1.0
2006/3/20,1.5,3.3,-0.8
2006/3/21,2.8,4.5,1.6
2006/3/22,4.6,6.5,1.4
2006/3/23,4.4,9.9,-0.9
2006/3/24,2.7,4.3,1.1
2006/3/25,4.7,7.5,2.1
2006/3/26,5.2,10.8,1.4
2006/3/27,2.7,5.6,-1.8
2006/3/28,6.0,11.7,-1.6
2006/3/29,3.3,7.2,0.6
2006/3/30,2.9,4.9,0.5
2006/3/31,3.7,6.1,2.6
