ダウンロードした時刻：2019/10/10 15:34:19

,函館,函館,函館
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1984/12/1,7.9,11.1,3.6
1984/12/2,5.8,8.4,2.8
1984/12/3,5.2,10.2,1.0
1984/12/4,8.6,11.5,1.7
1984/12/5,3.9,9.7,-0.8
1984/12/6,-1.9,0.5,-4.9
1984/12/7,0.7,2.9,-1.6
1984/12/8,3.3,8.6,-0.7
1984/12/9,1.6,5.6,-1.9
1984/12/10,3.1,6.2,-2.5
1984/12/11,6.4,7.7,4.6
1984/12/12,6.4,9.4,3.5
1984/12/13,3.1,6.5,-1.2
1984/12/14,0.7,7.5,-4.8
1984/12/15,-6.2,-4.4,-7.7
1984/12/16,-3.5,-1.8,-6.3
1984/12/17,-2.2,2.2,-5.3
1984/12/18,-2.1,-0.1,-6.0
1984/12/19,-1.4,2.2,-4.3
1984/12/20,-0.7,1.7,-3.0
1984/12/21,-2.1,0.3,-4.0
1984/12/22,-6.3,-2.5,-9.1
1984/12/23,-6.5,-3.2,-11.6
1984/12/24,-9.4,-6.2,-12.5
1984/12/25,-10.0,-8.6,-12.4
1984/12/26,-8.1,-7.0,-9.3
1984/12/27,-6.2,-4.4,-8.9
1984/12/28,-5.9,-2.7,-8.8
1984/12/29,-6.2,-4.4,-8.5
1984/12/30,-5.7,-3.4,-9.9
1984/12/31,-5.4,-2.7,-7.8
1985/1/1,-5.4,-2.8,-7.1
1985/1/2,-6.9,-3.0,-11.9
1985/1/3,-5.2,-0.7,-9.7
1985/1/4,-8.3,-3.1,-11.9
1985/1/5,-9.2,-5.0,-13.9
1985/1/6,-9.2,-5.1,-13.1
1985/1/7,-7.7,-2.1,-13.7
1985/1/8,-5.5,-2.2,-10.3
1985/1/9,-4.8,-1.1,-8.5
1985/1/10,-0.6,4.0,-9.0
1985/1/11,-1.9,0.9,-5.2
1985/1/12,-0.7,2.0,-6.0
1985/1/13,-4.0,0.8,-7.3
1985/1/14,-8.1,-6.4,-9.3
1985/1/15,-5.2,-3.5,-7.9
1985/1/16,-6.1,0.3,-9.9
1985/1/17,-6.5,-3.1,-10.4
1985/1/18,-8.0,-5.2,-11.9
1985/1/19,-5.2,-1.4,-9.8
1985/1/20,0.5,2.7,-3.1
1985/1/21,-2.8,0.5,-7.9
1985/1/22,-4.3,-0.9,-9.2
1985/1/23,-4.2,-1.3,-6.7
1985/1/24,-6.3,-4.0,-8.9
1985/1/25,-7.8,-5.1,-11.1
1985/1/26,-9.6,-6.3,-12.9
1985/1/27,-7.0,-3.2,-11.7
1985/1/28,-1.2,2.8,-6.4
1985/1/29,-6.3,-1.4,-11.9
1985/1/30,-6.3,-2.7,-10.9
1985/1/31,-4.5,-1.6,-8.8
1985/2/1,-1.7,2.3,-6.2
1985/2/2,-5.6,-4.0,-7.6
1985/2/3,-3.2,0.4,-5.9
1985/2/4,-4.4,-1.0,-8.2
1985/2/5,-3.9,0.2,-10.8
1985/2/6,-0.5,4.1,-8.5
1985/2/7,-2.1,1.6,-7.0
1985/2/8,-4.6,0.9,-9.9
1985/2/9,-2.5,0.2,-9.1
1985/2/10,0.0,1.5,-0.8
1985/2/11,-2.1,-0.3,-6.2
1985/2/12,-3.2,0.1,-6.0
1985/2/13,-4.1,-0.5,-8.8
1985/2/14,-4.5,0.6,-7.9
1985/2/15,-3.9,-2.8,-7.4
1985/2/16,0.5,3.4,-3.2
1985/2/17,2.0,5.3,-0.8
1985/2/18,1.6,4.4,-1.7
1985/2/19,0.3,2.9,-2.1
1985/2/20,1.1,1.7,0.0
1985/2/21,-0.9,2.0,-5.1
1985/2/22,-2.7,-0.6,-5.8
1985/2/23,1.7,4.1,-1.5
1985/2/24,0.7,2.9,-1.3
1985/2/25,-0.6,3.5,-3.1
1985/2/26,-2.6,-0.5,-4.7
1985/2/27,-2.6,0.7,-5.5
1985/2/28,-2.9,1.2,-6.1
1985/3/1,-1.7,0.9,-7.6
1985/3/2,0.1,2.8,-2.8
1985/3/3,-2.3,2.0,-5.8
1985/3/4,-3.6,-0.4,-6.7
1985/3/5,-3.7,-1.0,-6.5
1985/3/6,-2.9,-0.1,-6.7
1985/3/7,-2.3,2.8,-7.1
1985/3/8,-0.2,2.6,-6.3
1985/3/9,0.3,3.4,-3.8
1985/3/10,-3.9,-1.6,-6.7
1985/3/11,-2.8,-1.0,-5.6
1985/3/12,-0.9,3.3,-5.1
1985/3/13,-0.4,2.5,-2.9
1985/3/14,-2.5,1.4,-6.9
1985/3/15,-1.3,3.7,-6.0
1985/3/16,0.1,4.6,-6.0
1985/3/17,1.6,6.0,-2.8
1985/3/18,2.8,6.8,-1.7
1985/3/19,1.2,5.9,-2.9
1985/3/20,1.6,7.3,-4.2
1985/3/21,3.0,7.1,-0.7
1985/3/22,-0.7,3.6,-5.0
1985/3/23,0.5,6.4,-4.9
1985/3/24,0.6,5.3,-4.8
1985/3/25,4.7,8.3,-2.1
1985/3/26,4.0,7.6,0.4
1985/3/27,1.1,4.2,-3.0
1985/3/28,1.3,2.2,0.0
1985/3/29,3.0,5.6,0.5
1985/3/30,2.2,5.6,-1.7
1985/3/31,2.0,5.1,-0.6
