ダウンロードした時刻：2017/07/24 15:36:54

,新庄,新庄,新庄
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2012/1/1,-1.2,1.3,-4.2
2012/1/2,1.1,4.0,-0.8
2012/1/3,-0.4,1.3,-1.6
2012/1/4,-1.7,0.5,-3.5
2012/1/5,-1.3,0.0,-2.8
2012/1/6,-0.6,0.8,-1.7
2012/1/7,-1.2,1.0,-3.3
2012/1/8,-1.6,0.7,-3.2
2012/1/9,-2.1,1.1,-7.1
2012/1/10,-0.1,2.6,-1.8
2012/1/11,-3.2,-0.4,-6.7
2012/1/12,-4.4,-1.7,-9.8
2012/1/13,-2.7,-0.7,-4.6
2012/1/14,-3.0,-1.3,-4.5
2012/1/15,-2.7,-1.7,-3.6
2012/1/16,-2.5,0.3,-5.4
2012/1/17,-1.9,1.9,-3.8
2012/1/18,-1.4,1.9,-7.8
2012/1/19,0.5,3.1,-1.8
2012/1/20,1.3,3.0,-0.1
2012/1/21,1.0,2.8,-0.5
2012/1/22,1.0,2.7,0.2
2012/1/23,0.0,2.8,-4.0
2012/1/24,-3.7,-0.8,-7.0
2012/1/25,-5.0,-1.2,-11.7
2012/1/26,-5.2,-3.4,-10.4
2012/1/27,-4.4,-2.6,-5.1
2012/1/28,-5.4,-3.4,-8.0
2012/1/29,-5.1,-2.9,-7.5
2012/1/30,-3.8,-2.3,-6.3
2012/1/31,-3.6,-1.9,-5.1
2012/2/1,-2.5,0.5,-9.1
2012/2/2,-3.1,0.3,-5.3
2012/2/3,-3.5,-0.1,-6.9
2012/2/4,-1.9,1.1,-3.9
2012/2/5,-1.5,1.7,-5.4
2012/2/6,-2.7,1.3,-7.5
2012/2/7,1.5,5.3,-0.3
2012/2/8,-3.8,-0.3,-5.0
2012/2/9,-4.0,-1.9,-4.9
2012/2/10,-4.1,-1.8,-6.1
2012/2/11,-3.8,-0.6,-6.1
2012/2/12,-3.4,-0.9,-5.0
2012/2/13,-1.7,2.9,-5.9
2012/2/14,-2.5,2.2,-7.3
2012/2/15,-1.6,2.8,-7.1
2012/2/16,-3.2,0.5,-7.6
2012/2/17,-4.2,-0.2,-6.2
2012/2/18,-4.3,-0.5,-6.3
2012/2/19,-3.3,0.8,-5.6
2012/2/20,-0.8,2.8,-3.8
2012/2/21,-0.6,1.7,-5.1
2012/2/22,-3.4,2.9,-9.4
2012/2/23,0.2,4.2,-5.4
2012/2/24,1.2,3.7,-2.1
2012/2/25,-0.4,0.7,-2.4
2012/2/26,-1.9,1.1,-6.3
2012/2/27,-3.5,-2.2,-5.2
2012/2/28,-3.4,1.6,-7.7
2012/2/29,-3.7,2.5,-7.7
2012/3/1,-1.2,6.3,-8.0
2012/3/2,-0.9,2.5,-5.0
2012/3/3,0.5,3.5,-2.3
2012/3/4,0.0,3.9,-4.4
2012/3/5,0.9,3.2,-1.1
2012/3/6,2.8,6.5,0.8
2012/3/7,3.8,6.4,0.9
2012/3/8,2.0,7.6,-2.3
2012/3/9,3.1,8.1,-1.3
2012/3/10,1.4,2.9,0.2
2012/3/11,2.2,5.6,0.3
2012/3/12,0.4,3.7,-1.8
2012/3/13,0.0,3.9,-2.4
2012/3/14,1.1,5.3,-6.0
2012/3/15,1.3,3.5,-1.5
2012/3/16,2.2,6.3,-2.1
2012/3/17,1.8,4.3,-0.6
2012/3/18,3.3,6.1,1.5
2012/3/19,-0.4,3.5,-2.8
2012/3/20,-0.2,1.7,-1.5
2012/3/21,1.6,4.4,-2.0
2012/3/22,4.8,8.8,-0.8
2012/3/23,4.5,8.0,0.5
2012/3/24,2.8,7.0,0.8
2012/3/25,0.8,3.9,-2.6
2012/3/26,0.4,3.5,-4.0
2012/3/27,1.5,6.1,-2.5
2012/3/28,3.2,9.3,-1.9
2012/3/29,3.9,10.2,-1.7
2012/3/30,2.9,9.4,-2.2
2012/3/31,3.1,7.6,0.4
2012/4/1,1.8,5.9,-3.3
2012/4/2,3.0,6.9,-0.2
2012/4/3,4.5,11.5,-3.1
2012/4/4,3.3,5.8,0.5
2012/4/5,2.4,8.2,-1.9
2012/4/6,1.4,5.6,-2.5
2012/4/7,0.8,4.8,-1.2
2012/4/8,2.1,7.2,-1.4
2012/4/9,5.9,14.9,0.3
2012/4/10,6.8,13.3,1.2
2012/4/11,3.9,7.5,1.1
2012/4/12,6.9,11.8,2.5
2012/4/13,6.9,12.5,1.7
2012/4/14,5.5,12.5,0.1
2012/4/15,6.3,14.6,-0.9
2012/4/16,6.0,13.6,-0.9
2012/4/17,7.1,14.6,2.3
2012/4/18,8.4,15.8,4.1
2012/4/19,10.0,17.7,2.8
2012/4/20,9.5,13.6,5.3
2012/4/21,8.6,13.3,4.2
2012/4/22,9.1,11.6,6.3
2012/4/23,10.3,12.5,8.1
2012/4/24,10.1,14.5,6.6
2012/4/25,11.2,20.2,5.9
2012/4/26,14.0,18.9,10.0
2012/4/27,11.4,13.8,8.3
2012/4/28,12.1,22.3,6.4
2012/4/29,14.3,26.5,4.2
2012/4/30,14.6,23.6,6.7
2012/5/1,17.3,25.5,7.3
