ダウンロードした時刻：2019/10/10 15:35:30

,八戸,八戸,八戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1984/12/1,9.1,14.0,3.4
1984/12/2,6.6,11.1,3.2
1984/12/3,6.3,9.8,2.9
1984/12/4,6.2,12.5,0.8
1984/12/5,7.2,15.0,3.1
1984/12/6,-0.1,3.6,-2.3
1984/12/7,1.9,5.3,-1.1
1984/12/8,4.6,9.4,-1.3
1984/12/9,2.7,7.0,-1.5
1984/12/10,2.7,7.1,-1.9
1984/12/11,7.0,8.8,3.9
1984/12/12,7.3,8.3,5.4
1984/12/13,4.9,7.9,1.4
1984/12/14,3.3,10.1,-2.0
1984/12/15,-2.5,-0.9,-4.7
1984/12/16,-1.1,1.6,-2.9
1984/12/17,1.1,5.4,-2.4
1984/12/18,0.6,2.3,-1.1
1984/12/19,-0.9,1.2,-2.0
1984/12/20,-0.9,2.4,-3.3
1984/12/21,-0.7,1.8,-3.3
1984/12/22,-2.7,-0.5,-6.5
1984/12/23,-4.6,-0.9,-10.2
1984/12/24,-6.3,-2.1,-10.5
1984/12/25,-7.7,-4.0,-12.0
1984/12/26,-5.0,-1.8,-8.0
1984/12/27,-4.3,-1.3,-6.0
1984/12/28,-5.3,-1.1,-9.5
1984/12/29,-5.4,-1.0,-9.9
1984/12/30,-3.7,-0.2,-9.5
1984/12/31,-2.9,0.5,-5.2
1985/1/1,-2.6,1.1,-5.0
1985/1/2,-4.2,-1.0,-6.7
1985/1/3,-2.7,1.3,-6.2
1985/1/4,-5.5,-1.3,-8.5
1985/1/5,-5.9,-2.9,-9.2
1985/1/6,-7.0,-3.6,-10.2
1985/1/7,-5.6,-1.1,-9.6
1985/1/8,-5.0,-0.8,-10.7
1985/1/9,-3.0,2.1,-7.9
1985/1/10,-0.1,7.0,-8.4
1985/1/11,-1.1,2.5,-5.4
1985/1/12,-1.9,1.9,-8.0
1985/1/13,-3.5,0.1,-7.1
1985/1/14,-6.7,-3.6,-9.1
1985/1/15,-5.1,-1.0,-8.6
1985/1/16,-4.6,-0.9,-8.0
1985/1/17,-6.3,-3.0,-8.4
1985/1/18,-6.4,-3.6,-9.3
1985/1/19,-4.8,-0.3,-9.4
1985/1/20,0.1,6.2,-6.7
1985/1/21,-0.5,2.2,-3.0
1985/1/22,-1.0,2.2,-4.7
1985/1/23,-2.8,1.0,-6.4
1985/1/24,-5.6,-2.1,-8.9
1985/1/25,-7.0,-3.4,-9.7
1985/1/26,-8.2,-6.1,-9.7
1985/1/27,-5.4,-1.4,-10.0
1985/1/28,-1.7,5.3,-8.0
1985/1/29,-4.0,-1.2,-7.1
1985/1/30,-5.8,-2.9,-10.3
1985/1/31,-2.5,1.6,-8.1
1985/2/1,0.9,3.9,-2.3
1985/2/2,-3.1,-0.5,-4.5
1985/2/3,-1.5,2.6,-5.7
1985/2/4,-2.1,0.0,-3.9
1985/2/5,-2.5,1.8,-8.4
1985/2/6,0.4,7.7,-6.7
1985/2/7,0.9,4.8,-3.6
1985/2/8,-2.3,1.2,-6.5
1985/2/9,-1.5,1.8,-6.4
1985/2/10,1.3,2.5,0.3
1985/2/11,-0.2,1.5,-1.8
1985/2/12,-0.6,1.9,-2.8
1985/2/13,-1.9,2.8,-4.4
1985/2/14,-2.7,0.6,-4.5
1985/2/15,-2.8,-0.9,-4.5
1985/2/16,-0.3,1.8,-2.7
1985/2/17,0.6,2.7,-1.2
1985/2/18,1.5,4.3,-0.6
1985/2/19,2.2,5.0,-0.5
1985/2/20,2.9,3.6,2.0
1985/2/21,1.2,5.1,-2.5
1985/2/22,-1.6,1.2,-4.0
1985/2/23,0.5,2.4,-0.9
1985/2/24,1.0,3.6,-0.8
1985/2/25,0.1,3.4,-2.0
1985/2/26,-0.4,2.7,-2.4
1985/2/27,-1.6,1.6,-4.5
1985/2/28,-1.5,1.1,-5.2
1985/3/1,1.3,2.9,-1.2
1985/3/2,2.4,4.1,0.7
1985/3/3,-1.1,0.8,-3.7
1985/3/4,-1.5,1.9,-4.6
1985/3/5,0.9,7.6,-4.1
1985/3/6,-1.7,1.6,-4.2
1985/3/7,-0.2,4.7,-6.6
1985/3/8,2.0,5.1,-2.4
1985/3/9,2.2,4.9,-0.3
1985/3/10,-2.3,0.1,-4.0
1985/3/11,-1.6,1.1,-3.8
1985/3/12,-0.5,2.5,-3.0
1985/3/13,1.0,5.3,-1.9
1985/3/14,-0.5,1.2,-2.6
1985/3/15,-0.4,3.1,-3.7
1985/3/16,0.3,5.1,-6.1
1985/3/17,3.1,8.2,-0.7
1985/3/18,4.7,10.2,0.3
1985/3/19,2.7,6.7,-0.8
1985/3/20,3.2,8.6,-2.6
1985/3/21,5.9,11.0,0.2
1985/3/22,2.6,7.0,-1.5
1985/3/23,1.9,6.6,-2.8
1985/3/24,0.4,5.4,-4.5
1985/3/25,7.0,13.2,-3.3
1985/3/26,6.8,12.4,1.3
1985/3/27,1.3,5.1,-2.1
1985/3/28,2.3,3.1,0.8
1985/3/29,6.3,10.6,1.5
1985/3/30,4.3,8.8,2.0
1985/3/31,3.0,8.1,-0.8
