ダウンロードした時刻：2017/07/24 15:37:11

,秋田,秋田,秋田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2007/1/1,3.8,6.2,1.0
2007/1/2,3.5,7.9,1.4
2007/1/3,2.0,4.6,-0.9
2007/1/4,3.1,6.6,0.7
2007/1/5,2.5,7.4,-0.2
2007/1/6,4.3,7.6,-0.3
2007/1/7,5.0,8.0,2.8
2007/1/8,2.8,4.9,0.5
2007/1/9,1.6,3.7,-0.5
2007/1/10,1.7,3.0,0.2
2007/1/11,1.3,2.8,0.0
2007/1/12,1.8,4.0,-0.3
2007/1/13,0.5,2.2,-2.2
2007/1/14,1.6,2.6,-0.8
2007/1/15,2.2,4.0,0.1
2007/1/16,1.5,3.2,0.2
2007/1/17,1.6,6.0,-1.2
2007/1/18,1.0,4.2,-1.4
2007/1/19,2.3,3.7,-0.4
2007/1/20,2.8,5.7,-1.1
2007/1/21,1.5,6.8,-2.6
2007/1/22,2.3,4.1,-0.2
2007/1/23,3.7,5.0,2.7
2007/1/24,3.0,5.3,1.6
2007/1/25,2.7,5.2,0.0
2007/1/26,1.7,5.0,-1.6
2007/1/27,5.2,7.8,2.1
2007/1/28,3.0,8.0,-0.2
2007/1/29,3.4,10.0,-1.2
2007/1/30,4.0,8.9,0.1
2007/1/31,4.8,6.8,2.1
2007/2/1,1.5,3.4,-1.2
2007/2/2,0.6,1.7,-1.6
2007/2/3,4.3,7.9,0.5
2007/2/4,1.1,4.4,-1.7
2007/2/5,3.9,8.5,0.4
2007/2/6,6.9,10.4,3.5
2007/2/7,3.3,5.5,0.9
2007/2/8,4.4,6.3,1.8
2007/2/9,4.1,7.9,0.5
2007/2/10,3.1,8.1,-1.2
2007/2/11,1.7,4.7,-1.3
2007/2/12,0.6,3.3,-2.0
2007/2/13,1.3,5.9,-2.0
2007/2/14,3.9,10.0,-0.6
2007/2/15,2.2,7.1,-0.9
2007/2/16,2.5,4.3,0.9
2007/2/17,2.7,6.6,0.2
2007/2/18,3.1,8.1,-1.3
2007/2/19,2.9,4.9,1.6
2007/2/20,2.7,7.7,-2.3
2007/2/21,2.7,8.2,0.1
2007/2/22,4.4,12.2,-1.8
2007/2/23,5.6,10.9,1.1
2007/2/24,-0.6,1.6,-3.0
2007/2/25,-0.1,6.0,-5.0
2007/2/26,1.2,7.4,-4.0
2007/2/27,2.9,8.9,-2.7
2007/2/28,3.1,6.6,1.4
2007/3/1,2.8,6.8,-0.3
2007/3/2,3.4,8.4,-0.2
2007/3/3,5.1,11.5,-1.2
2007/3/4,8.6,14.2,4.9
2007/3/5,10.7,13.7,7.5
2007/3/6,2.7,7.8,-2.6
2007/3/7,-0.7,1.1,-2.9
2007/3/8,-0.2,1.9,-1.7
2007/3/9,1.3,5.1,-1.3
2007/3/10,2.3,6.0,-2.9
2007/3/11,1.4,5.7,-2.2
2007/3/12,-0.2,2.4,-2.7
2007/3/13,0.0,1.7,-1.4
2007/3/14,0.7,2.9,-1.0
2007/3/15,2.2,5.8,-1.1
2007/3/16,1.8,6.6,-0.9
2007/3/17,0.5,4.7,-1.8
2007/3/18,0.8,4.7,-1.8
2007/3/19,-0.2,3.9,-3.1
2007/3/20,1.5,5.4,-2.9
2007/3/21,3.1,7.7,0.7
2007/3/22,2.3,4.3,0.9
2007/3/23,3.4,7.5,-1.2
2007/3/24,8.0,14.0,2.5
2007/3/25,9.4,11.3,7.0
2007/3/26,7.3,9.8,6.2
2007/3/27,8.3,12.6,4.4
2007/3/28,6.7,10.2,3.0
2007/3/29,5.3,9.9,1.9
2007/3/30,4.5,7.6,2.6
2007/3/31,5.3,9.8,-0.1
2007/4/1,8.6,10.5,6.0
2007/4/2,8.0,10.9,5.0
2007/4/3,5.4,8.9,2.6
2007/4/4,4.4,8.4,0.4
2007/4/5,5.7,8.6,1.8
2007/4/6,6.4,10.8,2.0
2007/4/7,8.5,14.5,2.9
2007/4/8,9.3,14.3,4.9
2007/4/9,7.4,10.1,5.0
2007/4/10,5.9,10.4,1.7
2007/4/11,6.5,10.8,1.8
2007/4/12,6.6,11.8,0.9
2007/4/13,7.8,11.6,3.8
2007/4/14,9.7,12.3,7.5
2007/4/15,7.7,10.3,6.1
2007/4/16,8.4,12.8,5.0
2007/4/17,7.6,14.4,3.2
2007/4/18,7.4,13.5,-0.1
2007/4/19,9.8,15.9,4.8
2007/4/20,12.1,17.1,5.6
2007/4/21,12.5,13.8,11.4
2007/4/22,11.4,13.1,9.7
2007/4/23,10.2,15.4,6.6
2007/4/24,10.2,14.7,3.2
2007/4/25,11.4,16.8,8.9
2007/4/26,9.8,12.8,4.0
2007/4/27,10.1,13.6,7.1
2007/4/28,9.7,15.8,3.3
2007/4/29,12.7,15.9,7.1
2007/4/30,15.4,19.7,11.5
2007/5/1,15.5,20.8,10.5
