ダウンロードした時刻：2019/10/10 15:38:08

,宮古,宮古,宮古
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2005/12/1,4.1,8.7,-1.1
2005/12/2,4.5,9.6,-1.1
2005/12/3,1.3,4.2,-2.0
2005/12/4,2.4,7.8,-2.1
2005/12/5,5.2,6.6,1.1
2005/12/6,3.6,8.2,-0.7
2005/12/7,1.6,8.0,-2.4
2005/12/8,1.5,7.4,-2.8
2005/12/9,3.6,8.9,0.7
2005/12/10,0.3,3.7,-2.3
2005/12/11,-0.5,3.7,-4.9
2005/12/12,-0.9,4.4,-5.2
2005/12/13,-1.3,1.6,-3.5
2005/12/14,-0.4,3.9,-2.9
2005/12/15,-0.8,4.7,-5.4
2005/12/16,0.8,9.0,-3.4
2005/12/17,2.7,10.1,-2.0
2005/12/18,-1.5,3.2,-5.5
2005/12/19,-1.4,3.1,-6.9
2005/12/20,2.0,7.2,-2.5
2005/12/21,1.5,6.9,-3.3
2005/12/22,1.4,4.4,-2.1
2005/12/23,0.3,4.9,-2.4
2005/12/24,0.5,4.3,-2.0
2005/12/25,0.5,3.9,-4.2
2005/12/26,-1.2,1.3,-3.6
2005/12/27,-2.1,1.4,-6.4
2005/12/28,-2.2,2.2,-7.4
2005/12/29,-2.1,2.4,-6.7
2005/12/30,-1.9,3.4,-7.8
2005/12/31,-0.6,4.3,-4.6
2006/1/1,-1.4,3.4,-5.4
2006/1/2,2.3,8.9,-1.7
2006/1/3,-0.1,4.0,-2.6
2006/1/4,0.6,4.9,-2.9
2006/1/5,-1.1,2.2,-5.4
2006/1/6,-3.5,1.7,-8.7
2006/1/7,-3.0,3.1,-7.3
2006/1/8,-4.8,0.9,-8.7
2006/1/9,-3.2,3.2,-8.8
2006/1/10,-1.6,3.7,-7.3
2006/1/11,0.9,4.5,-2.9
2006/1/12,-1.5,1.9,-4.2
2006/1/13,-2.1,0.8,-7.0
2006/1/14,2.9,7.7,-1.3
2006/1/15,2.9,7.4,-1.1
2006/1/16,3.0,9.3,-3.3
2006/1/17,-0.1,3.1,-5.4
2006/1/18,-3.0,2.7,-8.0
2006/1/19,-3.7,-0.4,-5.6
2006/1/20,-2.0,3.5,-6.2
2006/1/21,0.0,4.5,-3.6
2006/1/22,-1.2,2.5,-4.8
2006/1/23,-3.2,-0.7,-7.0
2006/1/24,-0.1,3.9,-2.9
2006/1/25,1.0,5.2,-3.6
2006/1/26,-0.5,2.9,-3.6
2006/1/27,-0.1,5.2,-4.9
2006/1/28,0.3,5.1,-4.2
2006/1/29,0.6,6.1,-4.3
2006/1/30,3.1,11.0,-2.3
2006/1/31,-0.8,1.9,-4.5
2006/2/1,-2.2,-0.1,-5.0
2006/2/2,-2.0,2.5,-7.4
2006/2/3,-5.6,-1.7,-9.4
2006/2/4,-4.0,0.8,-8.5
2006/2/5,-4.2,1.1,-9.1
2006/2/6,-2.3,2.5,-7.4
2006/2/7,-1.4,0.6,-3.7
2006/2/8,-0.7,0.7,-2.0
2006/2/9,-3.1,-0.2,-6.1
2006/2/10,0.3,4.4,-7.4
2006/2/11,0.0,4.3,-3.7
2006/2/12,-3.1,0.7,-5.8
2006/2/13,2.0,7.8,-5.5
2006/2/14,6.7,12.9,2.0
2006/2/15,5.9,11.0,1.6
2006/2/16,0.3,2.4,-0.9
2006/2/17,-0.4,3.9,-5.3
2006/2/18,-0.6,5.4,-6.7
2006/2/19,3.1,8.4,-2.5
2006/2/20,4.0,9.3,-1.0
2006/2/21,2.8,7.7,-0.4
2006/2/22,6.1,14.0,-1.0
2006/2/23,4.6,10.5,-2.0
2006/2/24,0.5,5.0,-3.5
2006/2/25,0.7,4.2,-3.1
2006/2/26,6.4,11.3,-0.3
2006/2/27,2.2,10.9,-2.4
2006/2/28,-0.4,4.1,-4.5
2006/3/1,0.1,1.9,-1.3
2006/3/2,2.4,6.6,-0.4
2006/3/3,1.2,5.7,-2.9
2006/3/4,1.4,8.5,-5.3
2006/3/5,4.5,10.0,-1.9
2006/3/6,6.8,13.9,-0.6
2006/3/7,1.3,5.0,-3.6
2006/3/8,5.0,10.1,1.2
2006/3/9,1.3,6.5,-2.5
2006/3/10,3.8,9.5,-2.4
2006/3/11,9.2,17.3,1.8
2006/3/12,3.5,9.9,-1.3
2006/3/13,-1.4,2.2,-3.1
2006/3/14,-0.8,3.6,-3.6
2006/3/15,4.1,9.6,-2.7
2006/3/16,6.0,12.0,2.0
2006/3/17,6.5,10.8,3.3
2006/3/18,5.7,10.6,-0.3
2006/3/19,4.5,11.1,0.5
2006/3/20,3.3,6.8,0.1
2006/3/21,5.3,10.6,1.0
2006/3/22,5.9,12.2,-0.1
2006/3/23,2.9,5.0,1.7
2006/3/24,4.3,9.8,-0.6
2006/3/25,3.5,9.0,-3.0
2006/3/26,8.4,17.0,2.4
2006/3/27,3.5,8.6,-1.1
2006/3/28,6.2,13.3,-2.0
2006/3/29,4.1,8.6,0.3
2006/3/30,2.9,5.9,0.5
2006/3/31,4.6,8.9,1.6
