ダウンロードした時刻：2017/07/24 15:37:52

,仙台,仙台,仙台
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/1/1,1.7,4.9,-0.3
1990/1/2,1.9,5.7,-1.5
1990/1/3,2.1,6.5,-1.1
1990/1/4,1.5,4.8,-1.4
1990/1/5,3.1,7.0,-2.1
1990/1/6,5.4,11.9,1.2
1990/1/7,1.0,3.3,-1.1
1990/1/8,3.1,7.8,-1.5
1990/1/9,2.7,8.7,-2.4
1990/1/10,4.5,13.1,0.2
1990/1/11,6.5,12.5,3.4
1990/1/12,4.4,7.4,1.4
1990/1/13,2.0,5.9,-2.0
1990/1/14,-0.3,2.7,-3.5
1990/1/15,0.7,3.6,-2.3
1990/1/16,-0.7,0.3,-1.4
1990/1/17,0.0,3.5,-3.4
1990/1/18,4.1,7.9,-2.6
1990/1/19,3.7,6.8,1.0
1990/1/20,-1.2,1.2,-4.6
1990/1/21,-2.7,1.5,-6.3
1990/1/22,0.5,5.6,-4.2
1990/1/23,-2.4,0.9,-6.2
1990/1/24,-4.7,-3.1,-6.6
1990/1/25,-2.9,-0.3,-6.7
1990/1/26,-3.5,-1.1,-6.1
1990/1/27,-2.0,0.9,-5.2
1990/1/28,-1.3,2.7,-4.6
1990/1/29,-2.2,-1.1,-4.0
1990/1/30,-0.3,3.3,-3.3
1990/1/31,-1.3,1.0,-3.4
1990/2/1,-2.5,-0.6,-4.0
1990/2/2,-1.4,2.9,-6.3
1990/2/3,2.1,6.2,-3.9
1990/2/4,2.8,5.0,1.2
1990/2/5,1.0,1.7,0.5
1990/2/6,2.5,4.9,0.2
1990/2/7,4.1,9.1,-1.5
1990/2/8,2.6,6.3,-0.9
1990/2/9,1.3,5.7,-3.7
1990/2/10,2.8,6.4,-2.9
1990/2/11,8.6,13.7,3.6
1990/2/12,5.3,10.3,1.0
1990/2/13,3.1,6.2,-0.2
1990/2/14,3.1,6.6,0.4
1990/2/15,2.1,3.6,0.4
1990/2/16,4.1,5.8,3.0
1990/2/17,5.1,8.3,2.0
1990/2/18,5.0,9.2,3.6
1990/2/19,4.9,5.8,3.8
1990/2/20,8.9,11.6,4.5
1990/2/21,9.0,13.1,5.8
1990/2/22,8.4,13.6,3.6
1990/2/23,6.4,7.2,5.8
1990/2/24,8.1,10.9,5.5
1990/2/25,7.2,10.7,4.5
1990/2/26,7.3,9.4,4.8
1990/2/27,5.0,8.9,1.2
1990/2/28,3.4,7.6,0.0
1990/3/1,5.5,9.8,-0.3
1990/3/2,3.6,6.8,3.0
1990/3/3,5.0,7.6,2.8
1990/3/4,6.6,10.6,3.8
1990/3/5,5.4,8.2,2.0
1990/3/6,4.5,10.6,-0.5
1990/3/7,5.6,11.0,1.4
1990/3/8,2.4,4.8,0.5
1990/3/9,7.1,11.1,2.0
1990/3/10,8.4,14.1,0.6
1990/3/11,8.8,13.4,4.7
1990/3/12,7.9,14.0,2.4
1990/3/13,2.6,5.2,-0.5
1990/3/14,5.9,10.7,1.9
1990/3/15,7.4,13.0,4.7
1990/3/16,6.8,9.8,3.7
1990/3/17,5.8,10.8,1.9
1990/3/18,5.7,9.1,1.1
1990/3/19,7.6,11.9,3.4
1990/3/20,9.5,15.2,4.4
1990/3/21,5.5,9.3,2.1
1990/3/22,5.9,12.0,-0.5
1990/3/23,6.8,10.8,0.8
1990/3/24,7.1,10.7,4.2
1990/3/25,4.3,8.4,1.5
1990/3/26,3.0,6.5,0.0
1990/3/27,5.5,11.9,-1.3
1990/3/28,9.3,16.7,2.9
1990/3/29,7.3,9.4,4.4
1990/3/30,6.9,10.8,2.4
1990/3/31,9.2,11.7,7.0
1990/4/1,13.1,18.7,8.5
1990/4/2,12.6,19.8,5.4
1990/4/3,11.2,15.3,5.5
1990/4/4,12.9,17.2,8.3
1990/4/5,5.4,8.8,1.8
1990/4/6,6.7,11.7,1.8
1990/4/7,10.8,16.1,3.2
1990/4/8,10.7,16.3,7.3
1990/4/9,13.6,18.2,7.2
1990/4/10,15.0,21.5,8.9
1990/4/11,11.4,16.1,5.6
1990/4/12,12.8,18.4,7.1
1990/4/13,11.5,16.4,9.3
1990/4/14,8.8,9.9,7.5
1990/4/15,7.2,9.5,4.6
1990/4/16,5.1,6.6,3.9
1990/4/17,5.0,6.8,3.5
1990/4/18,5.0,7.1,4.1
1990/4/19,7.8,13.0,3.7
1990/4/20,8.7,13.4,2.4
1990/4/21,9.6,10.6,7.9
1990/4/22,11.5,13.0,9.5
1990/4/23,14.4,17.0,11.5
1990/4/24,10.7,16.1,6.3
1990/4/25,10.9,15.8,4.5
1990/4/26,11.7,15.3,6.9
1990/4/27,12.1,17.8,10.0
1990/4/28,12.8,16.0,9.0
1990/4/29,12.0,14.2,9.8
1990/4/30,11.9,15.6,9.3
1990/5/1,12.3,18.1,8.7
