ダウンロードした時刻：2019/10/10 15:41:08

,福島,福島,福島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2014/12/1,11.7,15.5,9.8
2014/12/2,6.2,11.7,2.9
2014/12/3,6.1,8.7,2.4
2014/12/4,7.8,10.9,4.0
2014/12/5,3.7,8.0,0.7
2014/12/6,0.8,4.6,-2.5
2014/12/7,1.4,4.3,-0.6
2014/12/8,2.0,8.9,-2.8
2014/12/9,2.8,8.5,-1.1
2014/12/10,4.7,8.0,1.5
2014/12/11,6.1,10.6,1.0
2014/12/12,4.1,5.8,1.1
2014/12/13,1.4,4.2,-1.7
2014/12/14,-0.3,0.9,-1.3
2014/12/15,-0.5,2.3,-2.4
2014/12/16,-0.7,6.6,-2.8
2014/12/17,0.1,4.9,-2.3
2014/12/18,1.1,3.9,-2.3
2014/12/19,2.9,7.3,-0.8
2014/12/20,3.5,8.8,-0.9
2014/12/21,4.1,10.1,1.0
2014/12/22,1.0,2.5,-0.2
2014/12/23,2.0,5.5,-1.2
2014/12/24,3.3,9.7,-2.6
2014/12/25,1.7,4.5,-1.3
2014/12/26,0.3,3.8,-1.7
2014/12/27,0.6,4.2,-2.5
2014/12/28,-0.1,7.3,-4.7
2014/12/29,1.6,5.8,-1.4
2014/12/30,4.0,6.7,1.3
2014/12/31,3.8,7.0,1.3
2015/1/1,0.4,3.7,-1.7
2015/1/2,-0.3,2.6,-2.8
2015/1/3,0.2,3.0,-2.6
2015/1/4,1.6,4.2,-1.7
2015/1/5,4.3,9.1,0.6
2015/1/6,3.8,10.0,0.1
2015/1/7,1.0,3.3,-0.3
2015/1/8,2.9,5.6,0.6
2015/1/9,3.1,6.6,0.6
2015/1/10,2.1,4.7,0.0
2015/1/11,2.8,6.5,0.6
2015/1/12,2.2,5.3,-0.8
2015/1/13,4.9,9.3,2.3
2015/1/14,4.9,9.1,-0.3
2015/1/15,2.0,4.7,0.5
2015/1/16,4.5,7.7,1.7
2015/1/17,0.8,5.1,-3.2
2015/1/18,0.7,4.8,-2.8
2015/1/19,0.6,4.2,-3.4
2015/1/20,1.8,4.3,-0.7
2015/1/21,0.5,4.0,-4.1
2015/1/22,1.9,2.9,0.9
2015/1/23,4.7,8.2,2.2
2015/1/24,3.4,7.4,0.4
2015/1/25,3.5,8.8,-0.1
2015/1/26,5.0,7.1,2.8
2015/1/27,5.5,11.0,2.9
2015/1/28,0.9,3.6,-1.8
2015/1/29,1.0,6.1,-3.6
2015/1/30,-0.6,0.3,-1.5
2015/1/31,1.5,5.5,-3.6
2015/2/1,0.6,3.0,-1.2
2015/2/2,1.2,4.2,-1.1
2015/2/3,2.8,5.5,0.4
2015/2/4,1.7,5.4,-0.5
2015/2/5,0.9,4.0,-2.9
2015/2/6,2.3,7.3,-1.8
2015/2/7,3.9,8.6,0.0
2015/2/8,2.8,5.2,0.2
2015/2/9,-1.2,2.8,-3.4
2015/2/10,-0.2,4.2,-3.3
2015/2/11,4.3,10.0,-0.7
2015/2/12,5.6,11.2,1.7
2015/2/13,1.5,4.8,-1.7
2015/2/14,0.2,3.9,-2.3
2015/2/15,1.3,4.0,-0.4
2015/2/16,4.1,6.9,1.9
2015/2/17,2.4,6.8,-1.4
2015/2/18,1.2,2.8,0.4
2015/2/19,2.7,5.8,0.4
2015/2/20,3.6,9.2,-0.3
2015/2/21,3.4,10.0,-2.0
2015/2/22,5.8,8.8,2.1
2015/2/23,9.7,15.3,5.3
2015/2/24,7.2,11.7,3.2
2015/2/25,3.8,8.0,0.2
2015/2/26,2.2,4.5,-1.0
2015/2/27,4.0,8.2,0.9
2015/2/28,4.1,8.9,0.4
2015/3/1,2.6,6.1,-0.8
2015/3/2,3.9,6.8,0.0
2015/3/3,2.4,6.4,-2.5
2015/3/4,5.6,13.2,0.5
2015/3/5,6.1,11.2,3.6
2015/3/6,4.9,9.9,-0.6
2015/3/7,5.5,7.5,3.8
2015/3/8,5.9,9.0,3.6
2015/3/9,7.0,8.6,5.9
2015/3/10,4.4,8.0,-1.0
2015/3/11,1.7,7.6,-1.4
2015/3/12,2.5,6.3,0.2
2015/3/13,3.7,7.5,0.4
2015/3/14,3.9,9.1,-0.1
2015/3/15,5.5,14.1,-2.0
2015/3/16,8.7,17.4,1.6
2015/3/17,12.0,22.4,4.1
2015/3/18,10.9,20.1,6.0
2015/3/19,9.5,12.0,7.1
2015/3/20,9.7,16.6,5.0
2015/3/21,9.2,15.6,3.5
2015/3/22,10.4,18.4,1.7
2015/3/23,4.7,9.0,1.3
2015/3/24,3.6,7.3,0.6
2015/3/25,5.2,9.6,1.7
2015/3/26,7.0,11.7,2.7
2015/3/27,9.6,18.4,0.3
2015/3/28,11.5,21.7,1.5
2015/3/29,12.7,21.8,5.1
2015/3/30,12.6,19.0,7.1
2015/3/31,14.1,24.3,4.2
