ダウンロードした時刻：2017/07/24 15:38:12

,白河,白河,白河
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/1/1,5.2,11.8,-2.2
1991/1/2,4.9,9.2,-0.4
1991/1/3,3.2,7.6,-1.0
1991/1/4,0.2,5.9,-4.0
1991/1/5,-0.7,2.9,-4.3
1991/1/6,-2.0,0.5,-4.6
1991/1/7,-1.9,2.1,-6.4
1991/1/8,-2.3,3.5,-8.2
1991/1/9,0.9,4.0,-2.5
1991/1/10,1.8,5.9,-1.3
1991/1/11,1.7,5.8,-2.2
1991/1/12,-0.4,3.0,-4.1
1991/1/13,-0.6,5.8,-5.7
1991/1/14,0.7,3.9,-3.9
1991/1/15,-1.0,3.8,-4.3
1991/1/16,-0.8,4.0,-5.9
1991/1/17,1.1,6.8,-3.1
1991/1/18,-1.3,2.1,-3.3
1991/1/19,1.7,6.9,-2.6
1991/1/20,0.8,9.0,-4.7
1991/1/21,1.1,6.2,-4.5
1991/1/22,2.6,5.4,-0.3
1991/1/23,-1.7,1.1,-3.8
1991/1/24,-0.3,5.2,-5.7
1991/1/25,3.8,9.7,-1.2
1991/1/26,1.9,4.7,-0.5
1991/1/27,0.9,4.2,-1.5
1991/1/28,-1.2,1.8,-4.7
1991/1/29,-0.6,4.8,-6.1
1991/1/30,0.1,3.5,-3.1
1991/1/31,1.2,5.7,-2.7
1991/2/1,0.1,5.3,-3.3
1991/2/2,-2.0,0.5,-3.3
1991/2/3,-0.7,3.5,-3.5
1991/2/4,-1.1,5.1,-5.4
1991/2/5,-1.2,1.6,-4.6
1991/2/6,1.1,6.6,-2.9
1991/2/7,0.5,4.3,-2.3
1991/2/8,-1.8,1.3,-6.0
1991/2/9,0.0,5.4,-4.1
1991/2/10,-1.2,2.1,-5.4
1991/2/11,5.0,9.2,0.7
1991/2/12,1.2,5.6,-1.6
1991/2/13,0.7,4.3,-2.7
1991/2/14,0.8,9.9,-7.5
1991/2/15,3.0,8.8,0.2
1991/2/16,6.6,9.6,2.1
1991/2/17,0.8,3.2,-1.4
1991/2/18,-0.9,2.4,-3.4
1991/2/19,-0.6,6.0,-3.9
1991/2/20,-1.1,4.1,-6.5
1991/2/21,-0.4,5.5,-6.4
1991/2/22,0.1,4.3,-4.3
1991/2/23,-2.0,1.6,-7.1
1991/2/24,-3.3,1.4,-8.3
1991/2/25,-1.9,2.2,-5.0
1991/2/26,1.4,6.3,-3.2
1991/2/27,2.6,11.7,-5.1
1991/2/28,5.6,14.8,-1.4
1991/3/1,1.1,3.5,-1.0
1991/3/2,2.3,8.1,-2.0
1991/3/3,0.8,5.0,-3.1
1991/3/4,2.5,11.1,-6.7
1991/3/5,6.8,16.7,0.0
1991/3/6,8.9,17.5,-1.4
1991/3/7,4.7,10.3,-0.2
1991/3/8,0.6,3.1,-1.9
1991/3/9,4.0,11.3,-0.2
1991/3/10,4.1,7.2,1.3
1991/3/11,0.8,2.1,0.1
1991/3/12,4.9,9.7,0.5
1991/3/13,3.0,7.2,0.1
1991/3/14,0.4,4.0,-3.7
1991/3/15,-0.4,3.7,-3.3
1991/3/16,-0.6,0.9,-2.2
1991/3/17,2.8,6.6,-0.2
1991/3/18,4.2,9.6,0.6
1991/3/19,7.7,17.1,-0.7
1991/3/20,9.5,16.8,0.2
1991/3/21,3.6,6.7,-0.7
1991/3/22,3.6,7.9,-1.7
1991/3/23,8.7,13.5,4.6
1991/3/24,12.3,17.5,8.4
1991/3/25,6.4,8.6,5.3
1991/3/26,10.1,17.8,4.5
1991/3/27,3.6,7.8,1.9
1991/3/28,5.2,7.9,2.1
1991/3/29,6.8,11.5,4.2
1991/3/30,7.5,10.3,4.2
1991/3/31,5.8,7.9,1.5
1991/4/1,2.1,5.3,0.4
1991/4/2,3.1,9.5,-1.6
1991/4/3,4.6,13.0,-3.7
1991/4/4,8.2,16.9,-2.2
1991/4/5,10.7,18.0,2.9
1991/4/6,12.5,19.9,2.9
1991/4/7,9.8,12.5,6.2
1991/4/8,6.7,8.2,5.5
1991/4/9,12.4,19.1,6.6
1991/4/10,10.7,14.0,7.0
1991/4/11,14.9,20.3,10.4
1991/4/12,12.8,19.0,8.3
1991/4/13,12.3,16.5,7.9
1991/4/14,11.9,15.2,7.9
1991/4/15,10.2,15.6,6.8
1991/4/16,13.5,20.1,6.8
1991/4/17,14.9,21.1,6.9
1991/4/18,13.1,19.2,6.8
1991/4/19,10.7,18.2,4.3
1991/4/20,8.7,13.7,4.5
1991/4/21,10.4,17.9,5.5
1991/4/22,11.3,18.4,4.1
1991/4/23,12.5,18.6,4.1
1991/4/24,13.9,17.9,11.4
1991/4/25,11.6,13.7,8.5
1991/4/26,16.7,23.0,11.6
1991/4/27,14.1,19.8,9.5
1991/4/28,12.8,19.3,5.1
1991/4/29,13.6,16.1,11.5
1991/4/30,11.5,15.4,5.4
1991/5/1,9.4,14.0,5.0
