ダウンロードした時刻：2019/10/10 15:42:07

,小名浜,小名浜,小名浜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2005/12/1,6.8,11.9,1.5
2005/12/2,6.9,13.6,1.0
2005/12/3,5.4,9.8,1.9
2005/12/4,5.6,9.1,1.6
2005/12/5,5.3,7.4,1.5
2005/12/6,4.4,6.2,1.6
2005/12/7,5.5,10.5,0.9
2005/12/8,5.0,10.8,-0.2
2005/12/9,6.0,12.8,0.4
2005/12/10,5.8,12.5,0.5
2005/12/11,3.1,5.8,-0.1
2005/12/12,3.0,7.5,-0.8
2005/12/13,2.5,6.3,-0.1
2005/12/14,2.8,7.3,-1.9
2005/12/15,3.7,8.6,-1.0
2005/12/16,4.0,10.6,-1.9
2005/12/17,4.6,11.3,-1.8
2005/12/18,0.6,3.1,-1.8
2005/12/19,1.2,4.3,-3.3
2005/12/20,4.2,9.7,-1.9
2005/12/21,3.4,8.5,0.8
2005/12/22,3.5,7.4,-0.2
2005/12/23,2.8,6.5,-1.3
2005/12/24,2.7,6.3,-1.3
2005/12/25,4.4,9.4,-0.9
2005/12/26,2.1,4.8,0.3
2005/12/27,1.7,4.9,-0.2
2005/12/28,1.7,5.3,-0.5
2005/12/29,2.7,7.0,-0.2
2005/12/30,3.2,7.1,-2.5
2005/12/31,2.3,5.5,0.5
2006/1/1,3.9,7.0,-0.8
2006/1/2,5.8,8.8,2.7
2006/1/3,1.7,6.8,-2.0
2006/1/4,0.7,4.9,-2.4
2006/1/5,0.9,4.6,-2.7
2006/1/6,-0.3,3.8,-5.4
2006/1/7,1.2,6.2,-3.0
2006/1/8,1.0,5.2,-3.2
2006/1/9,0.7,6.9,-5.0
2006/1/10,1.5,6.5,-2.6
2006/1/11,3.5,8.7,-1.9
2006/1/12,3.3,7.2,-0.1
2006/1/13,2.1,4.4,-1.9
2006/1/14,9.4,12.0,4.2
2006/1/15,7.5,11.4,2.7
2006/1/16,6.3,10.0,0.9
2006/1/17,4.9,7.8,2.2
2006/1/18,3.1,7.0,0.7
2006/1/19,1.6,5.1,-0.4
2006/1/20,1.9,6.7,-0.5
2006/1/21,2.2,4.1,-0.8
2006/1/22,2.5,6.1,-0.7
2006/1/23,-0.2,2.1,-3.1
2006/1/24,2.9,6.9,-0.1
2006/1/25,2.9,8.3,-3.6
2006/1/26,4.0,8.3,-0.4
2006/1/27,3.6,8.2,-1.1
2006/1/28,3.2,6.4,0.6
2006/1/29,4.1,8.8,-1.7
2006/1/30,6.0,11.2,0.0
2006/1/31,4.8,7.0,3.2
2006/2/1,4.4,6.2,1.7
2006/2/2,4.3,7.9,1.4
2006/2/3,2.2,8.6,-3.0
2006/2/4,-1.2,3.5,-4.7
2006/2/5,-0.7,4.2,-6.4
2006/2/6,1.2,4.9,-3.7
2006/2/7,4.3,6.6,1.0
2006/2/8,4.5,9.4,2.1
2006/2/9,1.4,4.5,-1.6
2006/2/10,2.4,8.0,-3.9
2006/2/11,3.9,9.3,-1.1
2006/2/12,1.8,4.8,-0.8
2006/2/13,3.2,8.4,-3.1
2006/2/14,5.8,11.2,-0.4
2006/2/15,9.2,16.1,1.9
2006/2/16,4.5,8.5,3.0
2006/2/17,3.7,8.6,-0.9
2006/2/18,2.2,5.9,-2.0
2006/2/19,4.5,8.5,-0.4
2006/2/20,5.2,10.7,1.1
2006/2/21,6.6,10.4,2.3
2006/2/22,7.7,13.1,2.4
2006/2/23,8.5,14.7,4.7
2006/2/24,4.6,6.5,2.7
2006/2/25,4.5,9.5,-0.1
2006/2/26,8.3,12.0,2.3
2006/2/27,5.7,11.9,1.4
2006/2/28,3.5,6.0,-0.3
2006/3/1,5.6,8.5,3.3
2006/3/2,6.3,8.9,3.8
2006/3/3,4.1,6.8,2.0
2006/3/4,4.0,8.2,-0.9
2006/3/5,6.1,11.7,-0.2
2006/3/6,7.8,13.9,0.6
2006/3/7,7.2,9.6,4.3
2006/3/8,8.5,15.2,2.7
2006/3/9,5.7,8.7,3.3
2006/3/10,7.6,10.1,4.6
2006/3/11,9.1,12.7,4.8
2006/3/12,5.6,9.6,0.7
2006/3/13,2.3,6.1,0.1
2006/3/14,2.1,6.6,-2.6
2006/3/15,5.4,11.0,-1.2
2006/3/16,7.4,12.3,1.5
2006/3/17,9.9,13.2,7.1
2006/3/18,8.4,12.0,2.8
2006/3/19,7.8,13.8,2.8
2006/3/20,5.5,8.9,1.8
2006/3/21,8.6,16.2,3.8
2006/3/22,7.1,11.8,1.2
2006/3/23,8.7,13.9,5.6
2006/3/24,8.0,12.9,4.5
2006/3/25,6.1,10.0,0.4
2006/3/26,9.0,12.1,3.3
2006/3/27,8.9,13.8,5.6
2006/3/28,10.9,14.9,7.3
2006/3/29,6.2,10.7,1.5
2006/3/30,5.3,12.5,0.0
2006/3/31,5.6,9.6,2.4
