ダウンロードした時刻：2017/07/24 15:38:32

,相川,相川,相川
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/1/1,4.3,7.2,1.5
1986/1/2,0.4,3.3,-2.0
1986/1/3,2.4,4.4,0.0
1986/1/4,6.1,8.0,3.7
1986/1/5,0.3,4.3,-1.4
1986/1/6,0.7,3.7,-1.7
1986/1/7,4.5,5.9,3.1
1986/1/8,4.4,6.9,1.3
1986/1/9,1.1,3.5,-0.5
1986/1/10,0.7,1.7,-0.2
1986/1/11,1.3,2.1,-0.7
1986/1/12,1.7,2.8,0.3
1986/1/13,1.9,5.2,-0.7
1986/1/14,0.6,2.6,-1.8
1986/1/15,2.9,4.5,0.1
1986/1/16,3.1,6.8,-0.8
1986/1/17,5.8,8.0,2.0
1986/1/18,3.7,5.9,0.8
1986/1/19,2.1,6.2,-1.3
1986/1/20,2.9,6.3,-0.1
1986/1/21,0.1,2.1,-0.8
1986/1/22,-1.8,0.1,-4.5
1986/1/23,-1.6,-0.5,-3.1
1986/1/24,-0.8,1.2,-1.9
1986/1/25,-1.3,0.4,-2.4
1986/1/26,-1.2,0.0,-2.8
1986/1/27,-0.9,0.4,-2.8
1986/1/28,0.9,4.2,-2.2
1986/1/29,0.4,2.8,-2.6
1986/1/30,3.3,7.4,-2.5
1986/1/31,2.1,3.9,-0.2
1986/2/1,-0.8,1.3,-2.9
1986/2/2,2.0,4.8,-2.0
1986/2/3,0.7,5.7,-1.9
1986/2/4,-1.4,0.1,-3.0
1986/2/5,-1.3,0.2,-3.2
1986/2/6,-0.3,0.5,-1.4
1986/2/7,0.6,2.1,-1.4
1986/2/8,1.3,3.4,-0.8
1986/2/9,-0.3,1.1,-2.1
1986/2/10,-0.5,0.8,-2.0
1986/2/11,1.4,2.9,-0.8
1986/2/12,2.5,3.8,-0.3
1986/2/13,5.6,8.0,1.0
1986/2/14,5.2,8.9,1.6
1986/2/15,1.4,3.2,-1.4
1986/2/16,-1.2,-0.4,-2.8
1986/2/17,0.9,2.7,-1.5
1986/2/18,1.8,3.3,-0.4
1986/2/19,3.1,5.4,1.0
1986/2/20,2.6,4.2,0.9
1986/2/21,1.2,2.5,-0.7
1986/2/22,2.8,4.7,0.8
1986/2/23,2.9,6.1,0.1
1986/2/24,0.3,2.9,-1.7
1986/2/25,-0.2,1.2,-2.2
1986/2/26,1.7,4.3,-0.3
1986/2/27,2.6,5.1,0.0
1986/2/28,1.6,4.8,-1.2
1986/3/1,3.0,5.1,0.9
1986/3/2,3.0,4.6,-0.2
1986/3/3,1.3,4.6,-1.7
1986/3/4,0.8,3.0,-1.6
1986/3/5,3.6,5.6,1.2
1986/3/6,3.7,7.8,0.1
1986/3/7,5.1,8.9,0.5
1986/3/8,3.8,9.0,-0.6
1986/3/9,8.7,13.3,1.9
1986/3/10,9.2,14.7,5.6
1986/3/11,4.4,5.9,2.8
1986/3/12,4.6,6.8,3.1
1986/3/13,6.4,9.5,3.5
1986/3/14,5.9,9.7,1.4
1986/3/15,10.7,15.3,6.1
1986/3/16,6.4,10.7,3.9
1986/3/17,3.3,4.6,1.4
1986/3/18,4.0,6.1,1.2
1986/3/19,7.5,9.8,3.5
1986/3/20,4.2,7.5,2.4
1986/3/21,4.2,7.2,0.8
1986/3/22,4.7,7.8,1.0
1986/3/23,2.5,5.7,0.8
1986/3/24,4.6,7.2,1.9
1986/3/25,6.0,8.4,4.4
1986/3/26,5.9,9.5,1.8
1986/3/27,8.6,13.6,2.6
1986/3/28,7.8,10.7,4.1
1986/3/29,7.7,12.0,4.4
1986/3/30,9.1,14.9,3.7
1986/3/31,6.4,8.4,5.0
1986/4/1,7.2,11.0,4.5
1986/4/2,6.3,10.0,1.8
1986/4/3,8.5,13.0,1.5
1986/4/4,9.6,13.6,8.5
1986/4/5,8.8,10.1,7.8
1986/4/6,7.2,10.7,2.3
1986/4/7,5.7,7.7,1.8
1986/4/8,8.7,11.7,5.8
1986/4/9,13.4,16.0,9.2
1986/4/10,11.9,15.3,8.4
1986/4/11,6.3,8.7,3.6
1986/4/12,8.3,10.2,5.3
1986/4/13,8.9,13.1,4.6
1986/4/14,11.4,16.4,3.0
1986/4/15,12.7,18.0,8.8
1986/4/16,5.9,8.8,1.6
1986/4/17,9.7,13.8,1.4
1986/4/18,14.9,19.9,11.7
1986/4/19,16.4,21.5,11.1
1986/4/20,17.6,21.1,14.7
1986/4/21,11.0,17.1,8.8
1986/4/22,12.8,17.3,9.1
1986/4/23,12.0,15.1,10.6
1986/4/24,11.9,15.0,9.0
1986/4/25,13.7,17.6,9.8
1986/4/26,10.4,12.2,9.3
1986/4/27,14.8,23.3,10.2
1986/4/28,9.9,12.4,8.4
1986/4/29,9.6,13.1,6.8
1986/4/30,11.0,17.2,5.6
1986/5/1,15.2,19.7,8.3
