ダウンロードした時刻：2019/10/10 15:43:31

,新潟,新潟,新潟
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/12/1,5.5,10.0,0.1
1987/12/2,3.6,5.8,1.2
1987/12/3,3.2,6.8,1.1
1987/12/4,2.5,5.0,0.5
1987/12/5,2.0,3.8,0.5
1987/12/6,2.6,4.3,1.1
1987/12/7,3.4,6.7,-0.4
1987/12/8,2.7,8.7,-1.8
1987/12/9,5.5,10.0,0.9
1987/12/10,8.4,14.6,4.5
1987/12/11,6.8,12.7,3.3
1987/12/12,4.3,6.1,3.0
1987/12/13,5.5,6.7,3.6
1987/12/14,5.1,7.7,2.8
1987/12/15,6.5,9.4,3.4
1987/12/16,7.3,9.6,4.9
1987/12/17,3.2,8.9,1.3
1987/12/18,2.9,6.3,-0.4
1987/12/19,4.5,8.1,-0.4
1987/12/20,5.5,7.4,4.2
1987/12/21,3.3,5.7,0.9
1987/12/22,6.8,11.3,2.4
1987/12/23,8.6,11.1,5.9
1987/12/24,8.8,13.8,3.5
1987/12/25,11.4,16.6,4.9
1987/12/26,11.1,14.6,7.4
1987/12/27,11.3,16.7,5.2
1987/12/28,12.5,17.2,6.9
1987/12/29,10.6,13.8,6.9
1987/12/30,5.1,12.9,-0.7
1987/12/31,2.2,4.0,0.2
1988/1/1,4.0,10.7,-2.0
1988/1/2,5.8,8.4,3.7
1988/1/3,2.6,4.9,0.7
1988/1/4,4.4,7.3,0.0
1988/1/5,2.3,3.9,0.3
1988/1/6,2.7,5.8,0.5
1988/1/7,3.4,7.3,-1.0
1988/1/8,6.5,8.3,3.7
1988/1/9,3.1,7.4,0.6
1988/1/10,0.6,2.0,-1.4
1988/1/11,2.7,5.6,-0.1
1988/1/12,5.8,8.5,3.4
1988/1/13,4.4,6.6,1.5
1988/1/14,6.5,11.3,3.0
1988/1/15,6.6,10.2,5.0
1988/1/16,4.7,7.5,2.1
1988/1/17,3.7,6.2,1.7
1988/1/18,1.7,4.8,-0.5
1988/1/19,2.0,5.5,-0.8
1988/1/20,3.6,10.4,-2.0
1988/1/21,6.8,10.6,0.6
1988/1/22,10.3,14.1,7.3
1988/1/23,3.6,11.7,-0.3
1988/1/24,0.2,1.9,-0.6
1988/1/25,3.3,4.8,0.9
1988/1/26,2.6,4.7,1.4
1988/1/27,1.5,4.2,-0.5
1988/1/28,2.8,5.2,0.6
1988/1/29,4.2,7.9,0.7
1988/1/30,0.4,1.8,-0.6
1988/1/31,0.7,2.5,-0.2
1988/2/1,0.7,2.8,-1.1
1988/2/2,1.0,4.7,-2.2
1988/2/3,-2.6,-1.3,-4.2
1988/2/4,1.3,3.5,-3.2
1988/2/5,4.8,11.4,1.6
1988/2/6,2.5,6.7,0.3
1988/2/7,-0.7,1.6,-2.5
1988/2/8,0.9,2.6,-0.8
1988/2/9,-0.1,2.2,-1.2
1988/2/10,0.3,1.9,-1.3
1988/2/11,0.6,2.1,-0.6
1988/2/12,1.8,5.4,-1.9
1988/2/13,1.6,3.9,-0.3
1988/2/14,-1.1,0.6,-2.6
1988/2/15,-0.5,1.8,-3.2
1988/2/16,-1.1,0.9,-2.2
1988/2/17,-0.4,1.0,-2.0
1988/2/18,-1.5,1.1,-4.3
1988/2/19,0.0,3.0,-2.6
1988/2/20,2.7,4.4,-0.9
1988/2/21,-0.6,1.3,-2.7
1988/2/22,-1.2,3.3,-6.6
1988/2/23,2.2,6.7,-1.6
1988/2/24,2.2,3.2,0.5
1988/2/25,1.7,4.4,-0.3
1988/2/26,1.9,4.8,-0.4
1988/2/27,1.6,3.4,-0.5
1988/2/28,2.1,4.8,0.0
1988/2/29,3.2,5.5,0.4
1988/3/1,3.6,4.8,2.1
1988/3/2,4.2,6.1,2.4
1988/3/3,3.2,5.9,0.0
1988/3/4,1.4,5.0,-1.1
1988/3/5,2.0,6.8,-0.6
1988/3/6,1.4,4.4,-0.4
1988/3/7,2.0,3.9,0.5
1988/3/8,0.9,2.9,-0.7
1988/3/9,0.5,2.0,-0.5
1988/3/10,4.7,7.6,-0.1
1988/3/11,7.3,13.8,-0.1
1988/3/12,7.8,10.7,5.8
1988/3/13,8.6,12.4,4.4
1988/3/14,9.9,17.2,2.7
1988/3/15,2.8,10.2,-2.6
1988/3/16,1.5,5.2,-2.5
1988/3/17,4.5,7.3,0.0
1988/3/18,5.9,8.1,3.4
1988/3/19,6.4,11.7,2.4
1988/3/20,4.6,6.8,3.0
1988/3/21,7.3,11.6,2.3
1988/3/22,7.1,9.5,5.1
1988/3/23,6.5,8.7,2.4
1988/3/24,3.9,6.2,1.5
1988/3/25,5.1,7.5,0.0
1988/3/26,6.1,8.3,3.5
1988/3/27,5.4,8.0,3.3
1988/3/28,6.0,11.1,0.4
1988/3/29,7.4,11.2,3.5
1988/3/30,7.1,11.6,2.2
1988/3/31,7.3,11.0,4.7
