ダウンロードした時刻：2017/07/24 15:38:58

,金沢,金沢,金沢
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2010/1/1,1.8,4.3,-0.2
2010/1/2,3.8,6.2,1.1
2010/1/3,2.0,5.1,0.1
2010/1/4,4.6,11.4,1.4
2010/1/5,5.2,10.9,1.7
2010/1/6,3.0,5.0,0.6
2010/1/7,3.4,7.5,1.3
2010/1/8,2.2,5.9,0.2
2010/1/9,3.1,6.1,0.7
2010/1/10,3.0,4.0,2.2
2010/1/11,5.5,9.2,1.9
2010/1/12,5.0,6.7,2.2
2010/1/13,1.6,4.6,-1.8
2010/1/14,0.2,2.3,-1.8
2010/1/15,1.9,4.3,0.0
2010/1/16,1.2,3.6,-1.0
2010/1/17,1.8,4.7,-0.6
2010/1/18,4.1,7.7,0.0
2010/1/19,5.8,10.5,2.5
2010/1/20,9.4,16.0,0.0
2010/1/21,6.4,15.2,1.9
2010/1/22,3.7,7.0,0.1
2010/1/23,3.1,5.1,0.5
2010/1/24,5.7,9.4,2.1
2010/1/25,6.7,9.5,4.6
2010/1/26,3.6,6.6,1.6
2010/1/27,6.7,11.4,1.6
2010/1/28,10.0,13.3,7.2
2010/1/29,6.0,8.3,4.3
2010/1/30,6.5,9.4,4.9
2010/1/31,8.0,11.6,3.9
2010/2/1,4.9,8.2,2.9
2010/2/2,4.1,7.5,0.3
2010/2/3,0.6,4.0,-1.2
2010/2/4,1.1,2.8,-1.2
2010/2/5,1.8,5.4,-0.3
2010/2/6,1.4,3.4,-1.5
2010/2/7,3.6,6.2,1.4
2010/2/8,4.3,9.0,-0.2
2010/2/9,9.6,12.8,5.0
2010/2/10,4.6,6.8,2.0
2010/2/11,1.9,3.7,0.1
2010/2/12,1.7,3.7,0.3
2010/2/13,1.4,4.4,0.2
2010/2/14,4.2,8.4,-1.4
2010/2/15,4.8,6.0,3.9
2010/2/16,1.9,4.3,-0.5
2010/2/17,0.4,2.9,-2.0
2010/2/18,1.7,5.7,-0.8
2010/2/19,2.1,4.9,0.2
2010/2/20,3.6,6.7,1.1
2010/2/21,3.7,7.9,0.8
2010/2/22,8.3,14.2,-0.3
2010/2/23,9.6,14.3,6.2
2010/2/24,11.3,18.6,4.6
2010/2/25,14.3,22.2,6.2
2010/2/26,14.7,19.0,9.8
2010/2/27,7.9,9.9,6.4
2010/2/28,6.2,8.0,3.9
2010/3/1,6.6,10.4,4.1
2010/3/2,6.3,7.4,5.4
2010/3/3,7.1,10.4,4.7
2010/3/4,7.4,9.5,4.7
2010/3/5,11.0,14.2,8.8
2010/3/6,8.2,9.8,6.9
2010/3/7,3.7,7.2,2.2
2010/3/8,3.9,6.4,2.6
2010/3/9,1.5,4.1,0.0
2010/3/10,3.8,6.9,0.6
2010/3/11,5.2,8.6,1.2
2010/3/12,10.5,16.2,1.8
2010/3/13,9.2,15.7,3.8
2010/3/14,6.5,12.4,1.6
2010/3/15,13.5,20.6,4.6
2010/3/16,8.7,15.5,3.9
2010/3/17,5.3,8.2,2.7
2010/3/18,5.4,9.3,3.4
2010/3/19,7.3,11.2,3.6
2010/3/20,18.2,24.9,4.6
2010/3/21,7.7,19.4,4.2
2010/3/22,6.7,10.5,2.7
2010/3/23,8.7,10.5,6.6
2010/3/24,7.0,8.6,6.4
2010/3/25,4.9,6.5,3.6
2010/3/26,3.3,6.0,0.7
2010/3/27,4.2,9.0,0.6
2010/3/28,4.2,8.1,2.2
2010/3/29,3.3,6.9,0.3
2010/3/30,3.4,7.6,-0.8
2010/3/31,8.6,14.1,0.7
2010/4/1,16.7,21.0,9.8
2010/4/2,9.0,12.6,5.8
2010/4/3,6.6,11.0,3.1
2010/4/4,7.9,13.4,1.5
2010/4/5,12.7,18.8,7.5
2010/4/6,13.2,19.5,7.7
2010/4/7,7.4,10.8,4.7
2010/4/8,7.2,12.1,3.3
2010/4/9,12.6,21.1,3.6
2010/4/10,17.2,23.2,10.3
2010/4/11,11.0,17.2,8.6
2010/4/12,9.4,11.2,6.9
2010/4/13,11.6,16.6,8.1
2010/4/14,7.5,10.0,3.8
2010/4/15,5.9,8.8,2.6
2010/4/16,7.0,9.5,5.4
2010/4/17,8.7,11.8,5.6
2010/4/18,9.6,14.9,4.0
2010/4/19,14.9,21.7,8.7
2010/4/20,15.0,18.5,12.6
2010/4/21,11.4,15.1,9.0
2010/4/22,8.2,9.2,6.7
2010/4/23,7.9,9.8,5.0
2010/4/24,9.0,13.2,4.9
2010/4/25,10.2,15.1,4.6
2010/4/26,12.5,20.1,6.1
2010/4/27,12.9,16.6,10.3
2010/4/28,12.5,16.1,10.1
2010/4/29,12.1,14.9,9.1
2010/4/30,12.3,16.7,8.4
2010/5/1,13.8,17.9,8.1
