ダウンロードした時刻：2019/10/10 15:45:31

,富山,富山,富山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2004/12/1,9.4,13.8,5.8
2004/12/2,8.9,12.9,4.8
2004/12/3,10.2,18.7,2.1
2004/12/4,15.2,20.0,10.3
2004/12/5,12.1,17.1,6.9
2004/12/6,7.3,11.8,4.0
2004/12/7,9.4,13.2,3.8
2004/12/8,9.9,13.2,7.5
2004/12/9,8.9,13.2,5.1
2004/12/10,11.5,19.9,3.0
2004/12/11,9.3,11.0,6.3
2004/12/12,8.6,14.0,3.4
2004/12/13,8.8,11.9,4.8
2004/12/14,7.6,13.1,2.8
2004/12/15,9.4,15.9,5.7
2004/12/16,8.6,12.8,6.0
2004/12/17,5.9,9.1,3.1
2004/12/18,7.7,11.0,1.9
2004/12/19,9.3,11.7,7.1
2004/12/20,11.2,19.3,6.4
2004/12/21,5.6,6.7,4.4
2004/12/22,4.1,6.7,2.4
2004/12/23,2.5,5.5,0.5
2004/12/24,4.9,9.2,2.0
2004/12/25,6.8,12.5,2.1
2004/12/26,3.6,6.6,0.6
2004/12/27,2.2,4.1,0.5
2004/12/28,2.7,6.8,1.1
2004/12/29,3.9,8.5,1.3
2004/12/30,1.3,4.2,-0.3
2004/12/31,1.6,4.2,0.4
2005/1/1,1.3,3.2,-0.7
2005/1/2,3.3,7.7,-1.4
2005/1/3,7.3,10.2,3.7
2005/1/4,5.9,10.1,0.7
2005/1/5,1.2,4.7,-1.1
2005/1/6,3.2,10.7,-1.9
2005/1/7,5.3,10.1,1.8
2005/1/8,2.1,5.8,0.2
2005/1/9,0.3,3.1,-1.1
2005/1/10,0.7,2.9,-1.7
2005/1/11,0.8,1.9,0.3
2005/1/12,0.3,2.1,-1.0
2005/1/13,1.7,5.8,-1.6
2005/1/14,3.2,7.4,1.1
2005/1/15,3.9,8.6,1.1
2005/1/16,3.8,5.9,2.4
2005/1/17,3.4,5.7,2.0
2005/1/18,3.8,7.8,1.4
2005/1/19,4.6,9.5,1.4
2005/1/20,1.5,4.2,0.4
2005/1/21,0.8,2.6,-0.4
2005/1/22,0.8,3.7,-1.8
2005/1/23,0.6,4.6,-2.2
2005/1/24,3.4,9.1,-2.9
2005/1/25,3.6,6.3,1.8
2005/1/26,2.8,6.3,1.3
2005/1/27,4.2,9.0,-0.6
2005/1/28,4.9,8.9,1.3
2005/1/29,7.6,15.6,-0.2
2005/1/30,0.9,4.9,-0.6
2005/1/31,0.2,3.0,-1.0
2005/2/1,-1.1,-0.3,-1.7
2005/2/2,0.0,1.9,-1.6
2005/2/3,0.5,1.9,-0.8
2005/2/4,1.1,2.8,-0.7
2005/2/5,1.0,2.6,-0.4
2005/2/6,0.9,3.3,-1.4
2005/2/7,2.2,5.7,-0.3
2005/2/8,2.3,4.1,0.6
2005/2/9,4.6,10.9,-0.5
2005/2/10,2.2,5.7,-0.3
2005/2/11,0.2,3.3,-1.6
2005/2/12,0.8,3.5,-1.6
2005/2/13,1.7,7.9,-1.6
2005/2/14,2.5,5.8,0.5
2005/2/15,4.3,10.8,-1.4
2005/2/16,5.1,6.8,2.9
2005/2/17,4.3,5.8,2.4
2005/2/18,4.0,6.9,1.1
2005/2/19,4.7,6.6,2.8
2005/2/20,2.7,6.4,-0.7
2005/2/21,0.4,3.3,-1.8
2005/2/22,1.4,5.0,-1.5
2005/2/23,6.1,8.5,4.3
2005/2/24,2.7,5.4,0.5
2005/2/25,4.0,9.6,0.6
2005/2/26,-0.5,1.7,-1.3
2005/2/27,0.3,4.2,-1.9
2005/2/28,1.8,7.3,-1.4
2005/3/1,0.9,3.7,-1.9
2005/3/2,0.4,3.9,-2.7
2005/3/3,2.4,5.2,-0.2
2005/3/4,2.6,5.4,0.4
2005/3/5,2.1,4.0,-0.6
2005/3/6,2.1,7.4,-2.0
2005/3/7,5.8,13.6,-1.9
2005/3/8,9.1,15.1,4.5
2005/3/9,6.1,10.8,2.6
2005/3/10,10.6,21.2,1.7
2005/3/11,12.3,16.8,7.8
2005/3/12,3.2,7.9,-0.9
2005/3/13,-0.3,2.5,-1.6
2005/3/14,2.1,6.6,-1.3
2005/3/15,5.8,11.3,0.5
2005/3/16,8.6,15.2,5.0
2005/3/17,11.4,15.8,5.2
2005/3/18,6.6,9.8,3.4
2005/3/19,5.1,10.7,0.2
2005/3/20,7.2,15.1,0.9
2005/3/21,7.1,12.0,2.5
2005/3/22,11.5,14.9,5.4
2005/3/23,7.1,9.5,4.0
2005/3/24,6.0,12.2,2.4
2005/3/25,1.9,5.9,0.2
2005/3/26,4.2,9.4,0.4
2005/3/27,10.3,19.4,3.0
2005/3/28,9.9,13.6,6.5
2005/3/29,7.6,11.6,2.4
2005/3/30,5.1,9.1,2.6
2005/3/31,6.9,13.5,2.2
