ダウンロードした時刻：2019/10/10 15:46:00

,長野,長野,長野
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/12/1,2.2,9.2,-4.1
1986/12/2,2.6,6.6,-1.3
1986/12/3,3.0,9.0,-3.3
1986/12/4,4.6,10.2,0.7
1986/12/5,3.2,8.5,-0.3
1986/12/6,3.8,9.6,-2.6
1986/12/7,4.9,11.2,0.9
1986/12/8,3.3,7.6,0.0
1986/12/9,2.1,8.9,-3.0
1986/12/10,4.4,10.7,-3.6
1986/12/11,5.2,8.7,0.5
1986/12/12,4.1,10.8,-2.6
1986/12/13,6.7,11.1,1.4
1986/12/14,5.3,7.7,1.9
1986/12/15,3.0,6.2,0.6
1986/12/16,1.9,6.3,-0.4
1986/12/17,1.1,4.9,-1.9
1986/12/18,6.1,10.2,-2.4
1986/12/19,7.3,10.7,2.9
1986/12/20,-0.1,3.2,-2.2
1986/12/21,0.7,5.5,-3.7
1986/12/22,-1.3,1.5,-4.0
1986/12/23,-2.3,2.9,-6.7
1986/12/24,1.7,6.8,-4.3
1986/12/25,4.0,7.1,1.1
1986/12/26,2.1,5.4,-1.2
1986/12/27,-0.6,1.5,-2.1
1986/12/28,-0.3,4.6,-2.7
1986/12/29,-1.6,2.1,-3.9
1986/12/30,-0.9,5.0,-5.1
1986/12/31,2.4,7.1,-1.9
1987/1/1,-0.2,5.0,-2.5
1987/1/2,1.3,5.6,-2.5
1987/1/3,4.2,10.2,1.4
1987/1/4,-0.1,3.0,-2.4
1987/1/5,-1.1,0.4,-3.3
1987/1/6,0.0,3.1,-2.3
1987/1/7,0.0,4.0,-4.4
1987/1/8,3.3,8.1,-0.5
1987/1/9,-0.6,1.0,-1.6
1987/1/10,-3.1,-1.4,-6.0
1987/1/11,-4.2,0.2,-8.1
1987/1/12,-2.7,2.5,-7.8
1987/1/13,-0.7,4.4,-3.7
1987/1/14,-2.1,1.4,-4.9
1987/1/15,-0.8,4.4,-5.5
1987/1/16,1.5,6.3,-5.2
1987/1/17,4.4,7.7,0.2
1987/1/18,-0.3,4.0,-2.5
1987/1/19,-1.9,0.5,-4.7
1987/1/20,-4.1,-2.0,-5.5
1987/1/21,-3.4,1.3,-5.8
1987/1/22,-1.8,3.5,-8.4
1987/1/23,6.2,12.8,-2.0
1987/1/24,3.1,10.9,-1.7
1987/1/25,-3.3,0.2,-5.9
1987/1/26,-3.1,0.5,-5.7
1987/1/27,-0.5,4.2,-4.5
1987/1/28,0.8,6.4,-2.0
1987/1/29,1.3,8.0,-4.6
1987/1/30,0.2,4.9,-3.2
1987/1/31,-1.6,2.2,-3.8
1987/2/1,-3.4,0.9,-6.0
1987/2/2,-1.9,4.1,-8.7
1987/2/3,-0.2,2.6,-2.1
1987/2/4,-2.4,-0.9,-4.4
1987/2/5,-1.6,5.0,-7.3
1987/2/6,1.3,5.5,-1.7
1987/2/7,1.4,7.8,-4.7
1987/2/8,1.6,5.9,-1.8
1987/2/9,2.0,9.6,-3.9
1987/2/10,4.4,12.0,-2.3
1987/2/11,8.3,17.9,0.3
1987/2/12,3.6,11.8,0.4
1987/2/13,0.5,4.9,-1.4
1987/2/14,0.9,5.6,-1.8
1987/2/15,-0.7,3.7,-3.0
1987/2/16,-1.7,2.5,-3.1
1987/2/17,-1.1,2.4,-4.4
1987/2/18,0.2,3.3,-1.5
1987/2/19,-1.9,0.1,-3.6
1987/2/20,-1.2,3.0,-3.8
1987/2/21,-1.2,4.2,-5.5
1987/2/22,0.7,4.0,-3.5
1987/2/23,3.6,9.9,-0.4
1987/2/24,5.6,14.2,-2.5
1987/2/25,-0.3,6.1,-4.2
1987/2/26,-4.0,-2.5,-5.2
1987/2/27,-2.3,1.9,-5.8
1987/2/28,-1.4,2.0,-4.7
1987/3/1,-2.5,0.0,-4.9
1987/3/2,-3.1,1.0,-6.6
1987/3/3,-0.5,5.3,-7.0
1987/3/4,3.4,10.4,-3.1
1987/3/5,7.1,13.3,0.5
1987/3/6,0.6,10.4,-2.3
1987/3/7,-2.0,0.6,-3.8
1987/3/8,0.4,4.5,-3.1
1987/3/9,1.3,7.5,-1.5
1987/3/10,-0.6,2.3,-3.8
1987/3/11,0.7,3.8,-1.5
1987/3/12,3.3,9.5,-1.1
1987/3/13,6.5,8.8,0.3
1987/3/14,6.8,16.9,2.6
1987/3/15,1.8,5.8,-0.8
1987/3/16,1.5,5.6,-1.6
1987/3/17,2.9,9.2,-2.8
1987/3/18,4.3,9.4,1.2
1987/3/19,7.3,15.7,0.5
1987/3/20,6.4,12.0,2.1
1987/3/21,8.4,18.4,0.8
1987/3/22,10.3,18.2,1.8
1987/3/23,12.9,16.0,10.4
1987/3/24,13.3,16.8,7.6
1987/3/25,4.7,12.9,-1.4
1987/3/26,1.0,6.1,-3.0
1987/3/27,3.1,11.4,-2.9
1987/3/28,4.7,10.9,-1.2
1987/3/29,7.1,14.6,1.4
1987/3/30,9.7,17.3,1.1
1987/3/31,1.3,9.6,-2.7
