ダウンロードした時刻：2017/07/24 15:39:37

,福井,福井,福井
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/1/1,3.0,6.0,0.7
1986/1/2,0.6,2.7,-0.3
1986/1/3,2.0,5.1,-1.0
1986/1/4,4.1,7.0,0.6
1986/1/5,-1.1,1.5,-2.5
1986/1/6,-0.1,1.9,-2.4
1986/1/7,2.1,5.5,-0.2
1986/1/8,2.1,6.6,-1.1
1986/1/9,-0.1,1.9,-1.0
1986/1/10,-0.1,1.8,-1.7
1986/1/11,-0.1,1.6,-2.8
1986/1/12,-0.7,2.0,-3.4
1986/1/13,1.1,4.5,-2.3
1986/1/14,0.4,2.0,-1.0
1986/1/15,0.8,6.9,-1.8
1986/1/16,2.5,7.8,-1.9
1986/1/17,3.0,6.9,1.2
1986/1/18,2.2,5.4,-1.4
1986/1/19,-0.6,5.2,-5.7
1986/1/20,1.4,7.6,-6.1
1986/1/21,2.2,5.3,-0.2
1986/1/22,-0.7,0.5,-1.7
1986/1/23,0.9,4.5,-1.3
1986/1/24,-0.2,1.8,-1.7
1986/1/25,0.1,2.4,-1.5
1986/1/26,-0.6,0.2,-1.2
1986/1/27,-1.0,-0.2,-1.7
1986/1/28,0.4,2.2,-1.4
1986/1/29,0.5,3.9,-1.9
1986/1/30,2.0,8.0,-2.7
1986/1/31,2.7,6.6,0.8
1986/2/1,0.9,3.4,-1.8
1986/2/2,0.7,4.2,-1.7
1986/2/3,0.6,3.7,-2.4
1986/2/4,0.0,0.9,-1.6
1986/2/5,0.4,2.9,-1.2
1986/2/6,-0.2,3.1,-1.9
1986/2/7,-1.1,3.5,-5.4
1986/2/8,-1.3,3.6,-6.2
1986/2/9,0.0,2.0,-1.3
1986/2/10,-1.2,2.0,-4.4
1986/2/11,-1.3,2.4,-6.7
1986/2/12,0.6,5.2,-3.1
1986/2/13,3.0,7.9,-2.7
1986/2/14,4.0,7.9,1.9
1986/2/15,0.6,3.2,-0.8
1986/2/16,-1.8,0.9,-3.8
1986/2/17,0.1,3.6,-4.0
1986/2/18,0.0,2.3,-2.6
1986/2/19,2.6,6.0,0.0
1986/2/20,1.3,4.6,-1.2
1986/2/21,1.0,3.3,-0.8
1986/2/22,1.8,6.3,-1.6
1986/2/23,2.2,5.5,0.0
1986/2/24,-0.5,1.9,-1.7
1986/2/25,0.0,2.5,-2.5
1986/2/26,1.1,4.9,-4.0
1986/2/27,0.5,2.6,-1.5
1986/2/28,0.6,5.0,-2.8
1986/3/1,1.1,5.9,-1.3
1986/3/2,0.4,4.8,-3.0
1986/3/3,1.9,5.3,-0.1
1986/3/4,1.7,5.6,-1.0
1986/3/5,3.3,6.3,-2.1
1986/3/6,4.5,8.7,0.9
1986/3/7,3.2,8.9,-2.3
1986/3/8,3.5,10.3,-2.3
1986/3/9,7.9,16.8,0.3
1986/3/10,7.5,11.4,4.2
1986/3/11,4.1,6.1,2.3
1986/3/12,5.0,8.9,2.0
1986/3/13,5.9,12.2,-0.1
1986/3/14,5.3,7.1,3.2
1986/3/15,7.9,16.0,3.5
1986/3/16,6.5,10.3,4.4
1986/3/17,4.5,7.8,0.6
1986/3/18,3.4,7.2,-1.2
1986/3/19,7.7,10.9,3.9
1986/3/20,5.0,7.3,3.4
1986/3/21,5.0,8.0,2.0
1986/3/22,5.6,10.2,0.5
1986/3/23,4.1,5.5,3.2
1986/3/24,6.2,9.3,3.3
1986/3/25,5.0,9.1,1.2
1986/3/26,6.6,14.1,-1.1
1986/3/27,9.6,17.4,0.8
1986/3/28,9.0,10.8,6.2
1986/3/29,9.1,12.8,6.6
1986/3/30,10.3,17.5,4.2
1986/3/31,7.7,11.0,2.8
1986/4/1,6.4,12.6,0.7
1986/4/2,8.8,15.7,0.9
1986/4/3,12.3,20.0,4.6
1986/4/4,11.9,14.0,10.4
1986/4/5,10.2,13.4,4.8
1986/4/6,9.7,15.2,3.0
1986/4/7,6.5,9.2,2.8
1986/4/8,9.9,17.2,0.3
1986/4/9,14.5,19.6,9.7
1986/4/10,13.8,17.6,11.6
1986/4/11,9.2,13.9,4.3
1986/4/12,7.5,13.3,1.5
1986/4/13,10.5,18.0,2.2
1986/4/14,14.0,23.0,3.9
1986/4/15,13.8,17.4,9.9
1986/4/16,8.5,11.7,2.8
1986/4/17,12.8,21.2,0.7
1986/4/18,16.1,20.9,11.5
1986/4/19,15.8,21.1,12.2
1986/4/20,18.4,22.3,13.1
1986/4/21,15.4,18.3,13.9
1986/4/22,12.5,14.7,11.5
1986/4/23,14.0,18.8,11.7
1986/4/24,16.9,24.8,9.8
1986/4/25,18.9,26.3,13.4
1986/4/26,19.8,27.0,14.5
1986/4/27,19.1,23.3,13.2
1986/4/28,12.6,15.3,11.0
1986/4/29,12.3,15.8,10.0
1986/4/30,15.3,20.3,8.7
1986/5/1,18.1,24.2,12.2
