ダウンロードした時刻：2017/07/24 15:39:51

,高山,高山,高山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1999/1/1,-2.1,0.1,-4.2
1999/1/2,-1.4,2.6,-4.7
1999/1/3,-0.9,1.4,-3.5
1999/1/4,-1.8,1.9,-5.8
1999/1/5,-3.2,5.9,-9.2
1999/1/6,-1.0,7.4,-6.0
1999/1/7,1.4,6.9,-3.3
1999/1/8,-4.0,-2.3,-5.0
1999/1/9,-4.8,-2.9,-6.2
1999/1/10,-3.6,-1.4,-5.9
1999/1/11,-2.1,0.7,-4.1
1999/1/12,-2.5,0.4,-4.2
1999/1/13,-1.6,1.8,-4.7
1999/1/14,-0.8,1.0,-1.5
1999/1/15,-0.2,3.2,-2.5
1999/1/16,-0.2,2.6,-3.0
1999/1/17,-3.0,1.9,-8.1
1999/1/18,-3.5,5.8,-9.4
1999/1/19,-2.5,0.7,-5.8
1999/1/20,1.1,3.1,0.0
1999/1/21,-1.2,2.0,-4.2
1999/1/22,-1.1,7.4,-5.8
1999/1/23,0.2,6.6,-4.8
1999/1/24,2.1,7.0,0.2
1999/1/25,2.9,7.6,0.8
1999/1/26,1.8,6.1,-2.2
1999/1/27,0.5,7.9,-3.9
1999/1/28,0.0,4.9,-4.1
1999/1/29,-1.5,1.0,-3.0
1999/1/30,-3.6,1.1,-8.2
1999/1/31,-1.0,6.2,-4.3
1999/2/1,-0.5,5.7,-5.9
1999/2/2,-0.5,3.4,-3.0
1999/2/3,-5.1,-2.7,-8.9
1999/2/4,-5.9,0.0,-10.9
1999/2/5,-5.6,1.9,-14.8
1999/2/6,-2.8,1.5,-8.4
1999/2/7,-3.9,3.2,-12.1
1999/2/8,0.9,6.8,-3.9
1999/2/9,0.3,8.5,-5.6
1999/2/10,-0.3,3.8,-3.3
1999/2/11,-1.6,0.3,-3.4
1999/2/12,-2.6,-0.1,-5.1
1999/2/13,-5.2,-2.3,-7.0
1999/2/14,-4.2,0.1,-7.3
1999/2/15,-2.3,4.7,-8.4
1999/2/16,0.9,10.2,-4.7
1999/2/17,1.2,11.6,-6.7
1999/2/18,0.3,1.9,-2.5
1999/2/19,-0.3,3.0,-4.9
1999/2/20,-2.9,1.9,-9.0
1999/2/21,-2.8,1.6,-7.1
1999/2/22,-2.5,5.1,-9.3
1999/2/23,-0.4,6.2,-5.2
1999/2/24,0.1,3.3,-4.3
1999/2/25,1.8,4.8,-2.8
1999/2/26,2.1,10.2,-3.9
1999/2/27,1.5,8.2,-4.5
1999/2/28,-1.5,4.8,-6.4
1999/3/1,1.0,11.6,-6.6
1999/3/2,3.0,10.2,-2.1
1999/3/3,4.0,13.4,-1.4
1999/3/4,3.8,14.5,-4.1
1999/3/5,3.3,7.8,-1.7
1999/3/6,4.3,10.1,-1.2
1999/3/7,2.8,3.9,1.6
1999/3/8,3.6,8.3,0.8
1999/3/9,2.2,4.7,-0.7
1999/3/10,3.6,9.5,0.4
1999/3/11,2.5,6.2,-0.5
1999/3/12,0.3,4.0,-2.5
1999/3/13,5.4,15.0,-2.5
1999/3/14,10.3,19.2,2.3
1999/3/15,9.2,12.4,6.3
1999/3/16,7.0,10.8,1.1
1999/3/17,7.9,17.7,0.3
1999/3/18,12.5,19.1,5.8
1999/3/19,9.4,13.8,3.9
1999/3/20,1.1,3.9,-1.1
1999/3/21,0.2,3.5,-2.1
1999/3/22,-1.4,1.9,-3.5
1999/3/23,0.8,8.9,-4.9
1999/3/24,5.6,16.3,-4.4
1999/3/25,9.9,19.5,3.1
1999/3/26,11.4,17.3,6.0
1999/3/27,6.0,10.1,1.3
1999/3/28,3.3,10.2,-1.9
1999/3/29,-0.2,4.0,-3.7
1999/3/30,2.5,8.6,-3.2
1999/3/31,6.9,15.4,2.5
1999/4/1,9.2,20.1,0.6
1999/4/2,9.4,13.5,3.3
1999/4/3,4.5,9.6,0.4
1999/4/4,6.3,16.0,-1.3
1999/4/5,7.1,15.6,-0.2
1999/4/6,5.6,14.4,1.2
1999/4/7,3.0,8.5,-0.9
1999/4/8,1.5,7.2,-2.1
1999/4/9,5.1,15.9,-4.7
1999/4/10,6.5,9.8,2.1
1999/4/11,13.1,21.9,6.8
1999/4/12,13.2,21.7,4.4
1999/4/13,13.7,18.5,8.4
1999/4/14,7.5,12.2,1.9
1999/4/15,7.8,16.4,0.7
1999/4/16,10.0,18.9,0.1
1999/4/17,11.0,19.6,2.3
1999/4/18,9.6,11.7,6.6
1999/4/19,11.7,14.3,9.3
1999/4/20,14.6,21.7,8.8
1999/4/21,13.5,22.0,5.5
1999/4/22,15.8,23.6,7.4
1999/4/23,11.9,16.0,10.1
1999/4/24,13.2,19.1,10.0
1999/4/25,12.6,17.3,9.6
1999/4/26,15.0,22.3,10.6
1999/4/27,17.2,26.9,11.8
1999/4/28,12.6,21.2,8.4
1999/4/29,7.6,12.3,0.5
1999/4/30,8.5,20.3,-2.0
1999/5/1,11.9,21.9,1.8
