ダウンロードした時刻：2017/07/24 15:40:13

,前橋,前橋,前橋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2009/1/1,3.6,8.8,0.1
2009/1/2,3.5,9.8,-1.6
2009/1/3,4.4,9.3,-0.4
2009/1/4,5.0,10.1,0.7
2009/1/5,5.6,11.2,0.4
2009/1/6,4.9,10.2,0.7
2009/1/7,3.9,10.0,-0.3
2009/1/8,3.2,8.5,-1.1
2009/1/9,2.2,4.0,0.4
2009/1/10,3.6,7.6,0.3
2009/1/11,2.5,7.4,-1.2
2009/1/12,1.3,8.5,-2.0
2009/1/13,1.0,8.6,-3.1
2009/1/14,2.5,8.5,-1.6
2009/1/15,1.5,5.4,-2.0
2009/1/16,1.8,9.2,-4.4
2009/1/17,3.4,9.1,-1.6
2009/1/18,3.2,7.4,-0.9
2009/1/19,6.5,14.0,2.7
2009/1/20,5.0,10.3,0.4
2009/1/21,4.5,9.1,0.7
2009/1/22,4.7,6.7,2.6
2009/1/23,9.7,16.9,5.1
2009/1/24,4.4,8.3,-0.7
2009/1/25,2.1,8.7,-2.7
2009/1/26,3.6,10.9,-1.4
2009/1/27,5.3,11.6,0.9
2009/1/28,4.6,7.5,1.8
2009/1/29,7.1,12.1,1.1
2009/1/30,8.5,9.9,6.8
2009/1/31,8.8,12.8,6.6
2009/2/1,5.5,8.8,2.6
2009/2/2,5.0,10.7,1.1
2009/2/3,6.7,13.9,0.8
2009/2/4,4.9,10.2,0.5
2009/2/5,4.1,9.1,0.2
2009/2/6,5.3,9.5,1.1
2009/2/7,4.6,9.9,-0.5
2009/2/8,5.3,9.0,1.4
2009/2/9,3.7,8.1,-0.8
2009/2/10,6.2,13.7,1.3
2009/2/11,4.6,9.1,-0.1
2009/2/12,7.7,13.9,3.1
2009/2/13,7.5,11.9,2.2
2009/2/14,12.4,20.4,8.4
2009/2/15,9.9,16.5,3.4
2009/2/16,6.1,11.8,0.2
2009/2/17,1.7,7.0,-2.0
2009/2/18,2.9,9.1,-3.6
2009/2/19,3.7,7.8,-0.4
2009/2/20,5.2,13.8,0.0
2009/2/21,3.2,7.3,0.4
2009/2/22,4.8,10.8,-2.1
2009/2/23,6.4,10.9,2.6
2009/2/24,3.7,4.8,1.7
2009/2/25,7.9,16.4,1.4
2009/2/26,6.2,8.9,4.4
2009/2/27,3.1,4.4,2.4
2009/2/28,5.7,10.6,0.3
2009/3/1,6.8,11.2,4.1
2009/3/2,4.0,7.7,0.7
2009/3/3,1.9,5.3,0.1
2009/3/4,5.7,11.5,0.9
2009/3/5,7.1,12.2,0.7
2009/3/6,6.8,10.5,4.4
2009/3/7,8.1,11.5,6.1
2009/3/8,7.5,12.4,3.0
2009/3/9,8.4,12.2,5.0
2009/3/10,9.1,16.8,3.4
2009/3/11,5.0,10.8,1.4
2009/3/12,4.9,10.4,0.3
2009/3/13,5.8,9.6,1.5
2009/3/14,7.0,10.4,3.6
2009/3/15,7.6,13.6,1.2
2009/3/16,8.9,15.5,2.6
2009/3/17,10.1,16.8,4.4
2009/3/18,12.0,19.5,4.5
2009/3/19,15.3,22.9,7.1
2009/3/20,11.3,17.9,5.6
2009/3/21,10.8,16.8,5.4
2009/3/22,10.4,13.7,6.5
2009/3/23,9.3,14.0,4.5
2009/3/24,7.7,13.2,3.3
2009/3/25,6.2,8.7,3.8
2009/3/26,5.3,11.9,1.9
2009/3/27,5.2,11.6,0.9
2009/3/28,5.0,10.0,1.0
2009/3/29,6.0,11.0,2.0
2009/3/30,7.8,14.9,2.6
2009/3/31,9.8,14.3,6.2
2009/4/1,8.5,11.6,5.1
2009/4/2,7.3,12.2,3.9
2009/4/3,10.1,18.4,1.0
2009/4/4,10.1,14.7,5.8
2009/4/5,12.7,18.2,8.6
2009/4/6,13.4,20.7,5.6
2009/4/7,15.2,22.7,7.5
2009/4/8,15.0,22.1,8.3
2009/4/9,16.9,25.6,8.0
2009/4/10,17.9,26.8,9.9
2009/4/11,18.6,28.3,11.3
2009/4/12,16.0,21.8,9.7
2009/4/13,19.5,26.4,12.6
2009/4/14,16.4,21.0,13.7
2009/4/15,16.6,20.9,12.1
2009/4/16,16.6,24.4,10.9
2009/4/17,11.8,12.9,10.6
2009/4/18,14.7,20.4,10.7
2009/4/19,16.8,24.2,10.9
2009/4/20,13.4,15.8,9.6
2009/4/21,15.4,17.0,13.7
2009/4/22,18.3,24.9,13.2
2009/4/23,13.6,18.1,9.7
2009/4/24,11.6,17.6,6.6
2009/4/25,9.9,10.6,9.3
2009/4/26,13.8,21.0,9.6
2009/4/27,11.5,16.2,7.6
2009/4/28,12.1,19.3,5.9
2009/4/29,13.9,22.6,5.2
2009/4/30,16.8,24.9,8.4
2009/5/1,19.3,27.8,11.6
