É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2017/07/24 15:40:19

,åFíJ,åFíJ,åFíJ
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1996/1/1,4.3,9.7,-1.5
1996/1/2,3.7,8.8,-0.2
1996/1/3,4.5,10.7,-1.0
1996/1/4,4.2,8.1,0.9
1996/1/5,6.5,12.8,0.1
1996/1/6,6.8,12.1,1.8
1996/1/7,6.4,12.9,1.6
1996/1/8,4.2,11.1,-1.1
1996/1/9,0.9,5.7,-2.6
1996/1/10,3.2,8.3,-3.5
1996/1/11,6.4,11.5,2.3
1996/1/12,5.5,11.4,-0.4
1996/1/13,6.4,13.1,0.7
1996/1/14,4.6,10.4,-1.4
1996/1/15,9.3,19.2,0.7
1996/1/16,12.0,16.4,7.4
1996/1/17,5.5,10.3,2.1
1996/1/18,4.3,9.6,0.2
1996/1/19,2.1,4.8,-2.0
1996/1/20,2.6,5.1,0.4
1996/1/21,4.4,9.7,-0.6
1996/1/22,5.1,7.4,2.5
1996/1/23,4.7,11.1,-0.3
1996/1/24,2.8,8.1,-2.1
1996/1/25,1.2,6.9,-5.3
1996/1/26,1.5,7.0,-2.4
1996/1/27,2.6,8.5,-2.5
1996/1/28,3.4,10.1,-3.2
1996/1/29,4.8,12.3,-2.5
1996/1/30,2.8,10.2,-1.8
1996/1/31,1.2,6.4,-3.4
1996/2/1,0.8,6.9,-5.1
1996/2/2,-1.1,3.6,-3.5
1996/2/3,2.4,8.0,-2.5
1996/2/4,3.5,10.1,-2.5
1996/2/5,4.0,11.1,-2.0
1996/2/6,3.8,7.9,1.3
1996/2/7,4.3,9.1,0.9
1996/2/8,3.3,8.6,-2.2
1996/2/9,3.7,10.0,-2.1
1996/2/10,2.0,7.1,-2.6
1996/2/11,3.3,10.5,-4.6
1996/2/12,4.9,14.3,-2.9
1996/2/13,7.4,16.3,0.0
1996/2/14,11.9,23.4,1.9
1996/2/15,11.2,18.4,6.1
1996/2/16,2.6,6.3,0.5
1996/2/17,0.5,1.9,-0.9
1996/2/18,0.6,2.6,-0.8
1996/2/19,1.1,6.4,-2.0
1996/2/20,1.2,6.8,-3.2
1996/2/21,1.2,7.3,-3.9
1996/2/22,2.5,8.7,-3.2
1996/2/23,3.4,10.2,-2.7
1996/2/24,3.8,10.1,-2.6
1996/2/25,3.5,8.4,0.4
1996/2/26,6.6,11.4,0.9
1996/2/27,6.0,8.3,3.8
1996/2/28,6.5,12.6,1.4
1996/2/29,5.9,11.0,-0.3
1996/3/1,7.0,15.4,3.5
1996/3/2,5.4,10.9,1.4
1996/3/3,3.5,9.3,-1.1
1996/3/4,4.1,11.9,-3.0
1996/3/5,2.8,7.2,-1.1
1996/3/6,4.5,11.0,-2.2
1996/3/7,4.1,9.1,-0.6
1996/3/8,4.3,7.7,0.4
1996/3/9,6.6,12.6,1.5
1996/3/10,6.0,11.5,1.9
1996/3/11,6.2,11.4,1.0
1996/3/12,4.0,8.0,0.5
1996/3/13,5.1,11.3,-1.0
1996/3/14,8.6,16.4,0.4
1996/3/15,6.9,8.2,4.9
1996/3/16,11.0,16.7,5.6
1996/3/17,10.7,15.1,7.1
1996/3/18,9.9,14.6,3.9
1996/3/19,6.7,12.6,1.8
1996/3/20,6.5,11.6,2.8
1996/3/21,9.1,16.3,1.7
1996/3/22,11.5,20.6,8.3
1996/3/23,8.0,12.7,4.6
1996/3/24,7.3,13.0,2.6
1996/3/25,9.7,18.2,4.9
1996/3/26,11.2,18.1,6.1
1996/3/27,8.4,11.6,2.7
1996/3/28,11.5,19.1,5.4
1996/3/29,10.1,15.4,6.6
1996/3/30,9.5,11.9,7.1
1996/3/31,15.8,23.2,8.0
1996/4/1,9.9,14.9,4.2
1996/4/2,6.8,12.2,3.0
1996/4/3,6.2,11.6,0.1
1996/4/4,8.2,14.5,1.7
1996/4/5,8.1,14.5,1.5
1996/4/6,11.2,19.8,1.8
1996/4/7,12.0,16.7,7.9
1996/4/8,12.0,19.0,6.8
1996/4/9,10.9,18.0,5.1
1996/4/10,10.7,16.2,5.4
1996/4/11,9.3,14.9,5.9
1996/4/12,5.6,10.4,2.3
1996/4/13,7.1,13.3,1.9
1996/4/14,10.4,19.6,0.5
1996/4/15,12.9,20.1,6.9
1996/4/16,10.3,11.5,9.0
1996/4/17,14.6,21.4,7.8
1996/4/18,12.4,20.8,9.2
1996/4/19,12.3,15.9,8.0
1996/4/20,8.3,11.6,6.0
1996/4/21,9.6,15.0,4.7
1996/4/22,9.5,14.3,6.1
1996/4/23,12.4,21.1,3.6
1996/4/24,15.6,24.5,7.2
1996/4/25,16.7,26.1,7.7
1996/4/26,16.6,24.9,8.7
1996/4/27,18.5,27.0,10.8
1996/4/28,18.7,26.5,11.0
1996/4/29,19.7,30.0,9.8
1996/4/30,18.0,23.0,13.6
1996/5/1,16.3,18.5,14.1
