ダウンロードした時刻：2019/10/10 15:52:53

,敦賀,敦賀,敦賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/12/1,10.3,15.6,7.0
2002/12/2,10.7,13.6,7.0
2002/12/3,11.7,15.7,8.1
2002/12/4,12.5,14.2,10.2
2002/12/5,14.1,16.5,11.4
2002/12/6,8.9,11.5,6.9
2002/12/7,7.1,9.2,4.2
2002/12/8,6.5,7.8,5.1
2002/12/9,6.8,10.1,4.5
2002/12/10,3.5,6.4,0.6
2002/12/11,2.4,4.6,0.3
2002/12/12,4.7,7.8,2.9
2002/12/13,3.9,5.4,1.3
2002/12/14,4.7,7.8,2.7
2002/12/15,7.7,12.8,3.9
2002/12/16,10.7,15.2,7.5
2002/12/17,8.0,13.0,2.7
2002/12/18,7.4,11.5,2.3
2002/12/19,8.9,11.7,6.6
2002/12/20,6.4,8.4,2.7
2002/12/21,5.2,8.5,2.7
2002/12/22,7.9,11.0,4.0
2002/12/23,6.6,10.9,2.6
2002/12/24,7.8,12.8,1.2
2002/12/25,8.0,11.7,3.6
2002/12/26,2.2,5.6,0.2
2002/12/27,2.6,3.7,0.2
2002/12/28,3.4,6.4,1.3
2002/12/29,4.2,5.8,2.6
2002/12/30,4.4,8.3,1.1
2002/12/31,4.4,6.4,3.0
2003/1/1,5.1,8.9,2.2
2003/1/2,2.6,4.2,0.7
2003/1/3,3.8,6.8,0.1
2003/1/4,5.2,7.7,2.1
2003/1/5,0.9,2.6,-1.5
2003/1/6,2.2,3.9,-0.1
2003/1/7,3.4,6.3,1.1
2003/1/8,2.8,8.8,-0.5
2003/1/9,4.5,10.8,-0.5
2003/1/10,5.1,8.1,3.2
2003/1/11,5.1,10.1,1.5
2003/1/12,7.1,10.9,3.7
2003/1/13,7.1,9.4,4.4
2003/1/14,6.9,11.9,1.6
2003/1/15,1.6,3.6,0.0
2003/1/16,2.5,5.2,-1.5
2003/1/17,7.5,13.4,3.4
2003/1/18,6.6,8.5,3.9
2003/1/19,5.0,8.8,2.3
2003/1/20,5.1,7.4,2.7
2003/1/21,3.2,4.6,1.8
2003/1/22,3.9,5.6,1.7
2003/1/23,5.5,7.4,2.6
2003/1/24,3.9,5.5,2.0
2003/1/25,4.7,7.4,2.9
2003/1/26,6.0,8.7,0.8
2003/1/27,9.6,11.5,6.7
2003/1/28,4.2,7.9,1.4
2003/1/29,-0.8,1.9,-4.6
2003/1/30,0.7,2.6,-2.4
2003/1/31,2.4,5.2,0.6
2003/2/1,2.7,4.5,1.7
2003/2/2,2.9,5.7,0.8
2003/2/3,2.9,6.5,0.5
2003/2/4,4.3,8.8,0.2
2003/2/5,4.3,8.0,2.6
2003/2/6,3.4,6.4,1.0
2003/2/7,6.1,11.6,1.9
2003/2/8,9.2,12.4,5.2
2003/2/9,9.3,11.8,4.2
2003/2/10,7.9,13.2,3.6
2003/2/11,7.8,9.3,5.7
2003/2/12,4.2,7.4,1.5
2003/2/13,3.8,7.2,2.0
2003/2/14,4.4,6.6,1.9
2003/2/15,6.5,10.9,2.9
2003/2/16,6.7,9.3,5.3
2003/2/17,6.8,10.6,1.9
2003/2/18,4.8,9.4,0.0
2003/2/19,5.1,10.6,0.2
2003/2/20,4.9,7.9,3.2
2003/2/21,4.2,8.0,1.0
2003/2/22,4.7,6.8,1.4
2003/2/23,7.7,11.2,5.3
2003/2/24,6.6,10.5,4.6
2003/2/25,6.1,9.8,1.9
2003/2/26,7.2,11.7,1.3
2003/2/27,5.9,8.3,3.7
2003/2/28,5.7,9.1,0.4
2003/3/1,9.4,11.1,7.5
2003/3/2,8.8,12.1,5.8
2003/3/3,7.5,10.2,2.0
2003/3/4,1.8,4.8,0.0
2003/3/5,2.8,6.4,-0.3
2003/3/6,5.6,12.3,-0.4
2003/3/7,9.3,11.5,6.2
2003/3/8,5.6,6.9,3.5
2003/3/9,3.4,6.5,1.6
2003/3/10,3.6,7.4,1.7
2003/3/11,3.1,6.7,0.6
2003/3/12,4.3,6.7,2.7
2003/3/13,4.8,9.0,1.4
2003/3/14,5.0,10.5,-0.4
2003/3/15,6.4,8.9,4.5
2003/3/16,6.7,12.6,1.9
2003/3/17,8.9,13.1,6.4
2003/3/18,6.9,10.7,2.6
2003/3/19,5.6,9.3,2.4
2003/3/20,7.7,11.9,4.9
2003/3/21,5.5,11.1,0.6
2003/3/22,5.5,9.2,2.1
2003/3/23,6.8,11.8,0.9
2003/3/24,12.9,19.0,5.5
2003/3/25,11.1,14.7,10.1
2003/3/26,11.0,14.6,7.8
2003/3/27,13.6,18.8,8.0
2003/3/28,10.3,13.6,7.5
2003/3/29,9.2,12.3,6.9
2003/3/30,10.0,16.5,1.9
2003/3/31,12.1,17.9,6.7
