ダウンロードした時刻：2017/07/24 15:40:50

,岐阜,岐阜,岐阜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2001/1/1,5.5,8.1,3.6
2001/1/2,5.2,10.4,1.9
2001/1/3,2.9,5.2,0.0
2001/1/4,1.2,3.2,0.2
2001/1/5,2.2,5.6,-0.1
2001/1/6,2.2,6.3,-0.9
2001/1/7,0.6,2.8,-2.6
2001/1/8,7.2,13.0,2.7
2001/1/9,5.1,7.4,1.3
2001/1/10,8.2,13.0,2.6
2001/1/11,5.1,10.7,-0.1
2001/1/12,3.6,7.3,1.6
2001/1/13,2.2,4.8,0.1
2001/1/14,1.3,4.2,-0.6
2001/1/15,-0.4,2.3,-2.3
2001/1/16,-0.1,4.3,-2.4
2001/1/17,0.8,5.0,-1.4
2001/1/18,1.7,5.3,-1.5
2001/1/19,2.6,5.8,0.3
2001/1/20,-0.1,2.0,-2.3
2001/1/21,4.7,8.8,-0.8
2001/1/22,4.0,8.7,-1.6
2001/1/23,4.5,10.3,-0.3
2001/1/24,3.6,8.8,-0.7
2001/1/25,4.0,6.0,0.4
2001/1/26,6.3,8.5,4.9
2001/1/27,4.8,6.4,3.3
2001/1/28,5.0,10.1,1.7
2001/1/29,3.5,8.0,-0.3
2001/1/30,3.0,9.1,-2.2
2001/1/31,4.6,9.9,-0.8
2001/2/1,3.7,6.0,0.5
2001/2/2,3.7,7.6,0.2
2001/2/3,2.8,8.5,-1.6
2001/2/4,4.0,7.4,-0.5
2001/2/5,7.7,14.4,3.2
2001/2/6,6.5,10.5,3.7
2001/2/7,6.2,10.4,1.1
2001/2/8,6.2,10.5,2.3
2001/2/9,3.1,8.0,-1.5
2001/2/10,3.3,8.8,-1.6
2001/2/11,3.9,9.4,-0.1
2001/2/12,3.9,7.3,1.6
2001/2/13,4.4,8.8,-0.1
2001/2/14,3.5,9.2,0.9
2001/2/15,2.0,7.5,-2.8
2001/2/16,2.8,9.1,-0.2
2001/2/17,3.6,9.8,-1.7
2001/2/18,6.8,14.1,0.3
2001/2/19,8.5,14.1,3.7
2001/2/20,7.1,13.6,3.1
2001/2/21,7.1,12.9,0.3
2001/2/22,10.8,18.5,5.0
2001/2/23,10.7,20.0,2.1
2001/2/24,8.7,12.3,5.3
2001/2/25,4.9,8.8,1.7
2001/2/26,3.7,8.8,-0.8
2001/2/27,5.8,13.9,-1.9
2001/2/28,6.8,8.2,4.6
2001/3/1,8.4,10.8,5.9
2001/3/2,6.9,10.9,2.7
2001/3/3,6.0,10.4,-0.1
2001/3/4,6.1,10.3,1.7
2001/3/5,3.0,6.6,-0.3
2001/3/6,7.6,13.7,2.3
2001/3/7,6.8,12.2,2.9
2001/3/8,3.2,8.9,0.1
2001/3/9,2.3,6.6,-0.6
2001/3/10,2.0,5.2,-0.4
2001/3/11,3.4,8.3,-0.2
2001/3/12,4.4,11.7,-2.3
2001/3/13,4.5,9.4,0.1
2001/3/14,8.0,15.3,-0.3
2001/3/15,9.7,15.6,6.1
2001/3/16,8.5,15.5,1.2
2001/3/17,6.7,8.2,3.9
2001/3/18,11.1,15.9,7.2
2001/3/19,11.4,19.5,3.7
2001/3/20,12.4,19.5,6.2
2001/3/21,14.0,21.3,7.5
2001/3/22,13.6,20.0,6.6
2001/3/23,13.3,18.1,9.1
2001/3/24,13.2,19.7,6.4
2001/3/25,13.7,16.5,11.3
2001/3/26,12.0,16.1,6.3
2001/3/27,9.7,15.6,4.3
2001/3/28,9.8,12.9,6.7
2001/3/29,11.0,13.8,7.5
2001/3/30,7.5,11.2,4.4
2001/3/31,5.4,10.6,1.5
2001/4/1,6.9,13.0,0.5
2001/4/2,10.7,18.4,2.2
2001/4/3,10.9,13.0,7.8
2001/4/4,10.0,15.3,6.1
2001/4/5,11.2,18.6,2.5
2001/4/6,15.4,24.3,6.8
2001/4/7,16.4,23.7,10.2
2001/4/8,16.5,23.1,11.6
2001/4/9,17.4,23.5,12.6
2001/4/10,18.4,26.1,12.1
2001/4/11,19.5,26.0,12.7
2001/4/12,14.1,18.2,9.4
2001/4/13,12.9,19.0,7.1
2001/4/14,13.2,19.5,7.5
2001/4/15,14.4,22.0,7.0
2001/4/16,16.7,25.1,8.2
2001/4/17,18.0,25.0,11.8
2001/4/18,17.5,20.7,13.2
2001/4/19,20.5,27.9,13.6
2001/4/20,16.1,21.7,10.1
2001/4/21,12.4,14.8,9.7
2001/4/22,14.4,20.5,8.2
2001/4/23,14.3,23.0,4.9
2001/4/24,13.9,16.1,12.5
2001/4/25,13.6,18.8,10.8
2001/4/26,14.1,21.6,6.1
2001/4/27,15.1,23.6,6.6
2001/4/28,16.5,24.0,9.2
2001/4/29,16.5,20.9,13.8
2001/4/30,19.0,24.9,14.8
2001/5/1,18.0,22.5,15.4
