ダウンロードした時刻：2017/07/24 15:41:06

,飯田,飯田,飯田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/1/1,-0.6,6.7,-6.2
1983/1/2,-0.4,6.6,-4.9
1983/1/3,0.8,8.4,-4.9
1983/1/4,1.1,9.5,-5.9
1983/1/5,2.3,5.6,-2.8
1983/1/6,5.7,8.9,3.0
1983/1/7,3.6,5.7,0.4
1983/1/8,6.9,10.3,3.1
1983/1/9,2.6,7.5,-0.3
1983/1/10,-1.1,2.0,-4.2
1983/1/11,-0.6,4.6,-4.5
1983/1/12,1.2,6.0,-3.9
1983/1/13,1.4,5.7,-2.6
1983/1/14,0.6,5.5,-4.0
1983/1/15,1.2,8.7,-3.5
1983/1/16,1.9,8.4,-3.3
1983/1/17,2.8,7.9,-2.3
1983/1/18,0.9,3.1,-0.5
1983/1/19,1.6,6.0,-2.6
1983/1/20,-0.2,4.2,-4.7
1983/1/21,-2.0,3.5,-7.9
1983/1/22,-3.4,0.9,-7.9
1983/1/23,-3.4,3.7,-10.4
1983/1/24,-1.0,6.1,-6.9
1983/1/25,-0.1,10.0,-7.0
1983/1/26,1.0,11.6,-6.1
1983/1/27,0.8,9.3,-5.5
1983/1/28,1.8,10.8,-5.0
1983/1/29,4.2,15.0,-5.3
1983/1/30,3.5,9.6,-1.1
1983/1/31,1.0,7.7,-3.7
1983/2/1,3.3,14.1,-6.2
1983/2/2,3.8,5.4,2.8
1983/2/3,3.6,10.5,-2.3
1983/2/4,0.6,8.1,-4.5
1983/2/5,2.0,9.6,-4.3
1983/2/6,3.0,7.5,0.6
1983/2/7,2.2,5.7,-0.4
1983/2/8,0.1,3.0,-1.6
1983/2/9,0.3,3.5,-2.3
1983/2/10,-0.3,3.7,-3.0
1983/2/11,-2.1,3.0,-8.2
1983/2/12,-1.2,1.4,-2.8
1983/2/13,-2.7,1.9,-6.3
1983/2/14,-2.2,6.4,-9.5
1983/2/15,0.5,7.6,-5.0
1983/2/16,1.4,8.6,-5.4
1983/2/17,1.1,3.3,-0.7
1983/2/18,1.6,6.6,-2.7
1983/2/19,-1.7,2.5,-5.0
1983/2/20,-1.0,3.6,-3.2
1983/2/21,-0.9,4.9,-6.0
1983/2/22,-0.6,7.8,-8.3
1983/2/23,1.9,10.3,-6.4
1983/2/24,1.2,3.7,-0.2
1983/2/25,1.1,8.1,-2.7
1983/2/26,-0.5,6.8,-6.5
1983/2/27,0.6,9.1,-6.2
1983/2/28,2.2,11.9,-5.9
1983/3/1,4.4,15.0,-5.5
1983/3/2,7.1,15.3,2.4
1983/3/3,8.7,14.7,2.9
1983/3/4,3.3,9.3,-0.6
1983/3/5,2.1,8.8,-3.1
1983/3/6,0.7,8.4,-5.0
1983/3/7,0.5,6.6,-5.1
1983/3/8,0.6,6.7,-4.7
1983/3/9,2.0,10.9,-6.0
1983/3/10,0.9,2.1,0.2
1983/3/11,5.1,11.7,-0.9
1983/3/12,4.8,12.2,-2.0
1983/3/13,5.5,7.7,3.1
1983/3/14,1.8,7.1,-2.6
1983/3/15,2.4,10.2,-5.4
1983/3/16,4.3,11.8,-1.5
1983/3/17,2.3,8.2,-0.2
1983/3/18,1.3,4.3,-2.5
1983/3/19,3.1,13.5,-5.7
1983/3/20,6.6,17.0,-2.9
1983/3/21,5.3,9.6,2.1
1983/3/22,8.9,18.6,0.1
1983/3/23,8.2,11.3,4.3
1983/3/24,8.5,11.5,5.8
1983/3/25,5.5,9.6,3.4
1983/3/26,7.3,13.6,1.5
1983/3/27,5.6,7.4,3.9
1983/3/28,8.5,16.4,4.7
1983/3/29,6.9,10.3,3.9
1983/3/30,7.1,10.5,4.1
1983/3/31,9.2,15.2,4.5
1983/4/1,8.6,11.7,5.6
1983/4/2,8.3,12.5,5.3
1983/4/3,10.0,18.4,4.2
1983/4/4,7.6,15.6,1.9
1983/4/5,10.5,19.2,2.9
1983/4/6,10.7,20.7,1.0
1983/4/7,12.2,19.2,4.5
1983/4/8,13.8,19.9,9.0
1983/4/9,12.5,21.3,3.7
1983/4/10,9.5,11.9,8.6
1983/4/11,14.5,19.8,8.7
1983/4/12,13.1,16.6,9.2
1983/4/13,13.7,22.9,6.0
1983/4/14,15.2,22.2,10.8
1983/4/15,12.3,17.0,8.0
1983/4/16,15.0,17.6,10.5
1983/4/17,13.3,15.5,10.4
1983/4/18,15.3,24.2,9.0
1983/4/19,13.7,17.1,9.4
1983/4/20,15.5,22.0,7.4
1983/4/21,11.5,18.1,3.4
1983/4/22,12.7,18.2,9.0
1983/4/23,13.7,20.7,8.0
1983/4/24,14.5,25.0,5.0
1983/4/25,16.2,27.2,6.6
1983/4/26,16.9,26.2,7.7
1983/4/27,16.8,22.8,12.6
1983/4/28,15.0,17.6,10.5
1983/4/29,19.4,24.6,17.4
1983/4/30,13.3,17.7,8.4
1983/5/1,11.4,17.5,7.0
