É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2017/07/24 15:41:14

,çbï{,çbï{,çbï{
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1982/1/1,5.1,12.6,-0.7
1982/1/2,4.8,12.3,-1.4
1982/1/3,2.5,9.3,-3.5
1982/1/4,3.4,5.3,0.3
1982/1/5,7.9,15.9,4.4
1982/1/6,4.9,8.8,1.7
1982/1/7,1.1,8.0,-2.7
1982/1/8,-1.3,5.6,-7.2
1982/1/9,1.0,8.3,-5.9
1982/1/10,5.5,11.0,-0.4
1982/1/11,5.9,11.7,1.3
1982/1/12,4.5,8.9,-0.3
1982/1/13,4.6,10.0,0.3
1982/1/14,2.8,9.3,-3.8
1982/1/15,0.5,7.6,-5.0
1982/1/16,1.3,8.1,-4.7
1982/1/17,1.5,7.5,-2.8
1982/1/18,-0.6,3.8,-5.9
1982/1/19,1.3,6.6,-1.8
1982/1/20,2.1,7.5,-2.8
1982/1/21,0.9,10.0,-6.4
1982/1/22,4.1,11.8,-5.0
1982/1/23,5.6,11.8,2.0
1982/1/24,1.8,8.9,-4.8
1982/1/25,4.2,9.3,-1.7
1982/1/26,3.2,8.1,-3.9
1982/1/27,3.3,9.9,-1.9
1982/1/28,1.6,8.2,-4.2
1982/1/29,-0.3,3.8,-2.7
1982/1/30,-0.3,5.4,-5.1
1982/1/31,-0.5,6.2,-8.9
1982/2/1,2.4,10.1,-5.0
1982/2/2,1.9,7.9,-3.1
1982/2/3,0.8,8.1,-6.0
1982/2/4,2.3,8.2,-0.8
1982/2/5,1.3,7.1,-3.0
1982/2/6,1.2,7.0,-6.0
1982/2/7,0.8,5.5,-3.1
1982/2/8,0.1,7.2,-7.5
1982/2/9,0.2,8.0,-6.8
1982/2/10,0.9,7.8,-5.3
1982/2/11,1.3,10.0,-7.8
1982/2/12,4.0,10.4,-2.7
1982/2/13,4.5,8.8,2.0
1982/2/14,3.2,9.8,-1.4
1982/2/15,3.1,9.5,-2.0
1982/2/16,3.5,11.8,-4.4
1982/2/17,1.9,4.6,-0.6
1982/2/18,4.6,10.5,-1.9
1982/2/19,7.3,12.7,1.7
1982/2/20,9.5,15.1,6.3
1982/2/21,7.8,9.7,6.1
1982/2/22,6.8,12.7,1.9
1982/2/23,5.3,11.4,-0.2
1982/2/24,3.0,4.6,0.8
1982/2/25,3.5,8.6,-0.7
1982/2/26,3.1,9.6,-2.7
1982/2/27,3.0,10.6,-4.8
1982/2/28,5.8,12.1,-2.3
1982/3/1,4.4,6.3,1.7
1982/3/2,4.1,7.5,0.8
1982/3/3,3.7,10.7,-2.9
1982/3/4,5.2,12.9,-3.9
1982/3/5,6.6,8.0,4.5
1982/3/6,7.9,11.8,3.7
1982/3/7,5.7,9.7,2.2
1982/3/8,4.4,10.6,-0.9
1982/3/9,5.6,13.1,-2.3
1982/3/10,5.8,14.3,-2.1
1982/3/11,7.7,17.9,-1.1
1982/3/12,7.4,13.2,0.1
1982/3/13,10.0,17.8,4.7
1982/3/14,8.5,15.3,1.9
1982/3/15,9.9,13.7,6.9
1982/3/16,15.3,23.6,9.1
1982/3/17,11.9,17.6,5.6
1982/3/18,10.8,16.6,6.3
1982/3/19,7.9,13.5,2.8
1982/3/20,6.7,8.8,3.7
1982/3/21,9.4,15.5,6.4
1982/3/22,12.1,22.4,2.9
1982/3/23,12.3,22.5,2.6
1982/3/24,10.8,21.3,4.0
1982/3/25,6.0,11.8,1.7
1982/3/26,5.3,11.9,0.4
1982/3/27,6.7,13.4,0.1
1982/3/28,7.8,16.3,1.8
1982/3/29,7.7,17.0,-0.2
1982/3/30,11.2,19.1,3.6
1982/3/31,12.3,19.1,7.3
1982/4/1,12.6,20.8,4.2
1982/4/2,14.0,17.1,10.2
1982/4/3,12.8,19.8,6.3
1982/4/4,7.7,14.3,3.8
1982/4/5,7.7,15.9,0.9
1982/4/6,9.4,18.1,0.3
1982/4/7,11.8,14.8,8.8
1982/4/8,13.6,19.2,9.3
1982/4/9,11.7,17.8,6.9
1982/4/10,9.8,14.9,6.4
1982/4/11,10.1,19.0,1.8
1982/4/12,11.9,17.6,5.3
1982/4/13,13.5,18.5,9.7
1982/4/14,12.7,17.2,8.2
1982/4/15,12.2,14.0,10.3
1982/4/16,14.5,23.4,6.4
1982/4/17,9.6,15.4,4.4
1982/4/18,10.6,18.6,1.9
1982/4/19,11.0,19.8,1.8
1982/4/20,13.5,22.2,3.8
1982/4/21,12.7,18.6,9.2
1982/4/22,12.3,18.7,7.6
1982/4/23,13.9,21.1,6.6
1982/4/24,15.7,23.0,10.2
1982/4/25,17.1,25.5,10.7
1982/4/26,18.2,25.8,14.3
1982/4/27,17.2,25.5,12.2
1982/4/28,16.9,23.1,11.7
1982/4/29,16.5,22.3,13.6
1982/4/30,18.3,22.5,13.8
1982/5/1,19.1,24.1,15.9
