ダウンロードした時刻：2019/10/10 15:56:50

,津,津,津
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1984/12/1,7.1,10.6,2.8
1984/12/2,9.2,13.2,5.9
1984/12/3,8.9,14.2,4.1
1984/12/4,7.2,13.0,0.7
1984/12/5,9.7,14.1,3.8
1984/12/6,9.9,13.2,6.0
1984/12/7,7.2,12.1,3.4
1984/12/8,5.2,11.2,-0.1
1984/12/9,6.0,12.4,-1.0
1984/12/10,9.8,13.4,5.3
1984/12/11,12.9,14.7,10.5
1984/12/12,15.5,19.3,12.9
1984/12/13,12.1,16.7,7.9
1984/12/14,11.5,15.7,8.5
1984/12/15,6.5,9.9,4.2
1984/12/16,5.6,8.7,2.6
1984/12/17,9.7,14.0,5.1
1984/12/18,7.4,11.7,4.9
1984/12/19,4.9,8.4,3.1
1984/12/20,5.3,10.9,0.5
1984/12/21,7.1,12.1,3.2
1984/12/22,5.8,9.7,1.7
1984/12/23,3.3,7.4,-0.3
1984/12/24,3.2,6.6,0.6
1984/12/25,2.5,6.4,-0.5
1984/12/26,4.4,8.4,0.9
1984/12/27,4.8,8.8,0.7
1984/12/28,5.4,9.1,1.8
1984/12/29,2.8,6.0,0.6
1984/12/30,2.8,7.2,-1.5
1984/12/31,4.6,9.7,0.4
1985/1/1,5.9,10.9,2.0
1985/1/2,5.5,10.2,0.9
1985/1/3,4.4,7.3,1.7
1985/1/4,4.4,9.1,0.8
1985/1/5,3.0,7.4,-0.3
1985/1/6,4.3,8.7,0.8
1985/1/7,3.1,6.2,-0.7
1985/1/8,2.5,7.1,-3.4
1985/1/9,3.1,10.3,-2.3
1985/1/10,4.8,9.8,0.3
1985/1/11,5.1,9.7,1.4
1985/1/12,6.3,12.2,0.3
1985/1/13,4.1,7.3,1.4
1985/1/14,0.5,4.2,-2.1
1985/1/15,0.8,5.9,-3.2
1985/1/16,3.8,10.4,-2.7
1985/1/17,3.2,6.9,1.1
1985/1/18,1.9,6.0,-2.8
1985/1/19,2.5,7.2,-3.5
1985/1/20,6.2,10.9,2.6
1985/1/21,3.6,6.5,1.6
1985/1/22,5.1,10.4,1.0
1985/1/23,5.8,9.8,1.2
1985/1/24,4.5,8.5,-0.8
1985/1/25,2.5,6.6,-1.8
1985/1/26,2.5,5.7,-0.2
1985/1/27,3.0,6.9,-3.1
1985/1/28,4.8,10.3,2.0
1985/1/29,2.2,6.2,-2.2
1985/1/30,-0.6,2.7,-2.7
1985/1/31,1.2,6.7,-3.5
1985/2/1,4.1,9.2,-2.3
1985/2/2,7.3,11.8,1.2
1985/2/3,5.3,13.0,0.0
1985/2/4,7.2,13.4,1.4
1985/2/5,5.6,7.1,4.6
1985/2/6,6.6,8.7,3.0
1985/2/7,9.0,14.9,3.6
1985/2/8,6.6,9.9,1.1
1985/2/9,10.4,13.7,7.8
1985/2/10,9.0,13.5,4.8
1985/2/11,5.8,9.7,2.2
1985/2/12,5.0,10.3,1.1
1985/2/13,6.9,13.3,2.7
1985/2/14,2.0,4.2,0.2
1985/2/15,4.3,9.4,-0.1
1985/2/16,5.3,8.4,2.4
1985/2/17,6.0,9.5,4.4
1985/2/18,6.3,9.2,1.9
1985/2/19,6.3,8.0,5.0
1985/2/20,7.3,10.1,3.8
1985/2/21,3.5,7.8,-0.4
1985/2/22,2.2,5.8,-0.4
1985/2/23,3.8,8.2,0.5
1985/2/24,2.8,6.5,-0.5
1985/2/25,4.2,9.1,0.8
1985/2/26,4.9,8.8,0.6
1985/2/27,6.8,9.0,3.0
1985/2/28,6.2,8.3,4.4
1985/3/1,9.6,14.6,7.0
1985/3/2,7.3,8.9,4.7
1985/3/3,6.9,9.7,3.3
1985/3/4,6.5,13.2,2.7
1985/3/5,7.1,11.1,2.3
1985/3/6,8.0,13.4,3.8
1985/3/7,7.0,10.9,2.2
1985/3/8,8.5,10.6,7.1
1985/3/9,9.2,11.7,4.9
1985/3/10,7.2,11.0,3.7
1985/3/11,5.8,7.3,4.6
1985/3/12,6.2,9.6,2.6
1985/3/13,6.6,10.1,1.6
1985/3/14,7.5,9.8,5.7
1985/3/15,7.3,11.9,4.4
1985/3/16,7.7,10.3,4.5
1985/3/17,8.0,10.4,6.6
1985/3/18,13.0,18.3,8.6
1985/3/19,9.1,11.2,6.5
1985/3/20,9.0,11.8,4.2
1985/3/21,9.1,12.5,7.6
1985/3/22,9.9,15.7,5.8
1985/3/23,8.6,11.9,3.8
1985/3/24,10.6,14.4,5.4
1985/3/25,11.8,14.8,9.8
1985/3/26,12.5,17.0,8.7
1985/3/27,10.6,13.2,8.0
1985/3/28,13.2,19.1,9.3
1985/3/29,12.4,17.1,7.1
1985/3/30,8.9,13.1,5.3
1985/3/31,6.9,11.5,3.7
