ダウンロードした時刻：2019/10/10 15:57:45

,浜松,浜松,浜松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/12/1,7.9,12.4,4.6
1989/12/2,9.4,14.8,2.4
1989/12/3,11.0,15.4,6.6
1989/12/4,13.2,17.9,7.2
1989/12/5,13.2,18.3,9.0
1989/12/6,12.0,16.7,8.5
1989/12/7,11.0,15.8,6.7
1989/12/8,10.2,13.8,5.4
1989/12/9,6.2,10.2,3.8
1989/12/10,6.8,11.6,3.7
1989/12/11,8.5,13.1,2.6
1989/12/12,10.3,15.2,7.3
1989/12/13,8.0,11.1,3.9
1989/12/14,7.9,9.5,6.1
1989/12/15,7.6,10.8,5.1
1989/12/16,9.0,14.2,3.7
1989/12/17,10.4,15.0,6.4
1989/12/18,10.5,15.0,7.5
1989/12/19,4.7,9.0,1.8
1989/12/20,5.7,10.1,1.4
1989/12/21,7.6,13.3,3.0
1989/12/22,7.3,11.7,2.7
1989/12/23,8.5,14.3,2.4
1989/12/24,8.7,10.2,6.1
1989/12/25,9.2,14.1,3.5
1989/12/26,9.1,12.2,7.6
1989/12/27,8.4,12.4,4.8
1989/12/28,5.9,9.8,2.8
1989/12/29,6.4,8.8,3.9
1989/12/30,6.6,11.1,4.3
1989/12/31,4.1,6.6,1.6
1990/1/1,3.4,6.9,0.5
1990/1/2,5.9,9.8,0.4
1990/1/3,5.5,9.5,2.7
1990/1/4,4.9,8.7,1.5
1990/1/5,5.0,9.6,0.6
1990/1/6,7.2,13.8,3.0
1990/1/7,4.9,8.6,2.3
1990/1/8,6.0,11.2,0.5
1990/1/9,9.1,14.5,5.3
1990/1/10,11.4,17.3,7.1
1990/1/11,9.4,13.3,6.8
1990/1/12,9.7,12.6,7.6
1990/1/13,7.6,11.8,3.1
1990/1/14,3.9,8.3,-0.1
1990/1/15,6.1,9.2,3.1
1990/1/16,3.8,5.8,2.5
1990/1/17,4.9,10.1,0.2
1990/1/18,7.7,13.0,1.4
1990/1/19,9.2,12.1,7.6
1990/1/20,5.6,9.6,2.2
1990/1/21,4.6,9.7,1.4
1990/1/22,5.6,9.4,1.4
1990/1/23,3.6,5.4,1.6
1990/1/24,1.8,5.5,-0.6
1990/1/25,0.6,4.2,-2.3
1990/1/26,1.1,5.4,-1.4
1990/1/27,1.6,5.8,-1.8
1990/1/28,4.1,9.2,-1.0
1990/1/29,6.0,9.4,3.5
1990/1/30,7.5,10.7,5.0
1990/1/31,4.6,5.7,4.1
1990/2/1,4.3,5.9,3.0
1990/2/2,5.0,9.0,0.8
1990/2/3,6.4,8.5,4.3
1990/2/4,6.3,9.4,2.9
1990/2/5,7.7,12.5,4.9
1990/2/6,6.9,10.2,5.1
1990/2/7,8.0,11.9,5.3
1990/2/8,7.5,12.3,2.5
1990/2/9,8.2,12.7,5.4
1990/2/10,8.5,11.8,4.6
1990/2/11,13.2,16.7,9.8
1990/2/12,9.0,12.9,5.9
1990/2/13,7.1,12.0,3.9
1990/2/14,7.2,9.9,4.0
1990/2/15,9.8,13.5,6.8
1990/2/16,8.4,12.9,5.9
1990/2/17,8.7,13.8,4.8
1990/2/18,9.4,14.7,3.0
1990/2/19,11.6,13.8,9.5
1990/2/20,13.6,16.6,10.7
1990/2/21,12.0,17.3,8.6
1990/2/22,13.3,18.7,8.2
1990/2/23,12.6,13.2,11.8
1990/2/24,14.7,18.2,11.3
1990/2/25,11.2,14.5,9.5
1990/2/26,10.2,12.6,7.8
1990/2/27,8.6,10.5,4.6
1990/2/28,8.9,13.1,4.3
1990/3/1,10.0,11.3,7.9
1990/3/2,10.2,11.9,8.9
1990/3/3,10.2,12.1,8.5
1990/3/4,9.6,15.0,6.2
1990/3/5,9.2,15.0,5.2
1990/3/6,8.2,12.8,4.3
1990/3/7,7.6,14.0,3.5
1990/3/8,5.2,9.7,1.3
1990/3/9,8.8,14.5,3.4
1990/3/10,12.1,18.0,6.5
1990/3/11,12.8,16.8,6.8
1990/3/12,11.9,16.7,4.2
1990/3/13,6.8,11.3,3.7
1990/3/14,9.2,14.7,1.8
1990/3/15,12.4,17.2,8.3
1990/3/16,10.5,15.9,6.8
1990/3/17,9.5,15.0,4.7
1990/3/18,9.1,13.3,5.2
1990/3/19,10.4,15.4,6.0
1990/3/20,12.6,18.0,8.0
1990/3/21,12.1,18.8,6.6
1990/3/22,12.1,17.6,7.1
1990/3/23,14.0,20.2,7.7
1990/3/24,14.1,17.7,11.4
1990/3/25,11.4,16.5,7.4
1990/3/26,9.3,13.5,6.4
1990/3/27,10.6,15.0,5.9
1990/3/28,10.5,15.3,8.8
1990/3/29,10.7,12.9,8.8
1990/3/30,10.8,12.9,9.0
1990/3/31,13.1,15.3,10.6
