ダウンロードした時刻：2017/07/24 15:41:57

,静岡,静岡,静岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2001/1/1,8.4,13.3,4.1
2001/1/2,8.3,12.3,2.1
2001/1/3,6.1,10.0,3.1
2001/1/4,4.0,8.0,1.8
2001/1/5,4.7,11.8,-2.2
2001/1/6,4.7,9.3,-1.6
2001/1/7,4.5,6.7,1.8
2001/1/8,8.5,14.1,5.3
2001/1/9,7.3,9.2,3.8
2001/1/10,11.4,16.3,7.5
2001/1/11,9.5,14.2,5.5
2001/1/12,5.6,9.6,3.5
2001/1/13,4.6,7.0,2.9
2001/1/14,3.9,8.8,0.7
2001/1/15,2.1,7.4,-1.1
2001/1/16,2.4,8.4,-3.4
2001/1/17,3.6,9.5,-2.4
2001/1/18,3.7,10.9,-3.0
2001/1/19,4.4,6.7,-0.1
2001/1/20,4.6,8.9,1.4
2001/1/21,6.4,11.4,2.2
2001/1/22,6.9,10.6,2.6
2001/1/23,7.5,14.0,2.5
2001/1/24,5.1,10.5,-0.9
2001/1/25,6.4,8.6,2.8
2001/1/26,8.5,10.5,6.1
2001/1/27,4.8,6.4,2.8
2001/1/28,7.2,12.8,2.5
2001/1/29,6.1,12.2,-0.3
2001/1/30,4.9,11.5,-1.4
2001/1/31,6.1,11.5,-0.6
2001/2/1,5.9,7.5,4.5
2001/2/2,6.0,10.3,1.5
2001/2/3,4.5,10.9,-1.8
2001/2/4,6.2,10.5,1.5
2001/2/5,8.8,12.4,4.3
2001/2/6,9.0,13.3,4.6
2001/2/7,7.8,9.9,5.6
2001/2/8,7.8,12.8,3.7
2001/2/9,6.2,12.5,1.1
2001/2/10,5.6,11.8,0.0
2001/2/11,6.8,12.1,1.3
2001/2/12,4.9,7.8,1.4
2001/2/13,6.1,9.6,2.6
2001/2/14,5.3,11.2,0.7
2001/2/15,4.1,9.5,-2.0
2001/2/16,5.8,14.3,-0.3
2001/2/17,4.0,9.5,-2.3
2001/2/18,7.9,16.2,0.0
2001/2/19,9.4,15.8,1.7
2001/2/20,9.1,12.5,5.7
2001/2/21,11.1,17.1,4.7
2001/2/22,11.7,17.0,6.2
2001/2/23,12.1,18.1,4.3
2001/2/24,9.3,11.1,7.6
2001/2/25,7.7,12.2,2.8
2001/2/26,5.1,10.3,-0.2
2001/2/27,7.5,12.6,2.2
2001/2/28,8.6,13.4,3.9
2001/3/1,9.8,11.3,8.5
2001/3/2,8.2,12.5,3.9
2001/3/3,7.4,12.1,2.4
2001/3/4,8.9,15.3,5.6
2001/3/5,6.2,9.5,2.7
2001/3/6,10.8,18.1,3.5
2001/3/7,11.5,16.8,7.0
2001/3/8,5.9,11.5,0.1
2001/3/9,5.2,11.0,-0.4
2001/3/10,6.3,11.7,1.5
2001/3/11,6.1,10.2,0.7
2001/3/12,6.5,10.6,3.0
2001/3/13,6.4,10.7,3.4
2001/3/14,10.1,16.7,2.0
2001/3/15,14.9,20.9,7.7
2001/3/16,9.4,13.5,4.8
2001/3/17,8.4,10.5,4.6
2001/3/18,13.8,20.4,9.4
2001/3/19,12.8,17.4,7.1
2001/3/20,13.7,22.4,5.7
2001/3/21,14.2,20.1,7.7
2001/3/22,14.1,18.1,9.9
2001/3/23,13.9,17.3,9.0
2001/3/24,14.2,19.1,9.5
2001/3/25,13.4,17.7,11.2
2001/3/26,15.4,21.8,9.6
2001/3/27,14.2,21.6,5.4
2001/3/28,13.5,17.0,9.8
2001/3/29,11.5,14.1,7.9
2001/3/30,10.1,15.6,5.0
2001/3/31,5.9,8.2,3.1
2001/4/1,7.2,12.9,1.3
2001/4/2,11.5,18.5,3.2
2001/4/3,15.9,21.6,9.7
2001/4/4,10.1,14.1,7.4
2001/4/5,12.5,18.5,4.9
2001/4/6,13.7,18.7,7.2
2001/4/7,15.1,20.5,9.0
2001/4/8,16.2,21.4,10.7
2001/4/9,17.5,22.6,12.7
2001/4/10,18.8,23.8,13.3
2001/4/11,18.7,24.8,12.3
2001/4/12,16.8,21.9,12.5
2001/4/13,16.1,21.8,9.1
2001/4/14,14.5,22.0,8.1
2001/4/15,17.8,24.2,9.0
2001/4/16,15.4,19.3,10.3
2001/4/17,16.1,20.9,10.3
2001/4/18,17.3,21.5,12.7
2001/4/19,18.6,23.8,14.3
2001/4/20,18.2,24.6,11.7
2001/4/21,13.6,17.1,11.6
2001/4/22,14.1,18.0,10.6
2001/4/23,13.3,17.6,8.7
2001/4/24,16.8,22.4,9.4
2001/4/25,14.0,15.9,12.8
2001/4/26,13.9,17.3,11.7
2001/4/27,14.9,19.4,10.4
2001/4/28,16.4,21.6,9.9
2001/4/29,16.3,20.3,14.6
2001/4/30,17.3,22.4,14.4
2001/5/1,15.2,18.7,11.8
