ダウンロードした時刻：2019/10/10 15:59:32

,東京,東京,東京
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2011/12/1,7.8,11.6,5.5
2011/12/2,6.1,7.4,4.2
2011/12/3,11.1,18.9,6.7
2011/12/4,13.4,16.3,10.3
2011/12/5,11.0,16.3,8.3
2011/12/6,8.0,9.8,6.5
2011/12/7,9.8,13.0,6.7
2011/12/8,8.0,9.3,6.5
2011/12/9,5.5,7.4,2.7
2011/12/10,7.3,11.4,2.4
2011/12/11,8.1,14.0,2.6
2011/12/12,9.7,15.0,4.6
2011/12/13,9.7,13.5,6.4
2011/12/14,7.9,9.9,5.2
2011/12/15,10.4,16.5,5.2
2011/12/16,9.0,12.8,4.1
2011/12/17,6.1,10.4,2.8
2011/12/18,7.0,11.9,2.0
2011/12/19,6.5,9.5,3.4
2011/12/20,7.0,11.1,4.0
2011/12/21,5.8,8.5,2.9
2011/12/22,5.8,8.0,3.9
2011/12/23,6.0,8.2,3.8
2011/12/24,5.5,8.8,2.9
2011/12/25,5.2,8.7,2.1
2011/12/26,4.9,9.1,1.5
2011/12/27,5.2,9.2,1.8
2011/12/28,6.2,9.3,3.9
2011/12/29,6.0,10.0,2.1
2011/12/30,6.2,9.7,3.9
2011/12/31,5.6,10.0,1.8
2012/1/1,5.7,9.2,2.9
2012/1/2,6.0,10.9,3.0
2012/1/3,6.6,10.4,3.8
2012/1/4,5.4,9.4,2.0
2012/1/5,5.5,9.7,1.9
2012/1/6,6.3,9.8,2.9
2012/1/7,5.7,9.1,3.1
2012/1/8,5.8,9.6,2.6
2012/1/9,5.9,9.4,2.8
2012/1/10,6.7,9.8,2.5
2012/1/11,5.8,11.1,2.1
2012/1/12,3.8,7.2,0.7
2012/1/13,5.6,11.0,0.0
2012/1/14,5.1,8.9,2.5
2012/1/15,4.5,6.5,2.3
2012/1/16,4.5,5.6,3.0
2012/1/17,4.9,7.9,2.7
2012/1/18,5.4,9.1,1.5
2012/1/19,6.2,10.2,2.5
2012/1/20,2.8,5.7,1.9
2012/1/21,3.4,3.7,2.7
2012/1/22,5.3,8.0,3.2
2012/1/23,5.0,8.2,0.6
2012/1/24,3.0,5.0,0.8
2012/1/25,4.1,9.3,-0.1
2012/1/26,3.2,6.4,0.5
2012/1/27,3.2,8.0,-1.0
2012/1/28,2.6,6.1,-0.1
2012/1/29,2.9,6.8,1.0
2012/1/30,3.7,6.4,1.2
2012/1/31,4.1,8.1,0.2
2012/2/1,6.0,12.4,0.1
2012/2/2,2.6,6.0,0.7
2012/2/3,2.8,6.7,-1.0
2012/2/4,5.5,10.8,-1.0
2012/2/5,6.1,9.0,2.6
2012/2/6,4.9,5.9,3.8
2012/2/7,7.7,10.0,5.0
2012/2/8,6.6,9.9,3.8
2012/2/9,4.7,8.1,0.4
2012/2/10,5.7,9.4,2.1
2012/2/11,5.4,9.1,1.1
2012/2/12,5.0,9.5,1.2
2012/2/13,5.8,9.2,1.8
2012/2/14,5.2,6.9,3.7
2012/2/15,7.6,12.7,4.9
2012/2/16,3.3,5.6,1.7
2012/2/17,3.7,8.8,1.1
2012/2/18,2.5,6.4,0.0
2012/2/19,3.3,7.6,-0.6
2012/2/20,5.8,10.4,0.7
2012/2/21,8.1,12.6,2.9
2012/2/22,7.9,9.8,5.8
2012/2/23,7.8,11.5,5.1
2012/2/24,11.5,15.4,8.3
2012/2/25,5.8,10.2,3.6
2012/2/26,6.0,9.2,4.0
2012/2/27,4.7,9.2,1.9
2012/2/28,3.7,6.9,0.3
2012/2/29,2.3,5.4,0.7
2012/3/1,8.2,12.4,3.3
2012/3/2,7.3,10.4,4.0
2012/3/3,7.1,11.6,3.8
2012/3/4,5.5,6.6,3.5
2012/3/5,5.7,10.1,2.5
2012/3/6,11.4,15.1,8.0
2012/3/7,12.6,15.7,11.0
2012/3/8,9.6,11.1,7.9
2012/3/9,7.3,9.7,5.3
2012/3/10,5.3,7.6,2.0
2012/3/11,7.4,11.1,4.1
2012/3/12,7.2,12.6,2.9
2012/3/13,6.8,10.7,3.4
2012/3/14,7.2,10.4,3.2
2012/3/15,7.9,13.6,3.6
2012/3/16,7.7,11.1,3.3
2012/3/17,6.8,10.3,4.6
2012/3/18,9.6,11.8,6.5
2012/3/19,9.1,12.2,6.4
2012/3/20,8.2,12.1,4.2
2012/3/21,8.1,11.6,4.9
2012/3/22,10.1,14.8,4.2
2012/3/23,9.9,12.2,7.8
2012/3/24,8.4,11.6,5.9
2012/3/25,9.1,13.8,5.1
2012/3/26,8.2,12.1,4.6
2012/3/27,9.6,14.0,4.4
2012/3/28,11.2,17.1,5.9
2012/3/29,11.7,16.3,7.0
2012/3/30,15.3,19.4,11.6
2012/3/31,14.1,18.9,8.4
