ダウンロードした時刻：2017/07/24 15:42:15

,尾鷲,尾鷲,尾鷲
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/1/1,11.9,17.3,6.3
1997/1/2,9.1,14.6,5.1
1997/1/3,6.8,10.5,2.2
1997/1/4,4.9,10.9,0.3
1997/1/5,4.6,10.5,-0.4
1997/1/6,7.8,10.6,5.9
1997/1/7,7.7,12.8,2.9
1997/1/8,5.5,10.0,1.7
1997/1/9,4.3,9.8,-0.4
1997/1/10,4.0,10.3,-1.0
1997/1/11,5.4,12.0,0.5
1997/1/12,4.8,11.8,-0.9
1997/1/13,5.5,11.8,0.4
1997/1/14,7.2,12.9,1.1
1997/1/15,7.2,13.8,2.2
1997/1/16,6.0,12.2,0.6
1997/1/17,6.9,14.1,1.1
1997/1/18,8.5,15.5,3.2
1997/1/19,6.1,11.8,1.0
1997/1/20,6.3,13.0,0.9
1997/1/21,4.8,13.5,-2.2
1997/1/22,1.4,5.0,-2.5
1997/1/23,4.9,9.8,-1.5
1997/1/24,4.7,7.8,2.3
1997/1/25,6.0,9.1,2.0
1997/1/26,5.9,11.1,1.1
1997/1/27,6.0,13.2,0.4
1997/1/28,7.6,14.4,1.9
1997/1/29,5.7,8.8,2.7
1997/1/30,3.6,7.0,-0.1
1997/1/31,3.5,7.8,-1.1
1997/2/1,5.1,9.9,1.0
1997/2/2,5.0,9.6,-0.3
1997/2/3,6.0,12.2,2.8
1997/2/4,5.4,8.9,2.3
1997/2/5,4.9,10.2,-0.5
1997/2/6,7.8,13.4,3.9
1997/2/7,6.3,10.4,0.9
1997/2/8,7.7,11.3,3.9
1997/2/9,8.6,14.1,4.0
1997/2/10,7.6,13.4,1.5
1997/2/11,5.9,13.2,3.4
1997/2/12,5.1,9.1,1.8
1997/2/13,4.0,10.0,-0.7
1997/2/14,4.4,11.7,-1.6
1997/2/15,6.4,10.8,0.8
1997/2/16,10.0,15.8,6.5
1997/2/17,6.0,10.3,2.5
1997/2/18,5.7,11.4,-0.4
1997/2/19,4.5,9.2,0.7
1997/2/20,5.2,11.2,-0.8
1997/2/21,7.6,12.2,1.7
1997/2/22,2.6,6.3,-1.3
1997/2/23,4.1,11.4,-2.7
1997/2/24,7.4,14.0,0.7
1997/2/25,9.7,14.9,2.8
1997/2/26,12.7,16.8,6.7
1997/2/27,8.9,15.3,2.8
1997/2/28,10.9,15.1,5.2
1997/3/1,13.4,22.4,5.0
1997/3/2,8.6,14.5,1.7
1997/3/3,7.0,9.5,2.6
1997/3/4,7.0,13.4,0.9
1997/3/5,8.7,15.9,2.3
1997/3/6,10.8,16.8,3.5
1997/3/7,14.0,18.9,10.0
1997/3/8,12.0,17.3,6.0
1997/3/9,11.2,19.0,4.7
1997/3/10,10.1,16.2,4.0
1997/3/11,13.1,19.8,7.1
1997/3/12,9.8,15.3,3.7
1997/3/13,11.0,14.6,7.4
1997/3/14,12.9,15.9,10.4
1997/3/15,11.7,13.2,10.7
1997/3/16,9.8,12.5,6.0
1997/3/17,9.2,14.9,4.3
1997/3/18,8.9,14.2,3.4
1997/3/19,10.4,13.7,6.6
1997/3/20,8.8,11.3,5.7
1997/3/21,9.8,10.9,8.8
1997/3/22,12.5,18.4,8.0
1997/3/23,10.8,16.5,5.0
1997/3/24,6.9,11.7,2.3
1997/3/25,8.5,14.1,0.4
1997/3/26,11.9,18.1,5.3
1997/3/27,11.0,16.7,6.0
1997/3/28,11.4,18.4,4.1
1997/3/29,12.2,13.7,9.8
1997/3/30,15.1,22.8,7.4
1997/3/31,9.7,15.5,3.6
1997/4/1,10.6,16.2,4.3
1997/4/2,12.5,16.0,6.6
1997/4/3,15.1,17.0,13.5
1997/4/4,16.0,18.0,14.5
1997/4/5,18.0,22.1,15.3
1997/4/6,17.3,18.3,15.6
1997/4/7,13.9,17.1,9.1
1997/4/8,13.2,18.8,6.4
1997/4/9,14.3,18.1,10.9
1997/4/10,14.2,18.9,9.0
1997/4/11,13.8,19.9,7.8
1997/4/12,13.4,20.4,7.0
1997/4/13,15.7,22.5,8.2
1997/4/14,17.1,23.2,9.9
1997/4/15,15.2,18.7,10.5
1997/4/16,11.9,17.2,6.1
1997/4/17,12.3,16.5,6.4
1997/4/18,16.6,23.0,10.7
1997/4/19,15.3,20.9,10.1
1997/4/20,13.8,18.3,8.6
1997/4/21,15.0,17.9,11.9
1997/4/22,14.8,16.7,13.3
1997/4/23,15.1,21.1,7.8
1997/4/24,13.2,19.7,5.5
1997/4/25,13.7,20.4,6.6
1997/4/26,15.1,21.9,8.0
1997/4/27,17.5,24.1,10.1
1997/4/28,16.0,17.9,13.7
1997/4/29,17.4,22.0,11.9
1997/4/30,18.0,22.0,13.6
1997/5/1,18.8,25.0,13.6
