ダウンロードした時刻：2019/10/10 16:01:00

,横浜,横浜,横浜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2015/12/1,11.8,16.6,7.1
2015/12/2,10.2,11.5,9.2
2015/12/3,11.4,13.8,9.5
2015/12/4,10.5,13.6,7.7
2015/12/5,11.5,16.3,7.5
2015/12/6,11.0,13.3,8.8
2015/12/7,10.1,13.4,7.6
2015/12/8,8.7,11.3,7.0
2015/12/9,8.7,12.6,4.9
2015/12/10,9.6,13.1,6.0
2015/12/11,16.3,23.7,7.2
2015/12/12,13.3,15.6,11.2
2015/12/13,10.5,11.3,10.0
2015/12/14,12.0,13.3,11.0
2015/12/15,12.1,15.1,10.4
2015/12/16,13.6,20.4,9.7
2015/12/17,10.5,13.5,7.2
2015/12/18,8.9,12.7,6.1
2015/12/19,7.9,12.2,5.2
2015/12/20,8.1,11.4,4.1
2015/12/21,9.9,16.0,7.1
2015/12/22,11.1,15.3,8.1
2015/12/23,7.3,9.2,6.1
2015/12/24,10.4,16.0,5.9
2015/12/25,11.5,15.1,8.3
2015/12/26,9.4,13.4,6.3
2015/12/27,8.0,10.7,4.3
2015/12/28,6.6,10.1,3.2
2015/12/29,7.1,11.4,3.7
2015/12/30,8.1,11.1,5.4
2015/12/31,7.4,10.7,4.4
2016/1/1,8.3,13.0,5.2
2016/1/2,7.9,13.3,3.7
2016/1/3,10.1,15.4,5.2
2016/1/4,10.8,14.7,6.4
2016/1/5,11.8,14.8,8.4
2016/1/6,9.7,11.2,8.6
2016/1/7,9.3,13.5,6.0
2016/1/8,8.1,11.6,4.9
2016/1/9,8.1,11.7,4.1
2016/1/10,8.4,13.0,3.6
2016/1/11,7.9,10.6,5.8
2016/1/12,4.5,7.8,2.8
2016/1/13,5.8,10.1,1.9
2016/1/14,7.1,11.2,1.6
2016/1/15,6.5,10.8,3.3
2016/1/16,7.2,10.5,3.6
2016/1/17,6.5,8.8,4.3
2016/1/18,4.5,9.3,0.5
2016/1/19,5.7,9.5,2.0
2016/1/20,4.8,10.8,0.4
2016/1/21,5.9,10.0,2.0
2016/1/22,6.4,10.7,3.5
2016/1/23,4.8,6.7,3.1
2016/1/24,3.6,8.1,0.3
2016/1/25,3.6,8.2,-0.9
2016/1/26,4.7,9.4,0.6
2016/1/27,7.3,13.3,1.4
2016/1/28,8.6,13.4,3.1
2016/1/29,5.8,7.8,3.4
2016/1/30,3.9,5.4,2.0
2016/1/31,6.8,9.8,3.5
2016/2/1,5.2,6.6,3.7
2016/2/2,6.0,9.6,3.3
2016/2/3,5.6,8.7,3.3
2016/2/4,6.0,9.2,2.8
2016/2/5,7.7,11.7,2.8
2016/2/6,7.2,9.9,5.1
2016/2/7,5.6,9.5,2.6
2016/2/8,5.1,9.7,1.7
2016/2/9,7.2,12.7,1.8
2016/2/10,6.6,10.9,3.4
2016/2/11,6.6,9.9,3.3
2016/2/12,7.3,11.0,2.5
2016/2/13,14.5,20.3,8.2
2016/2/14,18.6,21.5,16.4
2016/2/15,8.8,18.6,3.0
2016/2/16,5.8,10.4,2.5
2016/2/17,6.8,13.8,2.9
2016/2/18,6.7,10.6,3.1
2016/2/19,11.0,17.5,4.4
2016/2/20,8.2,10.7,7.0
2016/2/21,10.3,15.9,6.8
2016/2/22,7.4,10.0,6.0
2016/2/23,7.5,10.1,5.6
2016/2/24,6.5,7.8,3.1
2016/2/25,4.4,7.6,1.4
2016/2/26,6.3,11.1,1.7
2016/2/27,8.2,13.0,3.6
2016/2/28,9.7,14.8,5.8
2016/2/29,8.6,14.4,5.4
2016/3/1,5.6,9.7,2.9
2016/3/2,6.9,12.0,2.1
2016/3/3,10.4,17.1,4.4
2016/3/4,11.1,15.5,7.7
2016/3/5,11.7,16.5,8.4
2016/3/6,12.9,16.6,9.2
2016/3/7,15.0,17.0,12.9
2016/3/8,15.4,20.5,12.7
2016/3/9,9.4,15.9,4.5
2016/3/10,6.6,8.7,4.2
2016/3/11,5.0,6.4,3.4
2016/3/12,6.4,8.4,4.1
2016/3/13,7.3,10.9,4.6
2016/3/14,5.8,7.3,3.8
2016/3/15,8.7,14.3,4.1
2016/3/16,9.5,13.0,4.9
2016/3/17,12.9,19.8,7.6
2016/3/18,14.9,19.1,8.4
2016/3/19,15.3,16.9,14.3
2016/3/20,12.8,15.6,10.3
2016/3/21,9.6,12.0,8.1
2016/3/22,11.3,16.8,7.2
2016/3/23,12.1,17.9,8.3
2016/3/24,6.9,9.4,4.8
2016/3/25,8.6,13.7,4.1
2016/3/26,8.2,11.0,5.7
2016/3/27,10.5,15.2,6.9
2016/3/28,11.2,14.3,8.7
2016/3/29,12.6,18.1,7.6
2016/3/30,15.1,19.6,11.1
2016/3/31,15.3,20.3,11.1
