ダウンロードした時刻：2019/10/10 16:01:34

,館山,館山,館山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2003/12/1,13.5,15.8,11.4
2003/12/2,13.2,19.1,8.8
2003/12/3,9.8,13.3,6.9
2003/12/4,10.3,16.1,5.7
2003/12/5,8.5,9.9,5.9
2003/12/6,13.9,19.8,7.9
2003/12/7,15.1,18.7,9.1
2003/12/8,10.3,15.2,6.4
2003/12/9,9.0,14.8,3.7
2003/12/10,7.9,11.7,5.3
2003/12/11,7.4,10.7,4.9
2003/12/12,9.2,13.9,5.6
2003/12/13,7.5,15.0,2.9
2003/12/14,6.7,15.0,1.0
2003/12/15,8.4,14.0,1.4
2003/12/16,8.3,14.2,2.2
2003/12/17,8.1,13.2,0.7
2003/12/18,11.1,15.1,6.1
2003/12/19,9.8,14.2,4.4
2003/12/20,7.7,9.1,5.1
2003/12/21,6.6,12.2,-0.1
2003/12/22,5.6,13.4,-0.8
2003/12/23,7.0,16.1,0.8
2003/12/24,7.5,15.3,2.4
2003/12/25,11.0,17.0,2.1
2003/12/26,12.3,15.4,8.3
2003/12/27,5.8,11.3,0.4
2003/12/28,4.7,11.8,-2.4
2003/12/29,10.4,14.8,1.2
2003/12/30,10.7,15.2,6.2
2003/12/31,10.1,14.2,4.1
2004/1/1,8.7,13.4,3.1
2004/1/2,11.8,16.4,4.2
2004/1/3,7.6,14.4,2.9
2004/1/4,7.0,12.3,1.9
2004/1/5,7.5,11.1,3.1
2004/1/6,6.2,12.5,0.9
2004/1/7,6.0,10.8,0.9
2004/1/8,6.7,11.1,-0.4
2004/1/9,3.6,11.1,-2.5
2004/1/10,7.4,14.2,-1.7
2004/1/11,6.7,11.8,1.4
2004/1/12,5.3,9.4,0.0
2004/1/13,7.9,13.2,3.8
2004/1/14,6.2,10.2,-1.6
2004/1/15,2.5,9.6,-3.7
2004/1/16,4.2,9.2,1.1
2004/1/17,2.5,3.4,0.5
2004/1/18,5.1,10.3,1.9
2004/1/19,5.1,9.1,0.6
2004/1/20,6.2,13.2,-0.7
2004/1/21,8.9,12.0,4.6
2004/1/22,5.4,9.3,1.7
2004/1/23,5.5,8.8,1.7
2004/1/24,6.3,8.4,3.6
2004/1/25,3.5,10.1,-2.0
2004/1/26,3.1,10.3,-2.9
2004/1/27,4.6,11.4,-0.2
2004/1/28,4.6,11.1,-2.4
2004/1/29,5.9,12.4,-1.5
2004/1/30,6.6,12.2,2.3
2004/1/31,7.3,12.9,1.5
2004/2/1,5.1,11.5,-1.2
2004/2/2,7.3,11.4,2.3
2004/2/3,9.5,12.7,5.8
2004/2/4,7.2,11.3,4.6
2004/2/5,7.5,10.1,3.5
2004/2/6,4.8,9.5,-1.7
2004/2/7,6.4,9.2,0.9
2004/2/8,4.9,11.2,-2.2
2004/2/9,5.6,10.9,-1.7
2004/2/10,4.2,8.3,0.7
2004/2/11,6.8,11.4,1.1
2004/2/12,7.2,13.4,1.6
2004/2/13,6.7,12.9,-0.5
2004/2/14,11.0,16.2,3.8
2004/2/15,10.1,14.0,2.9
2004/2/16,7.1,12.8,0.8
2004/2/17,10.7,14.9,1.2
2004/2/18,7.1,14.1,0.7
2004/2/19,6.7,13.2,1.0
2004/2/20,6.6,11.9,1.4
2004/2/21,11.9,18.9,3.0
2004/2/22,16.6,19.7,13.6
2004/2/23,12.5,16.9,5.0
2004/2/24,7.7,12.5,-0.5
2004/2/25,13.6,17.9,11.3
2004/2/26,13.9,17.8,7.3
2004/2/27,5.6,11.2,0.4
2004/2/28,6.9,12.3,-0.7
2004/2/29,12.5,16.8,8.5
2004/3/1,4.4,11.1,1.7
2004/3/2,6.8,12.4,1.8
2004/3/3,6.0,9.2,2.6
2004/3/4,6.7,13.5,1.7
2004/3/5,7.1,12.1,-1.5
2004/3/6,10.2,13.7,3.7
2004/3/7,4.2,10.1,-1.4
2004/3/8,3.7,10.6,-3.2
2004/3/9,6.7,13.5,1.0
2004/3/10,11.4,17.0,1.5
2004/3/11,17.3,19.7,16.1
2004/3/12,10.4,16.7,7.5
2004/3/13,9.6,15.7,5.7
2004/3/14,9.2,16.4,1.9
2004/3/15,10.1,16.4,6.7
2004/3/16,11.5,18.0,5.6
2004/3/17,17.9,20.7,11.5
2004/3/18,14.1,19.7,4.7
2004/3/19,6.9,9.6,4.1
2004/3/20,7.0,10.0,4.0
2004/3/21,7.2,13.4,2.3
2004/3/22,6.2,9.6,2.4
2004/3/23,7.4,12.1,4.5
2004/3/24,7.9,10.8,5.1
2004/3/25,10.2,12.8,7.9
2004/3/26,9.2,11.6,7.2
2004/3/27,10.2,15.9,1.0
2004/3/28,10.7,18.0,3.3
2004/3/29,14.9,20.1,6.9
2004/3/30,17.3,20.4,15.8
2004/3/31,16.7,22.2,12.6
