ダウンロードした時刻：2017/07/24 15:42:42

,大島,大島,大島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2009/1/1,5.4,11.5,1.2
2009/1/2,5.8,11.4,-0.4
2009/1/3,8.0,11.5,5.0
2009/1/4,7.8,11.4,4.7
2009/1/5,8.6,11.9,5.1
2009/1/6,8.5,12.5,4.7
2009/1/7,7.8,9.8,6.1
2009/1/8,7.3,9.6,5.3
2009/1/9,5.9,7.7,5.1
2009/1/10,8.8,12.4,4.9
2009/1/11,6.5,9.7,1.4
2009/1/12,6.5,9.7,4.5
2009/1/13,5.9,9.1,0.8
2009/1/14,5.8,10.8,-0.6
2009/1/15,5.6,8.4,2.6
2009/1/16,6.6,9.8,0.6
2009/1/17,8.1,12.5,5.0
2009/1/18,7.8,10.4,5.7
2009/1/19,11.2,14.5,4.8
2009/1/20,8.3,9.6,7.1
2009/1/21,8.4,11.6,5.8
2009/1/22,7.3,8.4,6.5
2009/1/23,10.9,14.6,8.2
2009/1/24,7.7,11.8,3.7
2009/1/25,5.8,9.1,2.9
2009/1/26,8.3,10.9,5.8
2009/1/27,8.1,11.1,3.6
2009/1/28,7.8,9.3,6.3
2009/1/29,9.4,12.5,7.7
2009/1/30,12.4,16.7,9.8
2009/1/31,10.0,16.5,7.5
2009/2/1,9.5,13.9,6.9
2009/2/2,7.6,10.2,5.3
2009/2/3,10.1,14.1,6.8
2009/2/4,7.9,9.6,6.9
2009/2/5,9.2,13.3,5.7
2009/2/6,8.0,13.3,2.7
2009/2/7,8.7,12.8,5.0
2009/2/8,9.8,14.1,5.5
2009/2/9,7.7,11.7,5.4
2009/2/10,7.7,12.9,4.3
2009/2/11,8.3,12.9,5.0
2009/2/12,8.7,14.7,2.9
2009/2/13,14.4,16.6,7.9
2009/2/14,16.6,20.0,10.7
2009/2/15,14.1,17.3,9.2
2009/2/16,11.4,15.0,5.2
2009/2/17,4.0,8.0,-0.2
2009/2/18,5.9,9.3,-0.6
2009/2/19,7.5,11.2,4.1
2009/2/20,11.1,15.6,7.6
2009/2/21,6.8,11.7,1.4
2009/2/22,9.4,12.8,0.8
2009/2/23,9.6,15.2,6.7
2009/2/24,6.5,7.4,5.7
2009/2/25,10.4,15.5,7.1
2009/2/26,9.1,11.7,6.6
2009/2/27,5.3,6.6,4.4
2009/2/28,7.8,11.0,5.5
2009/3/1,6.6,8.4,5.2
2009/3/2,7.9,12.6,3.9
2009/3/3,4.7,6.9,3.3
2009/3/4,6.6,9.8,3.3
2009/3/5,9.5,12.7,6.5
2009/3/6,10.2,13.3,8.3
2009/3/7,11.2,15.9,6.9
2009/3/8,9.4,11.5,8.2
2009/3/9,9.9,12.5,7.5
2009/3/10,11.5,16.1,8.4
2009/3/11,8.0,11.7,4.3
2009/3/12,6.3,11.6,1.9
2009/3/13,9.5,14.1,1.8
2009/3/14,11.1,15.6,5.3
2009/3/15,8.8,13.1,2.9
2009/3/16,11.3,15.2,4.3
2009/3/17,13.9,19.3,9.6
2009/3/18,13.6,19.4,6.1
2009/3/19,15.6,18.5,13.2
2009/3/20,13.8,16.1,9.3
2009/3/21,11.4,16.2,4.4
2009/3/22,15.1,16.6,13.1
2009/3/23,13.2,16.4,9.3
2009/3/24,8.7,14.0,4.5
2009/3/25,8.0,12.3,3.4
2009/3/26,8.7,13.2,5.9
2009/3/27,10.4,14.1,4.9
2009/3/28,7.0,9.8,2.9
2009/3/29,8.2,12.0,2.6
2009/3/30,8.5,13.0,5.3
2009/3/31,10.2,14.5,4.0
2009/4/1,11.3,16.2,8.5
2009/4/2,10.9,16.3,5.7
2009/4/3,11.4,16.4,7.4
2009/4/4,12.7,19.0,6.5
2009/4/5,12.3,14.9,8.4
2009/4/6,13.8,19.1,8.5
2009/4/7,14.0,20.1,7.8
2009/4/8,14.7,20.2,8.8
2009/4/9,15.6,22.3,9.1
2009/4/10,15.2,21.2,9.2
2009/4/11,17.0,23.8,12.4
2009/4/12,14.8,20.2,10.6
2009/4/13,16.1,20.2,9.9
2009/4/14,16.9,20.1,14.5
2009/4/15,17.3,20.7,12.9
2009/4/16,16.6,20.6,12.7
2009/4/17,14.1,16.7,11.6
2009/4/18,14.7,18.1,11.9
2009/4/19,16.1,20.5,11.5
2009/4/20,15.9,19.2,13.9
2009/4/21,18.7,23.2,15.5
2009/4/22,18.2,20.7,14.0
2009/4/23,16.3,19.9,14.0
2009/4/24,13.7,16.0,11.8
2009/4/25,13.0,17.4,11.4
2009/4/26,15.4,17.5,11.8
2009/4/27,13.8,18.4,10.1
2009/4/28,12.2,16.7,8.1
2009/4/29,14.4,19.9,7.4
2009/4/30,16.7,22.0,9.8
2009/5/1,19.3,23.2,16.5
