ダウンロードした時刻：2017/07/24 15:42:54

,八丈島,八丈島,八丈島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2004/1/1,12.2,13.8,11.1
2004/1/2,13.8,16.6,11.3
2004/1/3,12.5,14.1,11.2
2004/1/4,11.5,14.1,9.0
2004/1/5,11.5,14.0,9.2
2004/1/6,10.0,12.1,7.8
2004/1/7,8.4,10.2,6.8
2004/1/8,9.3,12.3,6.4
2004/1/9,7.6,10.9,5.8
2004/1/10,10.7,14.5,5.8
2004/1/11,9.6,11.8,7.3
2004/1/12,10.1,13.2,6.9
2004/1/13,11.0,15.2,6.5
2004/1/14,7.1,9.3,4.6
2004/1/15,8.0,9.8,6.6
2004/1/16,7.9,10.6,6.4
2004/1/17,8.7,10.9,7.6
2004/1/18,10.2,14.0,7.7
2004/1/19,12.3,14.9,9.2
2004/1/20,9.8,13.3,7.3
2004/1/21,10.5,14.0,5.9
2004/1/22,6.6,10.2,2.7
2004/1/23,6.8,9.6,1.7
2004/1/24,6.5,8.3,4.8
2004/1/25,6.8,9.3,4.7
2004/1/26,7.7,11.1,5.7
2004/1/27,8.5,10.5,6.6
2004/1/28,8.6,11.1,3.2
2004/1/29,10.8,13.4,8.5
2004/1/30,10.8,13.3,8.9
2004/1/31,9.4,11.3,7.5
2004/2/1,10.8,15.6,7.0
2004/2/2,14.8,17.6,11.1
2004/2/3,11.8,14.3,9.6
2004/2/4,7.9,9.6,6.6
2004/2/5,8.1,11.1,6.3
2004/2/6,7.0,9.7,4.8
2004/2/7,7.0,9.2,5.9
2004/2/8,7.8,9.7,5.6
2004/2/9,9.1,10.4,7.5
2004/2/10,8.4,11.6,7.2
2004/2/11,9.7,13.2,6.8
2004/2/12,11.3,13.7,9.3
2004/2/13,11.4,15.1,8.2
2004/2/14,14.1,17.3,8.1
2004/2/15,9.3,16.6,6.9
2004/2/16,8.2,11.8,5.5
2004/2/17,12.2,16.1,8.0
2004/2/18,11.0,13.6,9.0
2004/2/19,13.0,15.8,10.1
2004/2/20,13.0,16.8,9.7
2004/2/21,14.4,17.3,9.2
2004/2/22,16.3,18.4,12.7
2004/2/23,12.8,18.0,8.7
2004/2/24,10.3,12.7,7.3
2004/2/25,13.2,16.0,10.7
2004/2/26,14.3,17.4,9.6
2004/2/27,8.2,10.7,6.3
2004/2/28,11.0,14.2,7.7
2004/2/29,15.6,17.4,13.0
2004/3/1,11.1,15.7,7.9
2004/3/2,9.6,10.6,8.0
2004/3/3,9.7,12.7,7.3
2004/3/4,9.3,12.9,7.4
2004/3/5,8.8,11.9,6.0
2004/3/6,10.9,15.1,5.6
2004/3/7,6.9,9.8,5.0
2004/3/8,7.0,9.7,4.2
2004/3/9,10.1,13.4,6.9
2004/3/10,12.9,16.9,7.0
2004/3/11,16.5,19.2,14.1
2004/3/12,13.1,17.6,9.0
2004/3/13,12.2,14.7,9.7
2004/3/14,13.1,16.2,10.0
2004/3/15,14.1,18.4,10.5
2004/3/16,14.4,19.3,10.0
2004/3/17,16.4,20.0,10.4
2004/3/18,17.3,20.5,12.7
2004/3/19,10.6,12.8,9.0
2004/3/20,12.3,16.0,10.0
2004/3/21,12.0,15.0,10.0
2004/3/22,10.5,12.2,8.7
2004/3/23,11.9,14.7,10.4
2004/3/24,13.7,18.0,10.5
2004/3/25,15.5,17.7,12.8
2004/3/26,12.7,15.7,10.6
2004/3/27,12.4,15.6,9.9
2004/3/28,13.4,18.3,9.5
2004/3/29,13.8,19.2,8.7
2004/3/30,16.4,19.5,13.5
2004/3/31,17.0,20.0,12.9
2004/4/1,15.8,20.3,9.5
2004/4/2,16.5,19.5,14.2
2004/4/3,15.6,17.8,13.2
2004/4/4,14.7,16.7,11.1
2004/4/5,11.2,14.7,8.5
2004/4/6,13.3,17.6,8.0
2004/4/7,16.9,20.1,14.6
2004/4/8,15.0,17.7,13.1
2004/4/9,15.3,19.3,12.5
2004/4/10,17.0,21.7,12.6
2004/4/11,17.0,21.2,13.0
2004/4/12,18.2,20.6,15.6
2004/4/13,17.3,22.0,15.3
2004/4/14,17.2,18.6,15.6
2004/4/15,16.5,19.0,14.6
2004/4/16,16.3,20.3,14.3
2004/4/17,18.5,21.1,15.4
2004/4/18,18.6,21.6,15.5
2004/4/19,18.9,21.6,16.1
2004/4/20,19.7,21.9,17.7
2004/4/21,17.7,21.6,13.4
2004/4/22,19.4,21.2,16.6
2004/4/23,19.5,21.4,16.4
2004/4/24,14.5,18.3,12.0
2004/4/25,14.0,17.6,11.6
2004/4/26,16.4,20.2,13.7
2004/4/27,18.7,20.1,15.8
2004/4/28,16.1,18.3,13.5
2004/4/29,15.6,19.4,11.7
2004/4/30,17.7,20.9,12.5
2004/5/1,19.0,20.4,17.8
