ダウンロードした時刻：2019/10/10 16:03:42

,松江,松江,松江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/12/1,9.2,12.8,5.7
2002/12/2,8.6,14.5,4.1
2002/12/3,8.3,13.8,1.8
2002/12/4,10.7,11.8,9.3
2002/12/5,10.7,15.6,7.5
2002/12/6,9.0,11.0,7.7
2002/12/7,8.3,10.6,6.3
2002/12/8,5.8,8.4,5.2
2002/12/9,5.3,9.7,3.0
2002/12/10,3.3,6.0,1.0
2002/12/11,3.6,5.3,0.7
2002/12/12,4.7,6.9,2.6
2002/12/13,2.6,4.3,0.6
2002/12/14,5.3,11.7,1.2
2002/12/15,7.4,15.3,1.0
2002/12/16,10.4,16.3,3.6
2002/12/17,7.3,11.9,1.7
2002/12/18,6.6,10.8,1.2
2002/12/19,8.8,11.7,6.5
2002/12/20,8.3,10.0,6.9
2002/12/21,7.7,10.3,4.8
2002/12/22,9.5,11.3,6.3
2002/12/23,7.3,10.5,4.9
2002/12/24,6.8,9.6,3.4
2002/12/25,5.4,8.2,1.5
2002/12/26,2.7,4.4,0.4
2002/12/27,3.3,6.3,1.1
2002/12/28,3.4,6.7,-0.4
2002/12/29,5.6,9.9,3.0
2002/12/30,5.5,11.2,2.3
2002/12/31,4.3,7.2,2.3
2003/1/1,4.6,7.0,1.6
2003/1/2,3.4,5.5,1.4
2003/1/3,4.0,7.0,0.8
2003/1/4,1.4,5.5,-1.9
2003/1/5,-1.1,1.5,-3.2
2003/1/6,0.3,2.2,-1.9
2003/1/7,2.2,6.4,0.2
2003/1/8,2.9,8.6,-0.8
2003/1/9,4.1,9.8,-1.3
2003/1/10,5.9,9.5,3.5
2003/1/11,5.5,10.5,2.6
2003/1/12,6.8,11.6,2.8
2003/1/13,8.5,13.7,2.5
2003/1/14,6.7,10.3,0.9
2003/1/15,2.0,5.9,-1.6
2003/1/16,3.0,9.3,-2.9
2003/1/17,7.8,12.7,3.7
2003/1/18,6.4,9.0,3.9
2003/1/19,5.3,8.7,3.7
2003/1/20,3.9,6.9,0.1
2003/1/21,1.8,5.8,0.1
2003/1/22,1.9,5.1,-1.2
2003/1/23,4.4,6.6,2.8
2003/1/24,2.9,5.3,0.3
2003/1/25,3.9,8.2,0.9
2003/1/26,4.2,8.2,0.6
2003/1/27,6.9,9.7,3.1
2003/1/28,2.0,3.8,-1.0
2003/1/29,-3.3,0.7,-5.8
2003/1/30,0.8,3.6,-2.7
2003/1/31,3.1,5.0,1.7
2003/2/1,2.8,5.5,0.8
2003/2/2,2.6,7.2,0.5
2003/2/3,2.4,6.5,-0.2
2003/2/4,1.9,7.4,-0.2
2003/2/5,3.5,7.8,0.7
2003/2/6,3.9,9.2,0.6
2003/2/7,6.8,12.2,1.3
2003/2/8,6.8,11.3,2.0
2003/2/9,8.5,10.9,4.3
2003/2/10,7.1,13.0,1.7
2003/2/11,7.2,9.0,5.2
2003/2/12,4.2,7.3,2.0
2003/2/13,3.8,7.7,2.1
2003/2/14,4.7,10.5,0.8
2003/2/15,5.6,13.2,-1.0
2003/2/16,7.1,10.9,5.5
2003/2/17,5.7,11.3,0.4
2003/2/18,6.4,13.0,2.0
2003/2/19,6.3,11.0,3.9
2003/2/20,4.3,6.2,2.5
2003/2/21,4.9,9.0,0.6
2003/2/22,5.9,7.6,4.5
2003/2/23,6.2,7.5,4.4
2003/2/24,5.6,8.9,3.2
2003/2/25,5.7,11.6,2.2
2003/2/26,6.0,10.5,0.6
2003/2/27,5.3,8.0,3.1
2003/2/28,5.6,10.7,1.5
2003/3/1,7.5,8.8,4.7
2003/3/2,9.4,15.0,6.0
2003/3/3,5.8,8.9,0.2
2003/3/4,1.6,4.6,0.0
2003/3/5,2.6,6.3,-0.2
2003/3/6,4.4,7.2,1.4
2003/3/7,7.4,9.0,4.6
2003/3/8,5.0,8.0,2.1
2003/3/9,3.3,7.2,1.1
2003/3/10,3.5,7.4,0.5
2003/3/11,3.9,8.3,-0.6
2003/3/12,4.3,9.4,0.4
2003/3/13,4.1,10.5,-0.8
2003/3/14,6.1,12.7,-0.8
2003/3/15,6.6,11.1,4.2
2003/3/16,5.4,7.5,1.7
2003/3/17,7.9,12.5,6.3
2003/3/18,6.4,11.6,1.2
2003/3/19,5.5,11.1,-0.2
2003/3/20,5.8,12.3,0.0
2003/3/21,6.2,12.3,0.1
2003/3/22,7.5,12.4,3.1
2003/3/23,7.4,16.3,0.8
2003/3/24,10.1,17.2,3.1
2003/3/25,11.7,17.4,7.7
2003/3/26,11.2,17.4,5.7
2003/3/27,10.0,20.2,5.5
2003/3/28,9.3,14.7,5.1
2003/3/29,8.9,13.0,4.1
2003/3/30,10.2,17.6,2.0
2003/3/31,12.5,20.2,6.1
