ダウンロードした時刻：2017/07/24 15:43:05

,米子,米子,米子
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/1/1,3.4,7.0,-2.4
1981/1/2,1.7,5.4,0.2
1981/1/3,0.6,2.0,-0.4
1981/1/4,0.3,3.6,-1.6
1981/1/5,0.5,2.1,-0.9
1981/1/6,1.0,3.0,-1.4
1981/1/7,2.7,5.2,0.6
1981/1/8,2.4,7.7,-1.5
1981/1/9,4.1,7.6,-1.2
1981/1/10,1.9,5.7,-0.7
1981/1/11,-0.4,1.1,-1.9
1981/1/12,1.0,3.1,-1.3
1981/1/13,0.4,2.0,-1.4
1981/1/14,0.8,3.6,-1.0
1981/1/15,1.1,3.3,-0.3
1981/1/16,1.7,4.6,0.3
1981/1/17,1.8,5.0,-0.7
1981/1/18,2.4,5.1,-0.2
1981/1/19,3.3,5.8,1.2
1981/1/20,1.9,4.9,-0.6
1981/1/21,1.5,6.0,-1.9
1981/1/22,0.8,3.2,-0.7
1981/1/23,2.1,6.5,-1.2
1981/1/24,3.7,5.2,1.4
1981/1/25,4.4,7.9,1.2
1981/1/26,1.1,2.8,0.3
1981/1/27,1.1,4.7,-1.0
1981/1/28,1.8,5.4,-0.1
1981/1/29,3.1,5.8,-0.7
1981/1/30,1.9,5.3,-0.2
1981/1/31,4.1,10.0,-0.9
1981/2/1,3.7,5.1,2.3
1981/2/2,3.3,5.4,0.2
1981/2/3,2.1,5.0,-0.6
1981/2/4,0.5,2.7,-1.3
1981/2/5,1.3,5.2,-1.2
1981/2/6,3.2,8.5,-1.2
1981/2/7,3.7,7.6,-0.7
1981/2/8,3.8,6.4,0.6
1981/2/9,2.9,6.2,0.3
1981/2/10,3.3,5.9,0.2
1981/2/11,4.1,7.0,2.3
1981/2/12,5.8,8.9,1.1
1981/2/13,8.2,11.3,6.3
1981/2/14,6.7,10.3,1.7
1981/2/15,8.1,18.1,-0.9
1981/2/16,7.5,11.1,2.6
1981/2/17,3.0,4.9,1.2
1981/2/18,5.9,14.4,-1.2
1981/2/19,5.8,8.4,3.3
1981/2/20,3.7,5.6,0.3
1981/2/21,3.2,6.0,-0.1
1981/2/22,3.5,7.6,-1.1
1981/2/23,5.0,6.6,3.3
1981/2/24,4.8,8.4,1.0
1981/2/25,-1.4,1.0,-3.9
1981/2/26,-5.7,-2.6,-8.1
1981/2/27,-3.1,-0.8,-6.4
1981/2/28,0.2,5.9,-7.0
1981/3/1,2.5,4.6,0.9
1981/3/2,3.6,6.7,-1.2
1981/3/3,2.8,7.4,-2.4
1981/3/4,5.9,12.1,1.5
1981/3/5,4.5,9.9,0.4
1981/3/6,3.3,8.4,-1.5
1981/3/7,7.5,14.5,-2.0
1981/3/8,6.3,9.4,3.6
1981/3/9,5.9,11.5,3.6
1981/3/10,3.1,6.2,0.6
1981/3/11,4.0,9.1,-2.1
1981/3/12,9.9,18.6,1.3
1981/3/13,11.8,15.3,8.6
1981/3/14,14.9,17.6,10.8
1981/3/15,7.0,14.4,4.1
1981/3/16,5.5,10.6,1.1
1981/3/17,7.3,14.2,0.3
1981/3/18,7.4,13.8,0.7
1981/3/19,11.3,19.1,1.8
1981/3/20,12.4,17.8,7.5
1981/3/21,9.9,12.5,7.1
1981/3/22,11.8,16.6,8.5
1981/3/23,8.3,11.2,2.9
1981/3/24,8.5,13.0,-0.4
1981/3/25,15.5,19.6,11.9
1981/3/26,9.2,12.5,5.4
1981/3/27,6.3,9.2,2.2
1981/3/28,6.4,11.7,0.8
1981/3/29,8.5,14.6,1.4
1981/3/30,7.6,10.1,4.5
1981/3/31,7.2,12.1,3.1
1981/4/1,7.5,9.8,2.4
1981/4/2,7.6,11.0,1.2
1981/4/3,8.8,15.4,-0.5
1981/4/4,9.7,13.0,7.8
1981/4/5,9.8,11.4,6.4
1981/4/6,10.8,13.6,6.8
1981/4/7,9.7,15.0,3.9
1981/4/8,10.4,14.9,3.0
1981/4/9,14.8,19.0,12.2
1981/4/10,12.5,15.3,8.1
1981/4/11,13.4,20.1,6.7
1981/4/12,13.7,22.8,7.8
1981/4/13,10.4,12.8,6.5
1981/4/14,10.7,16.0,5.1
1981/4/15,12.9,20.2,6.6
1981/4/16,10.9,12.9,8.8
1981/4/17,11.6,17.1,7.4
1981/4/18,12.8,19.7,5.0
1981/4/19,12.7,16.2,10.0
1981/4/20,8.3,10.5,6.5
1981/4/21,11.0,19.0,3.0
1981/4/22,14.1,22.2,6.5
1981/4/23,15.5,22.6,8.8
1981/4/24,18.1,24.9,7.0
1981/4/25,12.6,18.6,7.3
1981/4/26,15.1,23.0,5.7
1981/4/27,16.2,24.3,9.4
1981/4/28,13.3,19.1,6.4
1981/4/29,17.9,24.4,10.1
1981/4/30,16.3,19.8,11.1
1981/5/1,16.4,23.2,8.9
