ダウンロードした時刻：2017/07/24 15:43:16

,鳥取,鳥取,鳥取
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1994/1/1,4.9,8.7,0.0
1994/1/2,7.7,13.7,0.1
1994/1/3,7.7,11.9,3.8
1994/1/4,7.7,11.5,4.6
1994/1/5,6.1,10.1,2.4
1994/1/6,7.6,13.5,2.3
1994/1/7,4.8,9.3,1.7
1994/1/8,4.4,9.6,1.2
1994/1/9,6.2,12.7,0.8
1994/1/10,6.9,13.5,1.5
1994/1/11,5.4,10.5,1.5
1994/1/12,5.4,8.1,3.5
1994/1/13,4.4,6.8,1.7
1994/1/14,3.3,5.0,0.9
1994/1/15,3.3,6.8,-1.0
1994/1/16,4.6,11.1,-2.0
1994/1/17,10.5,14.3,7.1
1994/1/18,5.3,7.6,1.8
1994/1/19,1.2,3.0,0.1
1994/1/20,1.5,5.6,-0.1
1994/1/21,1.2,4.8,-0.4
1994/1/22,1.1,3.7,-1.1
1994/1/23,0.7,5.0,-1.7
1994/1/24,2.7,6.5,-0.5
1994/1/25,4.8,9.1,1.1
1994/1/26,6.9,12.7,0.5
1994/1/27,3.7,7.0,2.1
1994/1/28,3.9,9.6,0.2
1994/1/29,2.0,4.5,-1.1
1994/1/30,0.4,3.1,-1.2
1994/1/31,3.0,7.2,-2.2
1994/2/1,5.5,7.7,3.1
1994/2/2,2.2,5.0,0.3
1994/2/3,2.3,4.1,0.4
1994/2/4,2.9,5.6,0.1
1994/2/5,4.5,9.3,1.6
1994/2/6,4.9,11.2,0.6
1994/2/7,5.9,11.5,0.9
1994/2/8,6.3,12.3,0.3
1994/2/9,5.7,8.1,0.5
1994/2/10,2.1,4.1,0.5
1994/2/11,2.8,5.7,0.6
1994/2/12,1.3,2.6,-0.4
1994/2/13,3.6,6.6,-0.5
1994/2/14,5.3,9.9,1.2
1994/2/15,3.4,10.1,-1.2
1994/2/16,3.9,9.8,-0.7
1994/2/17,5.2,9.6,-0.1
1994/2/18,4.3,12.7,-2.0
1994/2/19,6.4,15.6,-0.6
1994/2/20,9.3,16.2,2.7
1994/2/21,7.4,9.8,3.7
1994/2/22,6.0,8.3,3.7
1994/2/23,5.5,7.9,2.8
1994/2/24,2.6,3.9,0.5
1994/2/25,4.6,7.9,1.5
1994/2/26,3.7,5.7,1.7
1994/2/27,4.2,7.9,1.5
1994/2/28,5.1,10.5,0.8
1994/3/1,4.1,7.2,0.9
1994/3/2,3.5,8.9,0.8
1994/3/3,4.9,10.7,-1.5
1994/3/4,5.0,9.3,1.7
1994/3/5,3.5,6.4,-0.2
1994/3/6,4.2,9.7,0.2
1994/3/7,8.2,13.6,0.9
1994/3/8,12.1,14.7,7.9
1994/3/9,9.4,13.5,6.8
1994/3/10,5.0,6.9,2.6
1994/3/11,5.4,9.7,0.9
1994/3/12,5.4,7.1,3.2
1994/3/13,5.4,9.0,1.9
1994/3/14,1.8,5.0,0.5
1994/3/15,2.1,4.4,0.5
1994/3/16,5.6,11.9,-1.3
1994/3/17,5.9,9.8,1.2
1994/3/18,5.9,13.5,-1.0
1994/3/19,7.5,14.9,0.9
1994/3/20,6.3,10.2,3.6
1994/3/21,5.9,9.8,0.5
1994/3/22,6.1,13.3,-1.1
1994/3/23,8.2,10.6,5.9
1994/3/24,6.1,11.2,1.6
1994/3/25,3.6,7.6,0.8
1994/3/26,2.4,6.9,0.5
1994/3/27,5.3,12.5,0.6
1994/3/28,9.3,14.5,2.4
1994/3/29,6.9,10.6,0.4
1994/3/30,5.8,13.4,-1.3
1994/3/31,9.4,17.0,1.2
1994/4/1,12.5,22.1,4.4
1994/4/2,14.0,19.1,10.6
1994/4/3,11.0,16.3,5.7
1994/4/4,13.3,22.9,3.6
1994/4/5,16.6,24.4,8.9
1994/4/6,16.8,24.5,10.1
1994/4/7,14.5,17.7,9.8
1994/4/8,9.2,12.0,7.0
1994/4/9,6.8,11.3,2.2
1994/4/10,8.4,15.0,0.8
1994/4/11,16.7,24.1,7.5
1994/4/12,18.1,21.8,13.5
1994/4/13,11.6,16.1,6.2
1994/4/14,12.1,19.1,6.0
1994/4/15,12.4,20.1,5.3
1994/4/16,14.1,23.4,5.6
1994/4/17,14.8,20.8,10.2
1994/4/18,14.5,21.8,8.0
1994/4/19,15.2,20.5,11.1
1994/4/20,15.1,19.9,9.7
1994/4/21,17.3,25.3,12.4
1994/4/22,19.8,26.7,11.5
1994/4/23,17.2,20.6,15.4
1994/4/24,15.2,19.6,11.8
1994/4/25,15.2,21.1,10.4
1994/4/26,14.3,20.1,9.0
1994/4/27,17.3,25.3,8.4
1994/4/28,16.2,21.7,10.5
1994/4/29,14.8,21.9,7.6
1994/4/30,16.4,24.2,10.0
1994/5/1,17.0,22.7,14.0
