ダウンロードした時刻：2019/10/10 16:05:47

,豊岡,豊岡,豊岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/12/1,4.1,6.3,1.8
1995/12/2,6.2,9.6,4.1
1995/12/3,7.0,10.3,5.2
1995/12/4,6.4,10.3,4.2
1995/12/5,4.3,9.4,0.7
1995/12/6,2.4,6.7,0.3
1995/12/7,2.9,6.1,1.0
1995/12/8,2.4,4.6,0.5
1995/12/9,5.2,7.6,3.1
1995/12/10,3.8,11.8,-0.4
1995/12/11,5.5,15.5,-2.0
1995/12/12,5.7,9.7,3.0
1995/12/13,4.2,10.8,0.1
1995/12/14,6.1,13.4,-0.3
1995/12/15,7.9,10.9,4.3
1995/12/16,4.2,6.3,2.9
1995/12/17,4.7,7.6,2.8
1995/12/18,4.9,8.4,2.9
1995/12/19,4.2,8.3,1.5
1995/12/20,5.7,11.1,2.6
1995/12/21,3.5,6.1,2.1
1995/12/22,5.1,10.8,1.8
1995/12/23,6.0,12.0,1.3
1995/12/24,4.1,10.0,0.3
1995/12/25,0.5,1.6,-0.5
1995/12/26,1.4,3.1,-0.9
1995/12/27,2.2,5.1,-1.0
1995/12/28,0.3,6.2,-5.7
1995/12/29,4.0,6.7,0.6
1995/12/30,1.8,4.8,-0.2
1995/12/31,2.1,6.6,-1.7
1996/1/1,2.8,5.1,1.8
1996/1/2,1.6,8.6,-1.4
1996/1/3,2.9,12.4,-3.5
1996/1/4,1.5,3.3,0.2
1996/1/5,1.9,3.3,0.3
1996/1/6,4.2,6.8,2.0
1996/1/7,3.7,10.7,1.2
1996/1/8,4.9,11.8,-1.0
1996/1/9,-0.8,1.8,-2.1
1996/1/10,1.9,4.7,-0.4
1996/1/11,3.0,7.9,0.6
1996/1/12,3.4,7.9,0.2
1996/1/13,2.1,10.1,-2.1
1996/1/14,5.6,13.6,-1.8
1996/1/15,9.2,11.9,7.9
1996/1/16,6.4,9.6,1.0
1996/1/17,3.1,8.2,0.8
1996/1/18,2.9,6.4,0.8
1996/1/19,3.5,7.7,1.4
1996/1/20,3.9,7.5,1.0
1996/1/21,3.5,9.6,-0.2
1996/1/22,2.3,7.3,-1.2
1996/1/23,2.4,6.0,0.3
1996/1/24,0.9,2.3,-0.2
1996/1/25,0.6,3.6,-3.1
1996/1/26,0.3,2.8,-1.3
1996/1/27,0.7,4.5,-2.8
1996/1/28,0.4,7.2,-4.5
1996/1/29,2.1,6.5,-1.2
1996/1/30,0.6,2.7,-1.3
1996/1/31,-0.4,1.7,-1.8
1996/2/1,-1.2,1.7,-2.5
1996/2/2,-1.6,0.9,-3.4
1996/2/3,-0.4,1.9,-2.7
1996/2/4,0.1,6.1,-4.3
1996/2/5,0.4,7.2,-4.3
1996/2/6,0.3,2.3,-1.5
1996/2/7,0.5,3.5,-1.7
1996/2/8,0.5,7.8,-5.0
1996/2/9,1.3,5.0,-1.3
1996/2/10,0.1,1.7,-0.8
1996/2/11,1.5,7.7,-1.4
1996/2/12,3.1,11.6,-2.8
1996/2/13,4.5,15.7,-1.1
1996/2/14,4.7,15.0,0.0
1996/2/15,4.8,7.3,2.2
1996/2/16,1.7,4.0,0.4
1996/2/17,1.1,3.5,-0.5
1996/2/18,0.8,3.2,-0.6
1996/2/19,-0.1,4.5,-3.6
1996/2/20,0.2,4.3,-3.5
1996/2/21,0.3,2.7,-1.3
1996/2/22,0.7,3.7,-1.0
1996/2/23,1.4,6.2,-1.5
1996/2/24,1.7,4.4,-0.4
1996/2/25,0.2,5.3,-4.4
1996/2/26,2.5,6.2,0.5
1996/2/27,3.6,9.9,-0.6
1996/2/28,5.0,9.7,-0.5
1996/2/29,2.2,9.2,-4.2
1996/3/1,3.9,7.1,2.2
1996/3/2,2.7,6.3,0.5
1996/3/3,2.9,7.1,-0.8
1996/3/4,2.8,10.6,-3.0
1996/3/5,2.5,4.5,0.2
1996/3/6,3.0,8.4,-0.7
1996/3/7,2.4,8.2,-2.5
1996/3/8,6.6,9.6,4.9
1996/3/9,4.1,7.0,0.8
1996/3/10,3.4,8.4,-0.2
1996/3/11,3.5,11.3,-0.5
1996/3/12,2.4,5.4,-0.2
1996/3/13,4.2,13.5,-1.9
1996/3/14,7.0,16.9,-1.2
1996/3/15,6.2,7.8,4.7
1996/3/16,9.0,15.5,0.7
1996/3/17,12.2,16.5,8.0
1996/3/18,5.1,8.2,-0.5
1996/3/19,2.3,7.4,-1.5
1996/3/20,5.1,11.3,1.4
1996/3/21,10.3,19.1,0.2
1996/3/22,9.9,13.8,6.4
1996/3/23,5.3,7.1,3.0
1996/3/24,6.8,13.2,2.3
1996/3/25,8.3,11.7,6.3
1996/3/26,7.3,13.8,2.7
1996/3/27,7.1,15.9,0.0
1996/3/28,6.9,12.6,2.2
1996/3/29,9.6,16.6,2.5
1996/3/30,17.0,22.8,12.5
1996/3/31,12.1,14.2,9.5
