ダウンロードした時刻：2019/10/10 16:07:26

,京都,京都,京都
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/12/1,6.5,12.2,2.1
1988/12/2,6.7,13.1,3.0
1988/12/3,7.2,13.8,0.6
1988/12/4,8.1,11.0,4.8
1988/12/5,7.0,11.1,3.7
1988/12/6,5.4,12.1,0.8
1988/12/7,6.0,12.5,0.2
1988/12/8,8.2,15.9,2.1
1988/12/9,7.5,10.9,4.1
1988/12/10,5.3,9.4,1.8
1988/12/11,5.1,11.0,0.2
1988/12/12,5.3,11.8,-0.3
1988/12/13,5.6,11.8,0.4
1988/12/14,6.9,14.2,1.3
1988/12/15,3.9,8.7,0.0
1988/12/16,1.5,5.6,-1.4
1988/12/17,2.4,4.7,-0.8
1988/12/18,5.6,10.7,0.6
1988/12/19,7.5,12.3,3.6
1988/12/20,9.1,15.0,4.5
1988/12/21,7.9,13.2,4.3
1988/12/22,5.9,8.6,4.0
1988/12/23,5.3,10.7,0.4
1988/12/24,7.1,11.6,1.6
1988/12/25,5.9,9.2,3.5
1988/12/26,5.1,9.3,3.2
1988/12/27,5.0,10.3,0.1
1988/12/28,4.5,8.1,2.9
1988/12/29,4.0,5.5,2.7
1988/12/30,4.8,10.6,0.4
1988/12/31,5.2,9.4,0.3
1989/1/1,6.5,9.9,5.4
1989/1/2,6.0,11.6,2.4
1989/1/3,6.2,11.7,0.2
1989/1/4,4.7,7.5,1.5
1989/1/5,3.4,8.6,0.2
1989/1/6,4.9,9.5,-1.1
1989/1/7,9.8,14.2,5.2
1989/1/8,12.2,13.6,10.3
1989/1/9,12.1,13.3,11.2
1989/1/10,11.3,14.1,8.5
1989/1/11,9.7,13.6,4.9
1989/1/12,9.2,11.8,5.5
1989/1/13,5.1,7.5,2.7
1989/1/14,5.1,7.8,2.6
1989/1/15,3.8,6.8,0.4
1989/1/16,3.5,9.5,-1.4
1989/1/17,5.6,12.7,0.4
1989/1/18,6.0,9.8,0.2
1989/1/19,11.4,12.7,8.8
1989/1/20,13.2,15.7,10.1
1989/1/21,8.5,11.4,6.3
1989/1/22,7.1,10.2,5.4
1989/1/23,8.6,11.6,5.7
1989/1/24,6.4,9.8,3.6
1989/1/25,5.3,9.9,0.9
1989/1/26,5.2,7.2,1.8
1989/1/27,4.0,7.1,-0.6
1989/1/28,0.6,3.7,-0.9
1989/1/29,2.1,5.0,-0.8
1989/1/30,4.8,11.0,0.1
1989/1/31,7.6,13.4,0.6
1989/2/1,6.1,8.6,2.0
1989/2/2,2.6,6.0,0.6
1989/2/3,2.7,6.0,0.4
1989/2/4,3.3,6.5,0.8
1989/2/5,4.7,9.9,1.8
1989/2/6,6.1,12.7,1.1
1989/2/7,6.6,12.5,2.2
1989/2/8,8.0,10.2,2.8
1989/2/9,10.0,12.9,7.6
1989/2/10,4.6,7.7,1.8
1989/2/11,3.5,7.3,0.1
1989/2/12,3.8,7.7,1.2
1989/2/13,3.5,8.0,-0.3
1989/2/14,4.7,10.5,1.3
1989/2/15,7.6,14.8,-0.3
1989/2/16,10.6,11.8,8.8
1989/2/17,10.5,12.2,9.0
1989/2/18,8.5,11.8,5.8
1989/2/19,6.3,11.4,2.2
1989/2/20,7.1,14.0,0.3
1989/2/21,7.9,9.0,7.2
1989/2/22,6.8,10.4,4.7
1989/2/23,6.1,9.9,2.8
1989/2/24,7.6,8.5,5.8
1989/2/25,9.4,12.6,7.3
1989/2/26,5.6,8.1,1.9
1989/2/27,6.5,13.9,-0.3
1989/2/28,12.7,19.2,5.7
1989/3/1,8.8,13.4,3.0
1989/3/2,8.9,15.6,0.6
1989/3/3,12.4,15.8,8.9
1989/3/4,11.3,15.8,7.9
1989/3/5,7.1,9.9,5.1
1989/3/6,7.7,13.8,2.7
1989/3/7,6.5,11.4,2.9
1989/3/8,4.4,8.1,1.4
1989/3/9,3.9,9.1,-0.5
1989/3/10,5.5,11.9,0.2
1989/3/11,6.9,12.7,0.8
1989/3/12,9.6,16.6,2.3
1989/3/13,9.8,11.2,7.5
1989/3/14,12.7,19.4,9.5
1989/3/15,9.0,14.8,5.5
1989/3/16,8.6,14.1,3.9
1989/3/17,5.3,8.8,2.2
1989/3/18,5.4,10.4,1.1
1989/3/19,6.3,12.3,1.2
1989/3/20,6.7,11.7,1.2
1989/3/21,7.9,12.6,5.0
1989/3/22,6.9,10.4,4.4
1989/3/23,7.6,12.8,3.3
1989/3/24,9.7,12.8,5.8
1989/3/25,9.5,11.8,6.5
1989/3/26,8.2,13.9,2.9
1989/3/27,8.8,12.0,5.8
1989/3/28,8.6,14.0,4.8
1989/3/29,8.9,14.8,4.4
1989/3/30,10.7,17.5,3.9
1989/3/31,11.6,15.6,8.7
