ダウンロードした時刻：2019/10/10 16:19:31

,下関,下関,下関
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2011/12/1,12.3,15.2,10.3
2011/12/2,11.2,13.4,9.4
2011/12/3,12.7,15.8,10.3
2011/12/4,12.7,15.0,10.3
2011/12/5,12.0,15.4,9.2
2011/12/6,12.7,16.6,9.8
2011/12/7,13.1,15.2,11.6
2011/12/8,11.4,14.1,9.4
2011/12/9,6.6,9.5,5.1
2011/12/10,7.6,9.5,6.3
2011/12/11,9.0,10.2,7.1
2011/12/12,10.5,11.9,8.8
2011/12/13,11.3,14.7,8.4
2011/12/14,11.8,15.5,9.1
2011/12/15,,,
2011/12/16,5.2,8.2,3.4
2011/12/17,5.6,7.5,4.3
2011/12/18,7.8,9.3,4.4
2011/12/19,7.9,10.2,5.1
2011/12/20,8.1,11.3,4.8
2011/12/21,9.0,12.2,5.9
2011/12/22,8.4,11.1,5.6
2011/12/23,5.9,7.8,5.0
2011/12/24,5.7,8.4,2.6
2011/12/25,4.3,5.7,3.3
2011/12/26,4.6,5.5,3.9
2011/12/27,6.1,10.0,3.5
2011/12/28,6.7,10.5,2.4
2011/12/29,8.0,12.0,4.3
2011/12/30,7.3,8.8,5.6
2011/12/31,7.7,10.1,4.7
2012/1/1,8.2,9.6,4.8
2012/1/2,6.4,9.9,3.5
2012/1/3,7.3,8.2,6.1
2012/1/4,4.3,7.7,1.3
2012/1/5,5.5,7.9,3.9
2012/1/6,6.1,7.8,3.9
2012/1/7,7.2,10.7,4.8
2012/1/8,7.7,10.5,4.7
2012/1/9,8.3,10.4,5.9
2012/1/10,7.6,9.0,5.5
2012/1/11,5.8,9.0,2.8
2012/1/12,5.3,8.5,2.6
2012/1/13,6.9,8.7,5.1
2012/1/14,7.6,9.7,5.5
2012/1/15,7.0,8.4,5.4
2012/1/16,6.5,7.9,4.3
2012/1/17,6.9,10.5,2.2
2012/1/18,7.4,9.2,5.3
2012/1/19,8.0,8.5,7.3
2012/1/20,9.9,12.9,8.1
2012/1/21,9.5,13.8,7.2
2012/1/22,8.3,9.7,6.8
2012/1/23,5.0,7.5,2.8
2012/1/24,2.3,3.7,1.2
2012/1/25,2.9,5.2,1.3
2012/1/26,3.1,5.0,1.5
2012/1/27,4.2,5.3,2.7
2012/1/28,6.6,10.4,3.9
2012/1/29,6.4,10.9,2.8
2012/1/30,6.0,8.2,3.1
2012/1/31,5.6,9.1,2.9
2012/2/1,6.1,9.7,2.5
2012/2/2,-0.6,2.7,-3.1
2012/2/3,1.6,4.2,-0.8
2012/2/4,6.0,7.8,3.8
2012/2/5,5.6,7.1,3.8
2012/2/6,7.5,9.0,6.0
2012/2/7,7.5,9.7,4.3
2012/2/8,1.4,4.2,-0.3
2012/2/9,3.2,5.5,1.1
2012/2/10,4.7,7.4,3.1
2012/2/11,5.2,8.8,2.5
2012/2/12,5.3,9.5,0.8
2012/2/13,6.1,7.4,4.3
2012/2/14,7.4,8.4,6.7
2012/2/15,8.5,11.3,6.1
2012/2/16,6.8,9.5,4.7
2012/2/17,4.0,6.7,1.9
2012/2/18,1.7,3.2,-0.5
2012/2/19,2.6,4.9,0.6
2012/2/20,5.2,9.4,1.2
2012/2/21,6.2,8.0,4.8
2012/2/22,6.9,8.0,5.3
2012/2/23,10.6,14.6,7.9
2012/2/24,9.2,12.2,7.0
2012/2/25,8.9,10.5,6.7
2012/2/26,6.5,8.2,4.3
2012/2/27,6.4,10.5,4.3
2012/2/28,4.8,6.9,2.2
2012/2/29,7.4,11.8,3.3
2012/3/1,8.2,9.2,6.8
2012/3/2,10.4,11.2,9.1
2012/3/3,10.3,13.4,7.8
2012/3/4,7.5,9.5,6.5
2012/3/5,9.6,12.2,7.5
2012/3/6,11.3,13.2,9.8
2012/3/7,10.1,11.4,8.3
2012/3/8,9.7,12.8,6.3
2012/3/9,9.8,12.6,7.9
2012/3/10,9.1,13.0,6.6
2012/3/11,6.8,10.7,4.6
2012/3/12,4.2,6.5,2.1
2012/3/13,5.8,10.5,1.5
2012/3/14,8.3,12.7,3.4
2012/3/15,10.7,14.4,8.0
2012/3/16,8.8,9.9,7.7
2012/3/17,13.3,16.1,9.9
2012/3/18,12.4,13.4,11.5
2012/3/19,9.8,12.2,7.8
2012/3/20,8.7,12.3,6.2
2012/3/21,9.6,13.4,5.8
2012/3/22,10.1,14.6,5.7
2012/3/23,10.1,12.3,7.9
2012/3/24,9.8,10.9,8.2
2012/3/25,8.6,10.9,7.0
2012/3/26,8.1,10.0,6.8
2012/3/27,10.7,15.6,5.2
2012/3/28,13.3,16.8,10.3
2012/3/29,11.8,15.6,7.6
2012/3/30,16.9,22.9,11.6
2012/3/31,11.7,18.3,10.0
