ダウンロードした時刻：2019/10/10 16:09:31

,広島,広島,広島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/12/1,11.3,17.9,7.3
2002/12/2,9.3,15.6,4.6
2002/12/3,8.6,13.7,3.6
2002/12/4,10.8,12.5,7.9
2002/12/5,13.3,18.0,10.3
2002/12/6,12.1,13.9,9.2
2002/12/7,7.8,9.2,6.3
2002/12/8,7.7,8.8,6.2
2002/12/9,7.1,11.5,4.1
2002/12/10,3.6,7.3,1.4
2002/12/11,3.9,7.7,1.1
2002/12/12,4.8,9.6,2.2
2002/12/13,5.1,7.8,2.9
2002/12/14,5.9,11.1,1.9
2002/12/15,6.4,13.5,1.0
2002/12/16,7.2,11.3,4.5
2002/12/17,8.7,12.6,4.2
2002/12/18,7.0,10.5,3.7
2002/12/19,8.4,10.5,5.8
2002/12/20,7.8,10.7,4.8
2002/12/21,8.0,10.6,4.8
2002/12/22,10.5,13.5,7.7
2002/12/23,8.4,13.4,4.4
2002/12/24,8.5,12.9,4.2
2002/12/25,7.5,11.0,3.0
2002/12/26,3.9,8.7,1.6
2002/12/27,3.7,8.2,0.5
2002/12/28,4.9,9.8,0.3
2002/12/29,6.1,8.7,4.0
2002/12/30,5.9,10.7,0.8
2002/12/31,5.4,10.9,2.0
2003/1/1,4.7,10.4,0.6
2003/1/2,4.1,8.7,1.2
2003/1/3,2.9,5.0,1.1
2003/1/4,3.1,6.6,-0.6
2003/1/5,0.0,3.1,-2.7
2003/1/6,1.5,5.6,-1.1
2003/1/7,2.3,8.5,-1.0
2003/1/8,3.6,9.5,-0.5
2003/1/9,3.4,8.5,-1.4
2003/1/10,4.8,9.5,0.5
2003/1/11,6.4,11.6,2.6
2003/1/12,5.1,11.3,0.3
2003/1/13,6.4,12.8,0.6
2003/1/14,7.5,14.9,3.9
2003/1/15,3.2,7.2,0.2
2003/1/16,3.0,8.2,-1.7
2003/1/17,6.7,13.2,0.3
2003/1/18,8.5,12.7,5.7
2003/1/19,6.8,11.2,3.9
2003/1/20,6.3,10.0,3.5
2003/1/21,4.3,9.0,1.1
2003/1/22,3.8,8.3,-0.3
2003/1/23,5.8,11.0,3.9
2003/1/24,4.8,8.9,2.2
2003/1/25,5.1,9.7,0.8
2003/1/26,4.9,8.1,3.0
2003/1/27,6.9,9.4,5.1
2003/1/28,3.4,6.4,1.7
2003/1/29,-2.0,2.0,-3.8
2003/1/30,0.3,6.3,-3.9
2003/1/31,2.5,9.0,-1.8
2003/2/1,4.1,9.7,1.0
2003/2/2,3.8,8.8,1.6
2003/2/3,4.0,8.1,1.1
2003/2/4,4.7,8.9,0.8
2003/2/5,3.2,9.1,1.2
2003/2/6,3.4,9.0,0.0
2003/2/7,4.9,12.1,-0.8
2003/2/8,5.6,7.5,2.7
2003/2/9,9.0,12.8,6.2
2003/2/10,9.2,15.9,3.6
2003/2/11,9.4,10.5,7.5
2003/2/12,7.2,11.8,4.5
2003/2/13,5.0,10.8,0.9
2003/2/14,6.1,11.2,2.5
2003/2/15,6.4,11.9,1.4
2003/2/16,8.0,11.7,6.2
2003/2/17,7.4,13.5,2.2
2003/2/18,7.1,11.3,3.2
2003/2/19,6.2,10.0,3.6
2003/2/20,5.0,7.8,3.3
2003/2/21,5.5,10.7,0.3
2003/2/22,5.5,7.1,4.6
2003/2/23,8.5,11.4,6.5
2003/2/24,8.1,12.7,4.9
2003/2/25,8.1,12.2,4.6
2003/2/26,6.9,10.8,2.5
2003/2/27,7.5,11.5,3.6
2003/2/28,6.3,11.9,0.7
2003/3/1,7.3,10.0,5.2
2003/3/2,9.7,14.9,5.6
2003/3/3,8.5,12.4,3.9
2003/3/4,3.6,7.7,1.5
2003/3/5,4.8,8.8,1.2
2003/3/6,4.1,6.1,2.2
2003/3/7,8.2,13.9,5.1
2003/3/8,5.6,9.8,3.7
2003/3/9,4.8,9.4,2.4
2003/3/10,4.2,8.2,0.7
2003/3/11,4.9,11.5,0.3
2003/3/12,5.8,13.6,-0.1
2003/3/13,7.2,13.3,1.6
2003/3/14,8.4,14.8,2.3
2003/3/15,8.5,10.5,7.0
2003/3/16,7.2,8.2,5.9
2003/3/17,10.4,15.9,7.5
2003/3/18,9.4,14.7,4.6
2003/3/19,6.6,14.0,1.2
2003/3/20,7.2,13.7,0.9
2003/3/21,8.7,15.0,1.9
2003/3/22,9.6,16.1,6.8
2003/3/23,9.0,14.6,2.7
2003/3/24,9.8,14.0,5.4
2003/3/25,12.5,18.1,8.9
2003/3/26,11.4,16.9,5.3
2003/3/27,10.9,16.4,6.9
2003/3/28,11.3,16.8,6.8
2003/3/29,11.6,17.1,8.1
2003/3/30,11.4,17.2,4.6
2003/3/31,14.3,21.5,8.7
