ダウンロードした時刻：2019/10/10 16:10:14

,岡山,岡山,岡山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/12/1,11.3,17.0,6.0
1998/12/2,11.5,13.8,9.8
1998/12/3,9.8,12.5,7.6
1998/12/4,10.5,15.0,5.3
1998/12/5,12.3,16.1,9.7
1998/12/6,10.5,14.3,6.8
1998/12/7,9.0,10.8,7.0
1998/12/8,8.7,11.2,4.5
1998/12/9,6.2,11.0,2.3
1998/12/10,6.8,11.6,2.0
1998/12/11,6.7,10.2,3.5
1998/12/12,7.7,11.8,4.3
1998/12/13,7.3,13.2,1.5
1998/12/14,9.1,14.4,2.8
1998/12/15,11.3,13.9,8.8
1998/12/16,10.3,14.2,6.7
1998/12/17,10.1,16.0,4.6
1998/12/18,8.4,13.1,4.2
1998/12/19,9.4,15.7,2.6
1998/12/20,10.6,14.4,7.3
1998/12/21,7.7,12.5,3.2
1998/12/22,8.4,14.7,2.4
1998/12/23,9.7,13.8,5.1
1998/12/24,8.2,10.9,5.3
1998/12/25,7.5,11.4,4.4
1998/12/26,8.2,13.6,4.1
1998/12/27,7.8,11.5,3.4
1998/12/28,9.3,14.8,3.8
1998/12/29,9.3,14.5,3.9
1998/12/30,8.4,12.3,5.2
1998/12/31,6.5,10.3,3.3
1999/1/1,5.4,9.2,1.9
1999/1/2,5.9,9.8,2.8
1999/1/3,7.3,11.1,4.6
1999/1/4,6.3,11.3,1.2
1999/1/5,6.0,11.3,1.4
1999/1/6,6.6,11.5,1.6
1999/1/7,6.7,12.1,1.1
1999/1/8,0.7,4.1,-1.1
1999/1/9,0.8,4.6,-1.9
1999/1/10,2.8,6.4,-0.7
1999/1/11,4.8,9.3,1.9
1999/1/12,4.6,8.9,1.5
1999/1/13,4.4,9.3,-0.1
1999/1/14,6.2,10.9,1.8
1999/1/15,4.6,7.4,1.5
1999/1/16,5.0,10.0,0.9
1999/1/17,5.2,8.3,1.4
1999/1/18,5.0,10.9,-0.3
1999/1/19,5.3,,3.3
1999/1/20,6.1,12.7,0.6
1999/1/21,4.5,9.5,0.4
1999/1/22,4.4,9.9,-1.4
1999/1/23,7.3,13.1,1.2
1999/1/24,8.4,10.5,6.4
1999/1/25,7.1,9.2,5.3
1999/1/26,7.7,13.0,3.6
1999/1/27,5.8,11.4,-0.1
1999/1/28,7.1,13.5,2.7
1999/1/29,3.9,9.2,0.5
1999/1/30,3.9,8.1,-1.1
1999/1/31,5.0,10.4,-0.5
1999/2/1,6.9,11.1,4.3
1999/2/2,5.2,10.9,1.5
1999/2/3,0.4,4.6,-3.0
1999/2/4,0.5,6.2,-4.6
1999/2/5,2.7,8.5,-2.5
1999/2/6,4.0,9.3,-0.7
1999/2/7,5.6,12.6,-0.9
1999/2/8,6.4,12.7,0.0
1999/2/9,7.3,12.5,1.4
1999/2/10,7.9,12.6,4.9
1999/2/11,5.1,8.2,2.9
1999/2/12,3.7,8.6,0.6
1999/2/13,2.3,6.6,-1.1
1999/2/14,3.5,8.7,-1.7
1999/2/15,5.2,9.6,1.5
1999/2/16,6.1,12.9,0.5
1999/2/17,8.1,15.4,0.9
1999/2/18,6.9,8.6,5.6
1999/2/19,5.5,9.4,1.4
1999/2/20,3.4,8.8,-0.3
1999/2/21,2.6,8.3,-1.4
1999/2/22,3.9,8.9,-2.0
1999/2/23,7.1,12.8,1.1
1999/2/24,6.6,8.7,4.6
1999/2/25,9.0,13.8,4.0
1999/2/26,7.4,11.1,2.9
1999/2/27,8.3,14.5,2.9
1999/2/28,5.9,10.7,1.2
1999/3/1,8.0,14.3,2.1
1999/3/2,10.6,15.6,4.0
1999/3/3,10.9,17.0,5.5
1999/3/4,9.7,14.1,3.6
1999/3/5,13.9,18.7,9.8
1999/3/6,10.4,14.7,7.7
1999/3/7,7.7,8.9,6.4
1999/3/8,8.8,13.4,4.9
1999/3/9,6.7,8.2,4.5
1999/3/10,8.0,14.1,3.4
1999/3/11,8.5,12.9,5.8
1999/3/12,6.6,10.0,3.7
1999/3/13,8.4,13.2,2.0
1999/3/14,13.6,17.8,10.3
1999/3/15,14.6,18.2,12.2
1999/3/16,13.1,17.7,9.1
1999/3/17,12.2,19.0,5.2
1999/3/18,16.4,21.3,11.0
1999/3/19,14.3,17.5,9.7
1999/3/20,6.7,9.7,3.2
1999/3/21,6.0,7.6,4.5
1999/3/22,4.9,7.8,3.0
1999/3/23,5.4,11.5,0.0
1999/3/24,8.6,14.6,1.7
1999/3/25,12.7,15.9,9.9
1999/3/26,14.0,16.1,12.2
1999/3/27,11.2,14.0,6.0
1999/3/28,8.0,13.1,2.9
1999/3/29,6.7,11.5,2.9
1999/3/30,6.2,8.6,4.1
1999/3/31,11.7,17.8,6.2
