ダウンロードした時刻：2019/10/10 16:11:26

,神戸,神戸,神戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2016/12/1,14.1,16.5,11.9
2016/12/2,11.9,15.2,9.1
2016/12/3,11.4,15.2,7.9
2016/12/4,13.0,17.2,9.1
2016/12/5,14.9,17.6,12.6
2016/12/6,11.4,14.7,7.1
2016/12/7,9.6,13.4,5.8
2016/12/8,10.4,12.9,7.2
2016/12/9,11.5,16.3,8.1
2016/12/10,8.6,11.4,6.0
2016/12/11,7.7,11.6,5.5
2016/12/12,7.8,10.3,4.2
2016/12/13,10.6,13.4,9.0
2016/12/14,8.8,13.0,4.7
2016/12/15,6.5,9.5,4.3
2016/12/16,5.3,7.9,3.4
2016/12/17,8.1,11.5,3.7
2016/12/18,9.6,13.2,5.5
2016/12/19,9.9,13.4,6.5
2016/12/20,11.4,13.8,9.2
2016/12/21,12.6,16.9,7.4
2016/12/22,16.8,20.0,13.6
2016/12/23,11.3,15.1,7.0
2016/12/24,8.5,11.1,6.4
2016/12/25,8.8,12.2,5.6
2016/12/26,10.6,13.8,7.5
2016/12/27,11.4,17.2,5.5
2016/12/28,5.0,8.0,2.9
2016/12/29,5.7,8.7,3.0
2016/12/30,5.9,9.9,3.6
2016/12/31,7.2,11.7,3.5
2017/1/1,9.1,13.2,5.2
2017/1/2,9.0,13.1,4.6
2017/1/3,10.3,14.0,7.4
2017/1/4,9.3,13.8,5.2
2017/1/5,7.5,10.1,6.2
2017/1/6,7.3,10.9,5.3
2017/1/7,6.9,9.8,3.1
2017/1/8,7.6,9.1,6.6
2017/1/9,9.2,12.2,6.4
2017/1/10,9.6,13.1,6.4
2017/1/11,6.9,10.7,4.3
2017/1/12,6.4,8.9,3.1
2017/1/13,6.1,9.3,3.8
2017/1/14,2.7,6.3,-1.1
2017/1/15,1.3,4.9,-1.8
2017/1/16,3.5,7.1,1.3
2017/1/17,4.7,9.0,1.7
2017/1/18,5.7,8.8,1.6
2017/1/19,7.2,10.6,4.6
2017/1/20,5.1,8.3,3.0
2017/1/21,4.8,7.6,2.8
2017/1/22,4.6,7.8,1.7
2017/1/23,1.9,5.6,0.2
2017/1/24,2.7,6.3,0.4
2017/1/25,3.8,8.4,-0.2
2017/1/26,4.5,9.5,0.5
2017/1/27,7.8,12.7,3.1
2017/1/28,8.0,10.8,4.5
2017/1/29,7.9,10.2,3.8
2017/1/30,9.4,14.3,4.5
2017/1/31,4.2,7.1,2.2
2017/2/1,4.7,7.7,1.7
2017/2/2,5.8,9.3,2.6
2017/2/3,8.0,12.5,5.2
2017/2/4,7.3,10.7,3.4
2017/2/5,8.2,10.5,6.3
2017/2/6,7.3,11.5,3.9
2017/2/7,4.3,6.4,2.7
2017/2/8,5.3,8.5,2.4
2017/2/9,4.1,6.0,2.5
2017/2/10,3.3,7.1,0.5
2017/2/11,2.8,7.2,0.3
2017/2/12,3.6,8.3,0.3
2017/2/13,5.1,9.3,2.3
2017/2/14,4.9,9.0,2.3
2017/2/15,6.0,9.5,3.2
2017/2/16,8.0,13.8,2.7
2017/2/17,11.0,14.1,8.7
2017/2/18,7.8,9.6,5.6
2017/2/19,6.4,9.0,2.6
2017/2/20,9.8,14.6,4.4
2017/2/21,4.1,8.2,2.3
2017/2/22,6.3,10.0,1.6
2017/2/23,11.4,14.5,7.0
2017/2/24,5.9,9.2,3.6
2017/2/25,6.8,10.5,2.6
2017/2/26,8.1,11.4,4.1
2017/2/27,6.9,10.1,4.5
2017/2/28,6.6,10.2,3.2
2017/3/1,8.1,12.4,3.7
2017/3/2,9.8,14.3,7.5
2017/3/3,8.3,12.1,6.1
2017/3/4,9.1,14.1,4.7
2017/3/5,10.6,14.3,5.5
2017/3/6,10.3,14.0,7.0
2017/3/7,6.6,10.4,2.8
2017/3/8,5.3,9.1,1.5
2017/3/9,6.6,9.6,3.1
2017/3/10,8.5,13.4,4.8
2017/3/11,7.8,11.7,4.7
2017/3/12,7.9,11.6,4.0
2017/3/13,10.1,13.2,8.1
2017/3/14,9.2,13.3,5.7
2017/3/15,6.9,11.6,3.5
2017/3/16,8.1,12.3,5.7
2017/3/17,8.6,12.4,4.5
2017/3/18,9.1,12.8,5.3
2017/3/19,10.5,14.1,5.8
2017/3/20,12.3,16.5,7.5
2017/3/21,9.8,12.8,7.9
2017/3/22,9.3,13.7,5.3
2017/3/23,10.0,12.8,7.2
2017/3/24,8.7,12.0,6.3
2017/3/25,8.4,11.2,5.4
2017/3/26,10.3,13.9,6.9
2017/3/27,10.1,14.1,7.6
2017/3/28,9.7,14.3,5.7
2017/3/29,10.9,13.6,7.5
2017/3/30,14.4,18.5,10.8
2017/3/31,9.1,13.3,6.5
