ダウンロードした時刻：2019/10/10 16:12:18

,大阪,大阪,大阪
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2018/12/1,13.3,17.7,9.8
2018/12/2,12.9,17.5,8.7
2018/12/3,15.1,17.9,12.9
2018/12/4,19.1,24.5,15.2
2018/12/5,15.1,19.4,11.1
2018/12/6,12.8,14.7,11.0
2018/12/7,12.3,15.7,8.2
2018/12/8,7.8,11.5,4.7
2018/12/9,5.7,8.5,3.7
2018/12/10,5.9,9.2,3.6
2018/12/11,7.4,11.4,2.3
2018/12/12,9.4,13.6,6.2
2018/12/13,8.0,11.1,3.9
2018/12/14,6.8,10.0,4.3
2018/12/15,6.5,10.6,4.4
2018/12/16,6.4,11.0,1.8
2018/12/17,9.8,14.5,7.2
2018/12/18,9.1,12.3,5.2
2018/12/19,10.1,12.7,4.9
2018/12/20,10.9,13.5,8.8
2018/12/21,10.5,15.8,6.4
2018/12/22,11.5,14.1,10.1
2018/12/23,12.0,16.2,8.7
2018/12/24,8.9,12.1,5.2
2018/12/25,7.4,12.3,2.8
2018/12/26,8.6,10.9,5.8
2018/12/27,9.2,12.4,5.8
2018/12/28,4.1,6.9,1.9
2018/12/29,4.6,8.7,1.9
2018/12/30,4.8,8.1,2.8
2018/12/31,5.0,7.8,2.7
2019/1/1,5.7,10.0,1.0
2019/1/2,6.6,9.4,4.2
2019/1/3,5.2,10.1,1.8
2019/1/4,6.3,10.8,1.1
2019/1/5,8.8,12.0,6.9
2019/1/6,6.2,8.5,4.7
2019/1/7,6.0,9.6,1.8
2019/1/8,8.2,11.9,4.0
2019/1/9,5.4,8.0,2.5
2019/1/10,4.8,8.2,0.7
2019/1/11,8.2,12.7,5.6
2019/1/12,5.7,7.9,3.9
2019/1/13,7.2,12.4,3.2
2019/1/14,7.0,12.3,2.6
2019/1/15,6.0,8.5,3.0
2019/1/16,7.1,10.9,3.8
2019/1/17,7.3,10.2,2.9
2019/1/18,6.6,9.3,4.9
2019/1/19,7.3,12.1,2.4
2019/1/20,8.0,11.6,5.5
2019/1/21,7.4,10.2,4.6
2019/1/22,7.7,11.6,4.7
2019/1/23,7.9,12.4,2.2
2019/1/24,6.7,9.7,4.6
2019/1/25,7.0,9.7,3.6
2019/1/26,4.0,7.5,1.4
2019/1/27,5.0,8.5,2.1
2019/1/28,6.0,10.5,1.4
2019/1/29,5.4,8.7,3.0
2019/1/30,6.3,11.1,1.6
2019/1/31,5.7,7.0,4.2
2019/2/1,5.2,8.9,2.5
2019/2/2,6.9,10.9,2.3
2019/2/3,6.8,11.0,2.6
2019/2/4,10.5,14.2,6.9
2019/2/5,8.6,13.1,4.1
2019/2/6,8.9,12.8,6.6
2019/2/7,10.0,12.6,5.9
2019/2/8,6.6,10.6,3.4
2019/2/9,5.0,7.4,2.9
2019/2/10,4.2,7.2,2.5
2019/2/11,4.1,6.1,2.7
2019/2/12,6.7,10.5,4.2
2019/2/13,7.4,10.7,4.4
2019/2/14,4.9,7.9,3.0
2019/2/15,4.6,6.7,1.0
2019/2/16,7.7,13.0,5.1
2019/2/17,5.8,9.4,3.6
2019/2/18,7.1,12.6,1.0
2019/2/19,9.0,11.7,6.6
2019/2/20,12.5,16.3,9.2
2019/2/21,8.2,10.1,7.2
2019/2/22,9.2,13.2,5.7
2019/2/23,9.1,13.2,5.9
2019/2/24,8.7,14.3,3.6
2019/2/25,10.6,16.2,5.5
2019/2/26,9.9,15.1,6.0
2019/2/27,8.8,12.7,4.2
2019/2/28,10.2,11.8,8.7
2019/3/1,10.5,15.0,7.3
2019/3/2,9.8,15.0,4.5
2019/3/3,9.7,12.3,8.2
2019/3/4,9.5,11.2,7.9
2019/3/5,11.4,15.9,7.4
2019/3/6,11.4,16.9,9.0
2019/3/7,9.3,12.0,5.9
2019/3/8,7.9,13.2,5.0
2019/3/9,9.3,14.8,2.5
2019/3/10,10.9,12.7,8.6
2019/3/11,12.2,16.2,9.1
2019/3/12,11.1,15.0,6.3
2019/3/13,9.5,12.3,6.3
2019/3/14,7.5,11.4,5.4
2019/3/15,9.0,15.3,3.0
2019/3/16,7.8,11.5,3.8
2019/3/17,7.4,11.6,4.2
2019/3/18,8.8,14.5,3.0
2019/3/19,10.8,13.7,8.3
2019/3/20,13.3,19.4,6.5
2019/3/21,16.1,20.0,11.8
2019/3/22,12.3,17.2,7.4
2019/3/23,8.0,11.4,6.0
2019/3/24,8.5,12.1,5.2
2019/3/25,10.2,14.4,5.0
2019/3/26,12.8,17.0,8.9
2019/3/27,14.7,18.8,8.5
2019/3/28,13.5,17.5,8.4
2019/3/29,12.1,17.6,7.2
2019/3/30,12.9,18.7,10.5
2019/3/31,11.0,13.5,8.6
