ダウンロードした時刻：2019/10/10 16:12:33

,洲本,洲本,洲本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/12/1,13.1,16.5,10.8
1991/12/2,11.3,14.0,9.0
1991/12/3,11.4,14.7,8.4
1991/12/4,11.3,14.5,8.9
1991/12/5,11.9,14.4,9.1
1991/12/6,13.5,15.8,11.9
1991/12/7,12.5,15.9,10.0
1991/12/8,12.3,14.6,9.9
1991/12/9,7.6,10.2,5.2
1991/12/10,8.5,11.3,5.2
1991/12/11,12.2,16.4,7.8
1991/12/12,5.2,7.9,2.9
1991/12/13,5.2,7.9,2.5
1991/12/14,6.9,11.5,3.4
1991/12/15,8.3,9.5,6.2
1991/12/16,10.4,13.1,6.9
1991/12/17,12.8,15.2,10.9
1991/12/18,10.9,12.4,7.2
1991/12/19,8.0,10.6,5.7
1991/12/20,7.4,9.9,5.0
1991/12/21,8.7,11.7,5.6
1991/12/22,11.0,14.0,8.1
1991/12/23,12.6,14.5,11.0
1991/12/24,12.9,14.9,12.0
1991/12/25,9.0,12.6,7.0
1991/12/26,7.7,9.8,5.3
1991/12/27,6.6,7.6,5.5
1991/12/28,5.9,8.3,2.0
1991/12/29,3.3,4.6,2.5
1991/12/30,4.1,6.6,1.4
1991/12/31,5.9,9.3,1.9
1992/1/1,7.7,10.6,5.6
1992/1/2,7.6,10.7,5.5
1992/1/3,8.4,11.1,5.7
1992/1/4,6.9,9.6,3.9
1992/1/5,6.7,9.8,3.6
1992/1/6,7.2,8.4,6.1
1992/1/7,9.7,12.4,6.7
1992/1/8,9.0,11.3,5.2
1992/1/9,7.5,9.0,6.3
1992/1/10,6.6,8.4,4.1
1992/1/11,6.0,9.3,4.0
1992/1/12,7.6,11.2,4.6
1992/1/13,8.5,12.1,6.5
1992/1/14,5.2,7.1,2.4
1992/1/15,3.5,5.6,1.1
1992/1/16,4.4,7.4,0.4
1992/1/17,6.0,9.7,3.6
1992/1/18,3.5,6.1,2.1
1992/1/19,3.8,6.9,2.0
1992/1/20,3.9,7.2,1.4
1992/1/21,5.0,7.7,2.1
1992/1/22,6.2,9.7,3.6
1992/1/23,4.8,8.0,2.4
1992/1/24,4.6,8.1,0.1
1992/1/25,7.1,10.4,3.1
1992/1/26,8.5,11.2,6.5
1992/1/27,8.3,11.6,4.5
1992/1/28,8.3,12.6,4.8
1992/1/29,11.0,14.6,7.4
1992/1/30,7.5,8.9,5.9
1992/1/31,6.1,8.7,2.6
1992/2/1,3.1,5.2,1.3
1992/2/2,3.5,7.3,0.6
1992/2/3,8.3,13.7,3.9
1992/2/4,7.7,12.0,4.3
1992/2/5,5.2,8.0,3.3
1992/2/6,5.0,8.0,1.7
1992/2/7,6.3,8.2,4.7
1992/2/8,4.7,7.6,2.4
1992/2/9,3.9,7.9,1.6
1992/2/10,5.2,9.0,1.7
1992/2/11,4.6,6.8,2.8
1992/2/12,4.8,7.5,2.1
1992/2/13,7.0,11.3,3.4
1992/2/14,5.7,8.7,2.4
1992/2/15,6.3,9.5,4.1
1992/2/16,5.7,9.1,3.0
1992/2/17,4.8,8.5,1.2
1992/2/18,6.4,9.9,2.6
1992/2/19,6.2,9.2,3.7
1992/2/20,4.5,6.8,2.2
1992/2/21,2.7,6.7,0.8
1992/2/22,3.2,7.0,0.8
1992/2/23,5.2,9.4,0.7
1992/2/24,5.2,7.7,3.3
1992/2/25,4.7,7.9,3.1
1992/2/26,5.0,8.5,0.6
1992/2/27,8.8,14.8,3.6
1992/2/28,9.9,13.7,6.1
1992/2/29,13.0,17.3,9.7
1992/3/1,13.4,16.3,9.0
1992/3/2,7.0,9.0,4.8
1992/3/3,5.5,8.6,3.1
1992/3/4,6.5,8.9,3.6
1992/3/5,8.4,10.4,6.2
1992/3/6,6.7,10.3,2.4
1992/3/7,5.5,9.4,2.2
1992/3/8,6.9,10.5,3.4
1992/3/9,8.9,12.3,5.8
1992/3/10,10.3,14.6,8.0
1992/3/11,9.4,13.4,5.2
1992/3/12,10.3,15.7,5.9
1992/3/13,11.3,14.7,7.5
1992/3/14,12.8,16.5,7.6
1992/3/15,14.8,17.2,9.9
1992/3/16,9.0,11.0,6.7
1992/3/17,6.1,9.5,3.1
1992/3/18,7.0,8.3,5.2
1992/3/19,7.8,10.0,5.0
1992/3/20,8.3,11.0,6.6
1992/3/21,6.4,8.8,4.4
1992/3/22,6.4,10.9,3.9
1992/3/23,8.0,11.8,4.5
1992/3/24,10.2,12.5,9.1
1992/3/25,11.4,15.3,8.8
1992/3/26,9.0,10.8,7.3
1992/3/27,7.3,9.1,5.9
1992/3/28,9.4,12.0,7.0
1992/3/29,10.8,11.9,9.8
1992/3/30,11.9,15.6,6.8
1992/3/31,11.5,15.2,6.6
