ダウンロードした時刻：2019/10/10 16:13:11

,和歌山,和歌山,和歌山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1999/12/1,9.6,12.9,5.7
1999/12/2,11.3,13.8,9.3
1999/12/3,10.2,12.6,6.0
1999/12/4,8.8,14.9,2.8
1999/12/5,12.1,14.4,10.1
1999/12/6,11.3,14.6,8.2
1999/12/7,8.1,9.8,5.0
1999/12/8,7.9,13.7,3.8
1999/12/9,11.2,18.4,5.3
1999/12/10,10.4,16.7,5.7
1999/12/11,10.6,15.4,6.7
1999/12/12,9.2,12.7,5.4
1999/12/13,10.1,13.2,7.0
1999/12/14,9.6,13.9,6.0
1999/12/15,9.7,12.6,5.4
1999/12/16,8.0,13.4,3.0
1999/12/17,10.2,14.2,6.1
1999/12/18,8.3,10.2,5.5
1999/12/19,5.8,7.2,4.4
1999/12/20,4.1,6.5,2.2
1999/12/21,5.3,7.9,3.6
1999/12/22,4.7,8.0,2.1
1999/12/23,4.4,10.2,0.5
1999/12/24,7.4,12.5,1.5
1999/12/25,8.4,10.6,5.8
1999/12/26,5.9,9.1,3.4
1999/12/27,5.8,9.9,2.3
1999/12/28,6.6,14.1,0.7
1999/12/29,8.4,14.6,3.2
1999/12/30,8.7,14.9,4.3
1999/12/31,8.1,13.5,3.6
2000/1/1,7.6,11.5,3.9
2000/1/2,6.8,11.3,2.5
2000/1/3,9.3,14.9,4.6
2000/1/4,7.4,12.2,2.5
2000/1/5,8.9,15.3,3.5
2000/1/6,13.7,20.0,9.2
2000/1/7,11.1,13.6,6.0
2000/1/8,6.1,10.0,2.6
2000/1/9,6.7,10.4,3.4
2000/1/10,9.6,13.6,6.7
2000/1/11,7.3,9.5,4.0
2000/1/12,7.1,10.4,3.9
2000/1/13,10.2,12.7,7.5
2000/1/14,10.4,12.6,7.9
2000/1/15,8.2,11.9,4.2
2000/1/16,6.7,8.6,4.3
2000/1/17,9.1,11.6,6.1
2000/1/18,7.8,10.8,4.7
2000/1/19,6.2,12.8,0.9
2000/1/20,3.6,7.3,1.5
2000/1/21,2.6,4.6,1.0
2000/1/22,3.9,6.0,1.6
2000/1/23,6.3,9.0,3.6
2000/1/24,9.6,11.5,7.9
2000/1/25,5.8,9.4,2.8
2000/1/26,3.3,6.6,0.9
2000/1/27,2.0,5.1,0.5
2000/1/28,2.5,6.6,-2.1
2000/1/29,4.5,11.2,-0.7
2000/1/30,6.0,9.5,1.6
2000/1/31,5.4,7.9,3.1
2000/2/1,4.3,7.2,2.1
2000/2/2,5.6,10.4,1.7
2000/2/3,6.1,10.7,2.2
2000/2/4,6.1,8.0,4.4
2000/2/5,5.8,10.6,1.4
2000/2/6,6.5,8.7,3.8
2000/2/7,7.6,10.5,5.3
2000/2/8,4.3,8.7,2.0
2000/2/9,3.9,6.6,1.6
2000/2/10,4.4,8.8,0.9
2000/2/11,6.8,12.4,0.7
2000/2/12,7.4,12.2,2.2
2000/2/13,7.3,12.6,2.7
2000/2/14,7.7,11.3,4.7
2000/2/15,4.6,10.5,1.5
2000/2/16,3.2,5.9,1.7
2000/2/17,4.2,8.2,1.1
2000/2/18,4.7,8.4,2.4
2000/2/19,3.9,6.9,1.4
2000/2/20,5.6,9.4,3.2
2000/2/21,4.7,7.0,2.6
2000/2/22,4.4,7.1,2.4
2000/2/23,4.3,7.7,0.8
2000/2/24,4.4,9.7,1.3
2000/2/25,2.9,6.2,1.0
2000/2/26,2.0,4.8,0.6
2000/2/27,4.3,8.5,0.6
2000/2/28,4.4,10.3,-0.6
2000/2/29,3.3,6.3,0.2
2000/3/1,4.5,10.0,-1.1
2000/3/2,7.1,13.4,1.0
2000/3/3,9.8,16.8,2.6
2000/3/4,11.3,17.0,8.9
2000/3/5,11.1,14.0,7.5
2000/3/6,9.3,14.9,4.1
2000/3/7,8.9,13.5,4.4
2000/3/8,5.9,9.9,3.2
2000/3/9,5.7,8.9,1.1
2000/3/10,6.2,10.3,2.4
2000/3/11,5.3,10.2,3.3
2000/3/12,7.0,11.7,3.5
2000/3/13,8.4,14.4,4.2
2000/3/14,7.6,13.7,1.5
2000/3/15,9.2,14.5,3.2
2000/3/16,12.1,17.0,7.8
2000/3/17,8.0,11.6,5.1
2000/3/18,9.0,15.2,1.4
2000/3/19,10.0,13.2,8.4
2000/3/20,8.0,10.7,4.6
2000/3/21,8.0,14.6,1.8
2000/3/22,9.0,13.7,4.8
2000/3/23,10.8,17.4,2.0
2000/3/24,10.5,12.3,8.0
2000/3/25,8.4,12.4,4.9
2000/3/26,9.7,13.8,4.7
2000/3/27,10.4,16.9,3.1
2000/3/28,13.2,18.1,8.4
2000/3/29,10.7,14.1,7.7
2000/3/30,11.6,16.0,8.8
2000/3/31,10.1,15.8,6.3
