ダウンロードした時刻：2017/07/24 15:45:11

,潮岬,潮岬,潮岬
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1999/1/1,7.2,10.4,4.4
1999/1/2,8.9,11.2,6.8
1999/1/3,9.2,12.4,7.1
1999/1/4,9.4,13.8,6.4
1999/1/5,9.5,14.2,5.6
1999/1/6,12.3,16.9,7.9
1999/1/7,10.5,14.5,3.8
1999/1/8,3.6,6.3,2.4
1999/1/9,3.6,5.4,2.1
1999/1/10,4.7,7.3,2.2
1999/1/11,6.5,9.2,4.5
1999/1/12,6.4,9.6,4.5
1999/1/13,7.0,10.0,4.6
1999/1/14,8.3,11.7,6.2
1999/1/15,6.9,8.1,5.2
1999/1/16,7.6,11.2,4.2
1999/1/17,7.4,10.3,3.7
1999/1/18,9.5,13.5,6.5
1999/1/19,10.9,13.7,9.1
1999/1/20,11.3,16.3,7.8
1999/1/21,6.8,10.1,3.8
1999/1/22,8.3,11.9,3.3
1999/1/23,12.1,16.2,8.3
1999/1/24,9.8,11.4,8.0
1999/1/25,11.1,13.5,9.7
1999/1/26,10.7,14.3,6.9
1999/1/27,9.1,12.9,4.3
1999/1/28,12.0,15.5,8.4
1999/1/29,7.1,10.7,4.2
1999/1/30,5.6,8.8,2.6
1999/1/31,8.7,13.0,3.8
1999/2/1,7.6,9.8,5.4
1999/2/2,8.0,11.5,4.6
1999/2/3,1.9,4.9,-1.1
1999/2/4,1.8,6.7,-2.4
1999/2/5,5.1,9.3,0.5
1999/2/6,6.3,10.9,3.0
1999/2/7,9.0,13.3,4.7
1999/2/8,9.9,14.4,6.3
1999/2/9,10.0,14.5,5.9
1999/2/10,11.2,14.6,7.8
1999/2/11,9.0,11.9,7.0
1999/2/12,6.2,9.5,2.6
1999/2/13,3.4,6.8,0.7
1999/2/14,5.5,10.5,1.1
1999/2/15,7.2,10.8,3.0
1999/2/16,9.3,14.4,4.0
1999/2/17,12.3,16.9,8.7
1999/2/18,13.9,18.5,10.2
1999/2/19,8.7,12.3,3.3
1999/2/20,6.2,10.7,2.6
1999/2/21,5.0,8.8,2.3
1999/2/22,6.0,10.3,0.2
1999/2/23,8.6,12.8,3.4
1999/2/24,9.4,13.2,7.0
1999/2/25,11.3,15.5,8.3
1999/2/26,12.2,16.1,6.9
1999/2/27,12.8,18.5,4.7
1999/2/28,7.2,11.7,3.0
1999/3/1,11.0,15.1,6.1
1999/3/2,12.8,17.7,7.8
1999/3/3,13.3,17.9,10.3
1999/3/4,12.6,16.3,10.7
1999/3/5,15.4,18.5,11.6
1999/3/6,15.0,18.2,11.3
1999/3/7,12.0,13.4,10.1
1999/3/8,11.6,15.3,7.0
1999/3/9,10.4,13.5,8.2
1999/3/10,9.9,12.5,8.4
1999/3/11,7.5,11.2,5.1
1999/3/12,8.9,12.5,5.4
1999/3/13,12.0,14.5,8.7
1999/3/14,14.7,17.5,13.1
1999/3/15,17.8,19.5,15.1
1999/3/16,16.4,21.3,12.7
1999/3/17,15.8,19.4,12.2
1999/3/18,18.1,21.1,15.8
1999/3/19,17.7,19.5,16.1
1999/3/20,10.2,16.1,6.4
1999/3/21,10.3,12.5,7.5
1999/3/22,7.6,12.3,2.9
1999/3/23,7.7,12.9,1.8
1999/3/24,11.8,15.6,6.2
1999/3/25,13.4,15.4,11.5
1999/3/26,15.8,18.9,14.0
1999/3/27,17.1,19.3,11.5
1999/3/28,12.1,16.7,7.9
1999/3/29,8.8,12.0,5.2
1999/3/30,9.4,11.4,7.5
1999/3/31,13.2,17.4,10.4
1999/4/1,15.7,20.3,10.5
1999/4/2,18.2,21.0,13.6
1999/4/3,11.4,15.0,8.5
1999/4/4,11.9,15.4,8.7
1999/4/5,13.4,17.5,9.6
1999/4/6,13.2,18.4,9.6
1999/4/7,10.6,13.9,7.1
1999/4/8,10.1,14.6,5.5
1999/4/9,13.3,17.7,7.5
1999/4/10,16.4,19.1,13.7
1999/4/11,17.0,21.1,14.0
1999/4/12,17.3,20.3,13.8
1999/4/13,18.5,21.4,14.3
1999/4/14,14.5,16.9,12.5
1999/4/15,12.8,15.7,9.4
1999/4/16,14.5,18.0,10.9
1999/4/17,16.1,20.0,13.1
1999/4/18,13.1,14.5,11.4
1999/4/19,16.1,19.9,13.5
1999/4/20,19.3,23.3,15.9
1999/4/21,18.1,22.2,15.3
1999/4/22,17.7,20.3,15.9
1999/4/23,15.1,18.9,13.0
1999/4/24,16.9,19.9,14.3
1999/4/25,18.7,23.0,14.8
1999/4/26,18.2,21.7,14.7
1999/4/27,18.4,22.7,14.5
1999/4/28,19.2,24.9,14.7
1999/4/29,15.0,19.2,10.9
1999/4/30,14.0,18.4,8.8
1999/5/1,16.6,20.1,12.7
