ダウンロードした時刻：2017/07/24 15:45:18

,奈良,奈良,奈良
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1993/1/1,4.6,10.5,0.1
1993/1/2,4.6,12.0,-0.6
1993/1/3,6.9,14.0,0.4
1993/1/4,6.8,10.2,4.0
1993/1/5,3.5,9.6,0.2
1993/1/6,4.2,8.9,-0.8
1993/1/7,7.8,11.3,4.9
1993/1/8,7.4,10.7,2.7
1993/1/9,3.5,6.5,-0.7
1993/1/10,6.2,7.6,4.5
1993/1/11,6.9,9.8,4.3
1993/1/12,5.3,10.5,1.5
1993/1/13,4.6,7.8,0.1
1993/1/14,6.2,6.9,5.2
1993/1/15,7.1,7.8,6.0
1993/1/16,8.3,10.3,6.4
1993/1/17,4.1,7.4,-0.5
1993/1/18,4.3,10.1,0.1
1993/1/19,3.3,7.6,0.0
1993/1/20,3.2,7.8,-1.7
1993/1/21,2.2,7.5,-1.3
1993/1/22,2.2,7.8,-1.5
1993/1/23,2.2,6.8,-2.8
1993/1/24,5.1,8.4,2.6
1993/1/25,6.0,8.1,4.7
1993/1/26,5.6,11.8,1.3
1993/1/27,4.5,10.8,0.1
1993/1/28,1.3,4.9,-1.1
1993/1/29,2.3,8.0,-1.1
1993/1/30,4.2,9.6,-1.0
1993/1/31,6.2,10.9,2.3
1993/2/1,3.5,6.2,0.8
1993/2/2,0.7,3.3,-0.8
1993/2/3,3.2,8.1,-1.0
1993/2/4,5.7,12.0,1.5
1993/2/5,5.2,13.1,-0.9
1993/2/6,9.6,19.8,-0.5
1993/2/7,11.8,21.6,5.9
1993/2/8,3.2,6.5,-1.0
1993/2/9,2.4,7.3,-1.7
1993/2/10,3.7,8.7,-0.5
1993/2/11,4.7,11.2,-2.4
1993/2/12,6.7,10.7,4.0
1993/2/13,7.2,12.1,1.9
1993/2/14,4.2,8.2,-1.7
1993/2/15,3.8,12.4,-4.0
1993/2/16,7.8,14.4,0.1
1993/2/17,10.8,13.9,7.6
1993/2/18,6.8,11.0,3.1
1993/2/19,4.4,9.7,0.5
1993/2/20,5.8,12.1,1.8
1993/2/21,6.9,11.2,1.8
1993/2/22,10.9,14.7,7.9
1993/2/23,4.2,7.9,0.7
1993/2/24,2.4,6.6,-0.3
1993/2/25,2.4,7.1,-1.4
1993/2/26,2.9,9.1,-2.9
1993/2/27,5.8,13.5,-2.1
1993/2/28,7.2,11.0,4.3
1993/3/1,4.6,7.6,0.4
1993/3/2,2.2,6.2,-1.6
1993/3/3,4.2,10.1,-0.6
1993/3/4,5.4,13.1,-0.1
1993/3/5,6.5,16.4,-1.7
1993/3/6,8.9,17.4,0.0
1993/3/7,9.1,14.8,5.3
1993/3/8,4.4,7.9,2.7
1993/3/9,5.0,9.0,1.2
1993/3/10,5.5,11.3,0.2
1993/3/11,5.8,12.3,-0.1
1993/3/12,6.5,12.2,3.0
1993/3/13,4.7,9.2,0.1
1993/3/14,6.8,13.8,0.4
1993/3/15,3.8,5.3,2.6
1993/3/16,3.5,6.8,1.4
1993/3/17,2.8,7.5,-0.8
1993/3/18,3.8,11.9,-2.1
1993/3/19,4.7,10.3,0.0
1993/3/20,3.5,9.6,-1.5
1993/3/21,5.1,13.1,-2.2
1993/3/22,7.7,16.9,-0.2
1993/3/23,10.6,19.4,1.3
1993/3/24,12.2,17.3,8.3
1993/3/25,11.8,15.0,7.5
1993/3/26,11.5,17.4,6.6
1993/3/27,11.9,18.8,5.5
1993/3/28,9.5,10.6,8.4
1993/3/29,4.1,8.9,-0.3
1993/3/30,5.8,13.8,-2.1
1993/3/31,11.4,17.8,4.9
1993/4/1,12.6,17.9,6.9
1993/4/2,11.7,19.8,4.2
1993/4/3,14.5,24.5,6.2
1993/4/4,11.5,18.0,7.7
1993/4/5,8.1,13.0,3.8
1993/4/6,8.0,14.9,1.5
1993/4/7,8.4,15.4,1.6
1993/4/8,5.8,11.5,2.0
1993/4/9,5.4,12.9,-0.3
1993/4/10,6.7,12.6,1.9
1993/4/11,6.1,15.2,-1.2
1993/4/12,6.7,12.4,2.8
1993/4/13,8.3,16.1,-0.2
1993/4/14,11.0,18.6,3.2
1993/4/15,12.4,19.4,3.9
1993/4/16,13.9,21.0,7.4
1993/4/17,14.6,21.8,10.8
1993/4/18,17.2,23.4,11.3
1993/4/19,16.4,24.8,8.2
1993/4/20,18.6,27.5,9.6
1993/4/21,17.8,24.6,12.5
1993/4/22,14.9,16.6,12.1
1993/4/23,18.4,26.3,11.4
1993/4/24,17.8,22.2,13.1
1993/4/25,14.1,18.5,6.4
1993/4/26,13.0,20.8,3.7
1993/4/27,17.9,24.7,11.5
1993/4/28,14.8,21.3,11.1
1993/4/29,14.0,15.3,13.1
1993/4/30,13.7,16.3,10.1
1993/5/1,12.6,15.7,9.1
