ダウンロードした時刻：2017/07/24 15:46:31

,厳原,厳原,厳原
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2006/1/1,8.0,12.9,3.1
2006/1/2,7.2,9.8,3.8
2006/1/3,5.2,7.3,2.0
2006/1/4,4.4,6.2,1.9
2006/1/5,2.9,4.6,0.0
2006/1/6,2.2,3.8,0.2
2006/1/7,0.7,3.5,-1.6
2006/1/8,2.6,7.3,-1.5
2006/1/9,4.6,8.0,-0.6
2006/1/10,6.5,9.9,2.0
2006/1/11,4.9,11.8,0.3
2006/1/12,8.1,12.6,1.8
2006/1/13,12.0,15.2,8.9
2006/1/14,10.2,13.3,8.1
2006/1/15,8.1,11.4,4.8
2006/1/16,7.1,10.8,4.6
2006/1/17,8.8,11.2,7.1
2006/1/18,8.5,9.8,6.8
2006/1/19,8.2,9.4,6.7
2006/1/20,7.1,8.1,5.7
2006/1/21,6.7,10.1,3.7
2006/1/22,5.9,8.1,2.8
2006/1/23,3.1,7.4,-0.7
2006/1/24,4.0,8.0,0.4
2006/1/25,5.1,10.1,0.7
2006/1/26,5.3,10.7,0.3
2006/1/27,6.1,9.1,1.8
2006/1/28,7.2,10.0,2.8
2006/1/29,9.3,12.6,4.9
2006/1/30,13.0,16.0,9.6
2006/1/31,11.7,13.1,10.3
2006/2/1,9.1,11.3,4.7
2006/2/2,6.2,9.4,2.4
2006/2/3,2.4,5.9,-1.9
2006/2/4,-0.1,4.1,-3.0
2006/2/5,2.6,6.4,-2.2
2006/2/6,4.2,7.0,2.6
2006/2/7,5.8,9.4,3.3
2006/2/8,1.6,4.1,0.1
2006/2/9,2.0,6.5,-1.3
2006/2/10,5.6,7.8,2.7
2006/2/11,7.6,11.2,4.4
2006/2/12,4.4,7.5,0.0
2006/2/13,9.2,14.4,-0.3
2006/2/14,14.3,16.5,11.8
2006/2/15,10.3,13.2,8.5
2006/2/16,9.2,10.5,7.1
2006/2/17,4.4,8.2,1.5
2006/2/18,3.2,6.6,-0.3
2006/2/19,5.0,10.2,0.6
2006/2/20,7.8,12.4,3.4
2006/2/21,8.9,14.7,3.7
2006/2/22,8.9,11.7,6.1
2006/2/23,8.7,12.7,5.2
2006/2/24,9.3,12.3,7.3
2006/2/25,11.1,12.7,9.6
2006/2/26,11.1,14.4,7.3
2006/2/27,7.3,9.2,5.8
2006/2/28,7.3,8.6,5.3
2006/3/1,5.5,7.3,4.3
2006/3/2,4.6,7.5,3.0
2006/3/3,3.4,7.0,-0.1
2006/3/4,5.9,12.6,-0.4
2006/3/5,13.1,15.9,7.2
2006/3/6,12.9,15.2,10.0
2006/3/7,11.6,16.6,5.1
2006/3/8,12.8,16.1,9.9
2006/3/9,11.8,12.8,10.0
2006/3/10,11.9,16.4,6.9
2006/3/11,14.1,16.5,12.2
2006/3/12,6.7,12.4,0.0
2006/3/13,1.6,5.1,-1.9
2006/3/14,5.5,8.6,2.6
2006/3/15,9.4,13.2,4.2
2006/3/16,9.1,12.1,7.8
2006/3/17,10.8,17.1,5.7
2006/3/18,10.1,11.7,9.0
2006/3/19,8.4,11.6,3.9
2006/3/20,8.2,13.3,2.9
2006/3/21,10.6,12.9,7.4
2006/3/22,11.1,12.5,8.9
2006/3/23,11.2,13.8,7.5
2006/3/24,9.3,13.5,4.0
2006/3/25,11.4,17.3,4.4
2006/3/26,13.4,18.5,8.5
2006/3/27,12.2,17.1,6.4
2006/3/28,9.4,14.4,4.1
2006/3/29,7.5,11.7,2.6
2006/3/30,10.3,12.6,8.0
2006/3/31,8.6,13.4,3.2
2006/4/1,13.3,16.0,6.7
2006/4/2,13.9,16.8,10.7
2006/4/3,14.9,19.0,8.8
2006/4/4,12.2,15.3,10.6
2006/4/5,11.5,13.9,10.3
2006/4/6,11.9,14.9,9.3
2006/4/7,12.8,17.8,6.0
2006/4/8,15.3,19.8,11.3
2006/4/9,12.6,16.6,8.6
2006/4/10,15.1,17.7,13.0
2006/4/11,14.8,16.5,12.6
2006/4/12,14.9,18.8,12.1
2006/4/13,10.8,12.7,9.7
2006/4/14,10.3,12.2,9.2
2006/4/15,10.4,11.9,6.0
2006/4/16,10.7,15.7,5.7
2006/4/17,12.8,19.3,6.0
2006/4/18,17.2,20.6,13.6
2006/4/19,15.7,19.7,9.7
2006/4/20,10.8,13.6,9.2
2006/4/21,11.8,17.1,5.5
2006/4/22,11.8,13.0,9.1
2006/4/23,13.7,20.6,8.6
2006/4/24,12.8,16.6,6.6
2006/4/25,14.0,17.9,8.7
2006/4/26,12.7,17.3,8.7
2006/4/27,13.5,19.7,8.7
2006/4/28,14.3,20.7,8.9
2006/4/29,14.4,18.7,9.6
2006/4/30,18.9,22.9,13.9
2006/5/1,20.9,22.6,19.0
