ダウンロードした時刻：2017/07/24 15:47:04

,大分,大分,大分
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2015/1/1,1.9,6.2,-0.7
2015/1/2,3.4,6.8,-0.9
2015/1/3,3.3,8.2,-1.8
2015/1/4,7.0,14.2,1.0
2015/1/5,8.3,13.3,3.0
2015/1/6,10.7,17.1,7.7
2015/1/7,7.3,10.4,4.5
2015/1/8,6.6,10.5,3.7
2015/1/9,7.8,11.6,3.8
2015/1/10,8.3,12.3,3.3
2015/1/11,8.6,13.2,2.1
2015/1/12,6.6,9.4,5.1
2015/1/13,7.1,9.7,5.2
2015/1/14,7.3,10.4,4.6
2015/1/15,9.9,13.1,7.8
2015/1/16,10.0,12.8,6.0
2015/1/17,7.4,9.8,2.9
2015/1/18,4.8,10.4,-0.8
2015/1/19,8.6,12.5,4.3
2015/1/20,6.7,11.8,2.2
2015/1/21,7.4,10.6,3.8
2015/1/22,9.1,12.7,7.7
2015/1/23,6.9,9.8,2.2
2015/1/24,6.1,13.5,-0.5
2015/1/25,7.6,13.2,2.1
2015/1/26,10.6,13.8,8.1
2015/1/27,10.6,13.5,8.5
2015/1/28,7.6,10.1,5.7
2015/1/29,5.3,7.3,2.4
2015/1/30,5.7,9.3,2.7
2015/1/31,5.5,8.0,4.5
2015/2/1,5.4,9.4,2.3
2015/2/2,4.7,9.8,0.0
2015/2/3,5.5,10.4,1.2
2015/2/4,5.8,8.4,2.1
2015/2/5,6.3,10.0,3.6
2015/2/6,5.9,9.7,2.4
2015/2/7,6.1,11.2,0.8
2015/2/8,5.7,9.6,1.0
2015/2/9,1.8,4.9,0.1
2015/2/10,5.3,10.9,1.2
2015/2/11,6.4,13.3,0.0
2015/2/12,8.0,14.2,3.3
2015/2/13,6.3,9.7,4.1
2015/2/14,7.3,12.5,2.5
2015/2/15,8.1,14.9,0.1
2015/2/16,9.0,9.8,8.0
2015/2/17,11.1,16.0,8.3
2015/2/18,7.7,9.8,5.9
2015/2/19,6.9,10.6,5.1
2015/2/20,6.7,10.7,3.2
2015/2/21,6.8,11.5,1.1
2015/2/22,14.4,19.5,10.7
2015/2/23,10.1,13.5,6.3
2015/2/24,7.9,13.5,3.4
2015/2/25,7.5,11.6,3.4
2015/2/26,8.7,11.4,7.1
2015/2/27,6.5,10.4,4.3
2015/2/28,6.7,10.2,4.2
2015/3/1,7.9,9.9,6.6
2015/3/2,8.4,12.2,4.4
2015/3/3,6.4,8.6,3.4
2015/3/4,8.9,13.0,5.9
2015/3/5,7.5,10.5,3.9
2015/3/6,6.2,7.7,4.9
2015/3/7,7.7,10.2,5.1
2015/3/8,9.9,13.9,6.1
2015/3/9,8.8,10.9,7.2
2015/3/10,4.0,9.1,0.0
2015/3/11,6.5,10.6,2.6
2015/3/12,8.4,13.8,2.7
2015/3/13,7.0,14.4,-0.6
2015/3/14,9.6,14.9,6.1
2015/3/15,9.2,10.8,6.8
2015/3/16,10.6,12.7,8.9
2015/3/17,10.5,14.4,6.5
2015/3/18,13.1,15.0,11.5
2015/3/19,14.4,16.6,12.5
2015/3/20,13.7,18.0,9.1
2015/3/21,12.9,17.7,9.2
2015/3/22,13.4,20.1,6.8
2015/3/23,11.9,15.2,7.6
2015/3/24,8.6,11.7,6.0
2015/3/25,7.9,13.7,1.3
2015/3/26,8.5,15.9,1.5
2015/3/27,10.2,16.7,2.4
2015/3/28,14.7,21.9,7.0
2015/3/29,15.7,20.3,12.2
2015/3/30,14.1,19.1,8.8
2015/3/31,14.5,17.4,10.0
2015/4/1,16.5,21.3,14.2
2015/4/2,16.8,20.7,13.3
2015/4/3,19.9,24.9,16.5
2015/4/4,17.3,21.6,15.9
2015/4/5,17.8,22.6,15.8
2015/4/6,16.7,20.3,13.9
2015/4/7,12.7,15.1,9.5
2015/4/8,9.7,13.1,7.5
2015/4/9,9.8,12.2,7.1
2015/4/10,11.3,12.5,9.8
2015/4/11,14.9,19.0,11.9
2015/4/12,11.9,14.7,8.7
2015/4/13,12.6,13.7,11.6
2015/4/14,13.0,17.4,9.3
2015/4/15,14.2,19.6,9.0
2015/4/16,16.5,22.2,10.8
2015/4/17,15.8,19.4,11.1
2015/4/18,15.4,21.6,7.9
2015/4/19,17.7,21.1,15.2
2015/4/20,17.7,21.7,13.4
2015/4/21,15.2,19.8,11.6
2015/4/22,14.8,21.1,9.2
2015/4/23,15.8,21.8,9.4
2015/4/24,16.1,21.1,10.0
2015/4/25,17.6,24.3,10.9
2015/4/26,16.9,24.3,8.8
2015/4/27,18.1,24.6,11.4
2015/4/28,18.0,21.2,14.7
2015/4/29,19.7,24.0,16.7
2015/4/30,17.1,19.4,15.4
2015/5/1,18.3,24.0,13.7
