ダウンロードした時刻：2017/07/24 15:46:34

,長崎,長崎,長崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/1/1,8.9,12.2,6.5
1987/1/2,15.1,18.8,8.8
1987/1/3,11.0,15.7,6.5
1987/1/4,7.9,12.3,3.8
1987/1/5,8.5,11.2,6.7
1987/1/6,7.5,11.6,4.6
1987/1/7,10.3,16.0,4.3
1987/1/8,9.4,12.6,6.7
1987/1/9,11.4,15.0,8.0
1987/1/10,7.2,10.7,2.7
1987/1/11,5.6,11.0,0.6
1987/1/12,6.3,9.9,1.0
1987/1/13,0.5,2.3,-0.9
1987/1/14,2.6,5.5,0.8
1987/1/15,7.4,13.3,2.6
1987/1/16,12.0,15.8,6.0
1987/1/17,9.6,14.2,6.8
1987/1/18,6.3,8.1,5.2
1987/1/19,5.5,8.0,1.9
1987/1/20,4.0,8.5,0.3
1987/1/21,5.3,10.3,1.0
1987/1/22,8.6,13.8,3.2
1987/1/23,13.1,16.3,9.8
1987/1/24,5.1,9.8,4.3
1987/1/25,3.1,4.7,0.9
1987/1/26,4.2,7.8,-0.2
1987/1/27,6.1,8.4,4.1
1987/1/28,7.4,11.1,3.3
1987/1/29,10.3,14.3,4.5
1987/1/30,10.8,13.8,7.4
1987/1/31,4.9,7.7,1.5
1987/2/1,3.6,7.3,-0.8
1987/2/2,4.4,7.2,1.2
1987/2/3,2.0,4.4,-0.9
1987/2/4,5.1,8.4,3.0
1987/2/5,6.8,9.9,2.7
1987/2/6,8.9,12.4,3.6
1987/2/7,10.6,14.2,7.3
1987/2/8,8.6,13.8,4.6
1987/2/9,10.3,17.0,3.6
1987/2/10,14.9,20.0,8.4
1987/2/11,17.8,20.1,16.2
1987/2/12,13.1,18.9,8.5
1987/2/13,10.9,15.1,6.8
1987/2/14,12.2,14.9,9.9
1987/2/15,7.6,11.0,4.5
1987/2/16,8.3,13.4,2.5
1987/2/17,9.5,11.2,8.3
1987/2/18,9.7,12.2,7.0
1987/2/19,7.4,9.3,5.7
1987/2/20,8.3,13.0,4.9
1987/2/21,8.6,11.0,5.9
1987/2/22,8.6,11.5,5.1
1987/2/23,9.0,13.3,4.4
1987/2/24,10.5,15.2,5.5
1987/2/25,3.4,5.6,0.6
1987/2/26,3.5,5.2,1.1
1987/2/27,2.1,3.8,-0.4
1987/2/28,5.6,10.1,-0.1
1987/3/1,5.8,9.2,2.5
1987/3/2,4.2,8.0,1.2
1987/3/3,6.3,11.4,0.4
1987/3/4,10.5,14.0,4.7
1987/3/5,13.3,17.9,7.7
1987/3/6,13.4,19.2,9.1
1987/3/7,8.6,12.3,6.5
1987/3/8,8.5,12.1,3.4
1987/3/9,8.7,13.6,6.4
1987/3/10,7.3,11.0,5.1
1987/3/11,9.3,13.1,6.7
1987/3/12,10.5,15.6,5.1
1987/3/13,14.9,17.3,11.7
1987/3/14,11.8,14.0,8.1
1987/3/15,9.9,14.9,5.8
1987/3/16,9.5,13.4,3.5
1987/3/17,10.6,15.0,7.7
1987/3/18,12.5,16.0,8.7
1987/3/19,13.7,18.5,7.8
1987/3/20,13.6,18.9,11.6
1987/3/21,14.9,21.1,11.3
1987/3/22,14.2,16.9,12.4
1987/3/23,17.1,19.4,14.5
1987/3/24,14.2,17.0,11.4
1987/3/25,5.8,11.5,4.2
1987/3/26,5.9,9.9,3.5
1987/3/27,7.0,12.1,0.9
1987/3/28,8.5,12.6,4.3
1987/3/29,11.2,14.8,7.6
1987/3/30,14.4,15.0,12.6
1987/3/31,10.4,14.0,6.2
1987/4/1,7.3,11.2,5.2
1987/4/2,10.2,13.3,5.8
1987/4/3,11.5,15.8,8.7
1987/4/4,12.4,17.9,6.8
1987/4/5,15.4,21.3,8.3
1987/4/6,15.5,18.8,13.0
1987/4/7,16.4,18.3,14.1
1987/4/8,16.7,20.9,13.0
1987/4/9,17.0,18.4,15.5
1987/4/10,17.0,19.6,15.7
1987/4/11,12.8,15.9,10.7
1987/4/12,10.9,13.8,8.7
1987/4/13,10.2,15.2,5.6
1987/4/14,11.2,15.6,6.0
1987/4/15,13.7,18.9,9.7
1987/4/16,13.4,17.2,10.8
1987/4/17,15.7,21.3,9.3
1987/4/18,17.9,23.3,13.2
1987/4/19,18.6,23.6,15.6
1987/4/20,19.8,24.5,15.3
1987/4/21,17.1,20.4,12.1
1987/4/22,14.8,18.4,10.8
1987/4/23,15.8,21.4,11.4
1987/4/24,16.5,21.3,11.0
1987/4/25,16.5,17.8,15.0
1987/4/26,14.2,19.2,11.1
1987/4/27,14.1,20.1,7.7
1987/4/28,14.9,21.2,9.0
1987/4/29,16.5,21.8,10.4
1987/4/30,16.9,22.1,14.4
1987/5/1,17.2,19.1,15.3
