ダウンロードした時刻：2017/07/24 15:47:25

,熊本,熊本,熊本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2013/1/1,3.7,8.3,-0.9
2013/1/2,5.5,13.8,0.7
2013/1/3,2.3,5.0,-1.8
2013/1/4,0.8,6.6,-4.1
2013/1/5,2.7,8.2,-1.9
2013/1/6,3.2,8.6,-1.2
2013/1/7,3.8,9.9,-2.7
2013/1/8,6.7,12.0,3.6
2013/1/9,4.3,9.1,0.4
2013/1/10,2.3,7.0,-1.3
2013/1/11,2.3,9.2,-3.9
2013/1/12,,,
2013/1/13,,,
2013/1/14,7.2,12.8,2.8
2013/1/15,4.7,10.4,-0.2
2013/1/16,5.0,12.1,-1.3
2013/1/17,4.8,8.1,1.0
2013/1/18,2.8,7.9,-0.9
2013/1/19,3.6,9.6,-1.5
2013/1/20,4.8,10.8,-0.4
2013/1/21,7.6,11.6,3.5
2013/1/22,11.4,13.8,8.5
2013/1/23,8.0,11.6,4.1
2013/1/24,7.1,12.0,2.8
2013/1/25,5.2,8.6,3.0
2013/1/26,3.7,6.7,0.6
2013/1/27,1.7,6.4,-1.8
2013/1/28,2.7,8.9,-3.1
2013/1/29,4.0,11.8,-2.7
2013/1/30,6.6,14.3,-0.8
2013/1/31,9.2,17.8,1.7
2013/2/1,9.3,12.6,5.6
2013/2/2,12.5,16.2,6.4
2013/2/3,9.2,15.8,2.2
2013/2/4,13.3,17.8,8.9
2013/2/5,9.5,11.7,8.2
2013/2/6,9.8,13.6,7.4
2013/2/7,6.1,9.4,2.6
2013/2/8,1.2,4.9,-1.8
2013/2/9,3.7,9.2,-1.4
2013/2/10,4.7,10.5,-1.0
2013/2/11,5.1,11.8,-0.8
2013/2/12,4.0,7.0,-0.1
2013/2/13,5.7,10.7,1.8
2013/2/14,5.8,10.2,0.5
2013/2/15,7.0,10.8,3.0
2013/2/16,4.9,10.7,-0.3
2013/2/17,5.9,9.9,-0.6
2013/2/18,10.8,15.2,8.1
2013/2/19,7.0,9.4,4.1
2013/2/20,5.1,10.4,0.4
2013/2/21,4.1,10.3,-1.2
2013/2/22,5.2,11.9,-0.4
2013/2/23,6.2,11.8,1.5
2013/2/24,5.7,12.2,-0.8
2013/2/25,8.2,14.5,1.1
2013/2/26,9.5,11.2,7.6
2013/2/27,12.1,17.8,6.8
2013/2/28,11.4,20.0,3.7
2013/3/1,11.0,17.7,7.0
2013/3/2,7.1,11.0,4.0
2013/3/3,6.3,11.7,0.8
2013/3/4,7.0,13.0,2.1
2013/3/5,8.4,15.4,1.6
2013/3/6,9.6,16.9,2.0
2013/3/7,12.5,19.6,3.5
2013/3/8,16.5,20.2,13.1
2013/3/9,17.0,23.8,9.6
2013/3/10,15.9,20.4,7.4
2013/3/11,9.8,17.0,5.1
2013/3/12,14.2,22.1,4.3
2013/3/13,15.7,20.9,9.6
2013/3/14,8.2,11.8,3.9
2013/3/15,8.2,16.3,0.8
2013/3/16,11.2,18.0,3.9
2013/3/17,11.8,16.6,6.3
2013/3/18,16.6,19.3,13.2
2013/3/19,16.0,24.2,9.6
2013/3/20,13.2,15.8,9.7
2013/3/21,11.0,15.9,7.2
2013/3/22,8.5,14.8,4.1
2013/3/23,12.0,16.3,7.3
2013/3/24,13.0,16.9,10.5
2013/3/25,12.3,17.1,7.4
2013/3/26,10.3,15.4,4.2
2013/3/27,11.7,14.8,8.7
2013/3/28,16.1,22.4,12.2
2013/3/29,13.6,17.8,10.7
2013/3/30,14.2,21.2,7.0
2013/3/31,13.7,19.2,9.7
2013/4/1,15.1,22.3,6.2
2013/4/2,13.7,16.2,10.3
2013/4/3,12.6,18.6,7.9
2013/4/4,13.4,19.6,7.2
2013/4/5,17.7,24.1,10.1
2013/4/6,16.3,19.7,9.7
2013/4/7,9.2,12.0,6.3
2013/4/8,11.1,18.2,4.4
2013/4/9,13.0,18.3,8.6
2013/4/10,10.4,14.9,7.1
2013/4/11,9.7,14.4,3.5
2013/4/12,11.4,17.0,5.0
2013/4/13,11.8,18.9,4.1
2013/4/14,15.5,23.0,7.5
2013/4/15,17.2,22.7,12.2
2013/4/16,18.1,24.5,10.3
2013/4/17,18.5,23.8,14.8
2013/4/18,19.0,24.1,15.4
2013/4/19,15.4,20.9,10.3
2013/4/20,11.3,16.3,8.2
2013/4/21,11.2,16.5,6.7
2013/4/22,13.0,20.6,4.3
2013/4/23,14.2,18.0,10.1
2013/4/24,15.7,18.8,14.1
2013/4/25,16.7,22.8,12.4
2013/4/26,15.4,18.9,11.6
2013/4/27,14.6,21.2,7.3
2013/4/28,17.6,25.2,9.6
2013/4/29,19.6,26.0,11.9
2013/4/30,15.1,20.8,11.5
2013/5/1,13.4,19.8,8.9
