ダウンロードした時刻：2019/10/10 16:24:43

,延岡,延岡,延岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1993/12/1,15.3,18.4,13.5
1993/12/2,14.7,19.3,10.8
1993/12/3,14.5,20.5,10.1
1993/12/4,8.4,12.3,2.7
1993/12/5,6.5,13.5,0.7
1993/12/6,5.8,13.1,0.7
1993/12/7,6.2,14.9,-0.2
1993/12/8,7.5,15.7,2.5
1993/12/9,7.5,15.5,1.1
1993/12/10,10.8,14.8,7.3
1993/12/11,10.1,15.1,2.6
1993/12/12,7.6,15.1,1.2
1993/12/13,11.0,16.6,6.4
1993/12/14,10.9,14.3,4.3
1993/12/15,7.0,12.6,2.0
1993/12/16,6.4,8.5,4.2
1993/12/17,6.2,10.4,-0.8
1993/12/18,3.5,11.6,-3.1
1993/12/19,5.1,7.3,2.5
1993/12/20,9.5,15.6,6.1
1993/12/21,6.9,11.7,3.0
1993/12/22,5.0,7.9,-0.5
1993/12/23,6.8,13.1,2.3
1993/12/24,6.4,13.9,1.2
1993/12/25,8.1,16.0,2.7
1993/12/26,9.4,17.2,2.9
1993/12/27,8.2,13.6,3.8
1993/12/28,6.9,15.1,0.4
1993/12/29,5.7,14.6,0.0
1993/12/30,8.7,17.1,1.1
1993/12/31,10.3,14.4,7.0
1994/1/1,5.3,12.9,-1.0
1994/1/2,6.9,15.1,1.1
1994/1/3,6.1,9.1,3.9
1994/1/4,8.4,17.3,2.3
1994/1/5,7.3,14.1,1.5
1994/1/6,10.4,15.9,5.3
1994/1/7,8.3,13.4,2.3
1994/1/8,5.5,8.3,1.5
1994/1/9,7.4,15.7,0.8
1994/1/10,9.2,16.1,2.8
1994/1/11,9.9,16.9,3.3
1994/1/12,8.6,14.7,2.7
1994/1/13,6.3,8.4,2.5
1994/1/14,5.2,12.8,0.7
1994/1/15,4.7,12.7,-1.1
1994/1/16,7.8,15.4,0.5
1994/1/17,13.1,16.9,9.2
1994/1/18,9.6,14.1,3.7
1994/1/19,2.8,8.7,-1.6
1994/1/20,3.0,10.1,-3.1
1994/1/21,3.7,7.8,-1.2
1994/1/22,3.9,10.0,-2.2
1994/1/23,4.2,8.4,-1.3
1994/1/24,1.7,8.8,-5.0
1994/1/25,6.2,14.9,-0.4
1994/1/26,8.6,17.2,1.2
1994/1/27,8.5,13.2,2.6
1994/1/28,6.3,14.6,1.0
1994/1/29,4.2,10.4,-1.1
1994/1/30,3.3,7.9,-2.1
1994/1/31,6.0,12.6,-1.0
1994/2/1,10.9,17.3,6.4
1994/2/2,6.8,11.0,2.6
1994/2/3,6.2,11.5,0.1
1994/2/4,5.4,10.9,-1.5
1994/2/5,10.5,16.5,5.6
1994/2/6,9.7,14.2,5.4
1994/2/7,10.8,17.8,4.9
1994/2/8,7.6,15.6,1.6
1994/2/9,6.7,10.7,2.4
1994/2/10,5.4,11.6,1.4
1994/2/11,3.1,8.3,-0.5
1994/2/12,6.3,10.7,0.8
1994/2/13,5.8,13.6,-1.6
1994/2/14,7.8,15.4,-1.3
1994/2/15,6.2,8.7,2.7
1994/2/16,6.3,13.4,0.6
1994/2/17,6.5,13.6,0.6
1994/2/18,7.5,15.8,-0.3
1994/2/19,11.1,16.3,6.7
1994/2/20,12.0,13.6,10.9
1994/2/21,9.7,12.5,5.6
1994/2/22,8.3,16.3,1.6
1994/2/23,9.3,14.6,5.1
1994/2/24,6.1,10.6,4.3
1994/2/25,6.2,10.0,1.8
1994/2/26,5.4,11.3,-0.7
1994/2/27,7.4,13.3,0.4
1994/2/28,7.4,14.1,1.7
1994/3/1,8.8,13.6,5.0
1994/3/2,7.9,14.9,1.5
1994/3/3,4.5,10.8,0.2
1994/3/4,6.9,15.4,0.0
1994/3/5,9.8,19.1,2.0
1994/3/6,8.6,14.9,2.3
1994/3/7,10.9,14.8,6.8
1994/3/8,15.0,19.4,12.9
1994/3/9,13.7,19.5,10.0
1994/3/10,8.4,13.7,3.1
1994/3/11,6.1,12.7,-0.9
1994/3/12,8.0,11.8,5.5
1994/3/13,10.6,16.0,7.0
1994/3/14,7.6,12.2,4.6
1994/3/15,6.7,12.5,0.0
1994/3/16,6.3,10.8,0.5
1994/3/17,9.1,15.7,3.6
1994/3/18,10.0,16.4,3.6
1994/3/19,10.3,16.7,4.6
1994/3/20,11.7,18.1,6.4
1994/3/21,10.0,16.2,2.6
1994/3/22,9.2,15.5,5.7
1994/3/23,10.7,15.4,7.8
1994/3/24,8.5,15.6,2.5
1994/3/25,8.1,14.2,4.0
1994/3/26,7.4,12.0,2.0
1994/3/27,7.2,14.5,-1.1
1994/3/28,10.2,16.3,3.1
1994/3/29,13.8,19.1,10.3
1994/3/30,12.4,18.3,8.5
1994/3/31,12.7,20.0,6.7
