ダウンロードした時刻：2019/10/10 16:24:45

,鹿児島,鹿児島,鹿児島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/12/1,9.2,15.0,4.5
1981/12/2,4.9,9.8,1.0
1981/12/3,5.3,11.9,-0.2
1981/12/4,8.3,16.2,0.6
1981/12/5,10.1,16.6,5.2
1981/12/6,10.2,17.5,4.5
1981/12/7,9.9,13.5,7.5
1981/12/8,8.7,13.4,4.8
1981/12/9,9.4,15.2,5.0
1981/12/10,8.3,15.8,2.4
1981/12/11,9.0,16.3,2.5
1981/12/12,10.4,15.9,4.0
1981/12/13,8.6,13.6,4.1
1981/12/14,6.5,10.3,2.2
1981/12/15,6.2,10.2,1.5
1981/12/16,5.9,13.6,-1.0
1981/12/17,9.0,15.1,2.1
1981/12/18,12.1,17.5,6.4
1981/12/19,10.2,12.8,5.8
1981/12/20,8.0,12.1,4.7
1981/12/21,10.1,14.8,6.4
1981/12/22,10.6,16.5,6.8
1981/12/23,10.9,15.7,6.6
1981/12/24,7.6,12.7,2.2
1981/12/25,6.6,13.9,1.0
1981/12/26,8.2,14.7,1.5
1981/12/27,12.5,19.7,6.2
1981/12/28,12.1,20.0,7.1
1981/12/29,10.6,15.2,6.1
1981/12/30,9.1,15.4,5.5
1981/12/31,9.3,12.2,5.8
1982/1/1,7.3,11.1,2.8
1982/1/2,6.3,14.4,0.4
1982/1/3,11.9,17.4,3.0
1982/1/4,15.7,17.6,14.0
1982/1/5,11.4,15.2,5.1
1982/1/6,7.7,14.9,1.4
1982/1/7,7.1,11.9,2.6
1982/1/8,6.2,13.4,0.0
1982/1/9,9.4,16.1,3.2
1982/1/10,8.1,15.7,2.7
1982/1/11,9.4,17.1,0.8
1982/1/12,11.0,16.5,7.1
1982/1/13,7.0,11.6,2.9
1982/1/14,5.7,10.2,1.7
1982/1/15,5.3,12.1,-1.4
1982/1/16,4.0,7.5,0.9
1982/1/17,2.4,6.5,0.0
1982/1/18,3.9,10.1,-0.5
1982/1/19,2.7,6.4,0.2
1982/1/20,4.9,9.5,1.6
1982/1/21,5.6,11.6,-0.3
1982/1/22,8.2,13.0,1.8
1982/1/23,9.0,14.1,4.6
1982/1/24,7.2,9.7,2.8
1982/1/25,9.1,14.4,5.6
1982/1/26,7.4,12.3,3.0
1982/1/27,7.6,10.6,2.7
1982/1/28,3.4,6.3,1.7
1982/1/29,1.8,4.9,-1.3
1982/1/30,2.2,8.2,-3.9
1982/1/31,4.3,8.7,-1.9
1982/2/1,6.9,9.9,4.9
1982/2/2,4.7,10.4,-0.1
1982/2/3,6.6,13.6,-1.0
1982/2/4,10.3,16.1,6.8
1982/2/5,7.7,12.1,3.0
1982/2/6,6.0,8.3,4.5
1982/2/7,5.9,10.5,1.3
1982/2/8,6.5,10.8,3.5
1982/2/9,6.8,12.5,3.0
1982/2/10,6.9,10.7,3.2
1982/2/11,8.6,12.5,5.1
1982/2/12,7.8,9.8,4.5
1982/2/13,8.2,15.8,1.3
1982/2/14,7.3,13.3,1.8
1982/2/15,6.5,13.4,0.0
1982/2/16,8.0,10.4,2.6
1982/2/17,10.2,13.7,6.4
1982/2/18,9.5,16.7,2.0
1982/2/19,15.0,16.1,10.7
1982/2/20,15.0,17.6,12.7
1982/2/21,12.2,17.2,8.0
1982/2/22,10.3,15.9,4.0
1982/2/23,10.6,14.5,6.2
1982/2/24,8.5,11.3,4.9
1982/2/25,7.1,14.3,0.7
1982/2/26,8.0,14.6,1.3
1982/2/27,7.8,12.3,1.3
1982/2/28,12.3,15.1,8.8
1982/3/1,9.5,13.9,6.9
1982/3/2,8.6,13.3,4.1
1982/3/3,7.3,14.0,-0.1
1982/3/4,11.8,17.7,3.1
1982/3/5,17.0,21.4,12.5
1982/3/6,12.2,16.7,9.3
1982/3/7,8.7,12.9,6.7
1982/3/8,8.7,13.7,5.5
1982/3/9,10.2,16.7,6.3
1982/3/10,10.2,18.0,3.0
1982/3/11,12.5,19.7,3.2
1982/3/12,15.3,18.1,12.5
1982/3/13,16.0,22.4,10.8
1982/3/14,15.3,17.7,10.1
1982/3/15,17.3,20.5,14.9
1982/3/16,15.6,19.6,12.3
1982/3/17,13.7,17.6,8.9
1982/3/18,16.6,21.5,12.1
1982/3/19,14.4,15.5,12.8
1982/3/20,16.2,18.7,15.0
1982/3/21,13.8,18.3,9.3
1982/3/22,14.8,21.5,6.0
1982/3/23,19.4,24.1,15.1
1982/3/24,17.7,23.9,11.0
1982/3/25,11.7,17.5,7.5
1982/3/26,12.2,17.2,6.5
1982/3/27,11.8,13.8,10.8
1982/3/28,12.5,16.4,8.6
1982/3/29,13.7,21.0,4.9
1982/3/30,15.3,20.0,9.7
1982/3/31,15.1,21.8,10.9
