ダウンロードした時刻：2017/07/24 15:47:52

,宮崎,宮崎,宮崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2012/1/1,8.5,15.1,3.9
2012/1/2,7.6,12.2,1.6
2012/1/3,7.8,12.9,4.1
2012/1/4,5.4,9.2,-0.5
2012/1/5,3.7,10.1,-1.9
2012/1/6,5.4,11.1,0.7
2012/1/7,5.3,12.3,-1.0
2012/1/8,5.6,11.6,0.1
2012/1/9,9.4,15.1,4.8
2012/1/10,8.0,13.4,4.1
2012/1/11,6.8,11.4,1.5
2012/1/12,4.5,11.4,-1.6
2012/1/13,6.9,12.1,2.7
2012/1/14,6.7,12.8,0.4
2012/1/15,6.5,7.5,5.3
2012/1/16,5.7,7.3,4.8
2012/1/17,6.4,13.0,2.5
2012/1/18,8.4,14.7,2.1
2012/1/19,10.5,12.8,8.8
2012/1/20,11.2,14.0,8.8
2012/1/21,10.2,14.9,6.4
2012/1/22,9.5,13.8,6.4
2012/1/23,6.5,10.7,2.2
2012/1/24,4.1,9.1,-1.0
2012/1/25,4.0,9.1,-0.9
2012/1/26,2.1,8.3,-3.9
2012/1/27,5.3,12.0,-0.4
2012/1/28,7.5,10.9,4.8
2012/1/29,8.1,13.9,3.6
2012/1/30,6.1,12.7,0.7
2012/1/31,4.9,10.6,-0.4
2012/2/1,7.3,14.6,0.6
2012/2/2,1.9,6.2,-2.6
2012/2/3,1.6,8.3,-4.6
2012/2/4,5.3,13.7,-1.4
2012/2/5,5.9,9.2,1.1
2012/2/6,10.2,12.3,7.9
2012/2/7,10.9,17.0,3.5
2012/2/8,3.3,7.3,1.2
2012/2/9,4.3,9.8,0.1
2012/2/10,5.3,9.4,0.4
2012/2/11,6.0,10.9,2.4
2012/2/12,6.0,11.4,0.0
2012/2/13,9.3,12.5,6.4
2012/2/14,12.3,14.9,10.8
2012/2/15,10.7,12.4,9.0
2012/2/16,9.2,13.3,5.6
2012/2/17,5.8,9.8,2.0
2012/2/18,3.6,8.6,-0.2
2012/2/19,4.4,10.0,0.5
2012/2/20,5.9,12.1,0.3
2012/2/21,7.7,11.6,2.4
2012/2/22,10.2,12.2,8.2
2012/2/23,15.7,20.1,11.1
2012/2/24,11.2,13.8,8.2
2012/2/25,11.2,15.3,8.9
2012/2/26,8.0,11.1,5.3
2012/2/27,7.3,12.1,1.3
2012/2/28,9.2,12.7,5.7
2012/2/29,12.2,14.3,9.5
2012/3/1,12.2,14.0,10.3
2012/3/2,14.3,15.9,12.2
2012/3/3,12.5,15.2,10.8
2012/3/4,11.6,12.9,9.7
2012/3/5,16.6,23.3,12.2
2012/3/6,16.3,20.1,12.2
2012/3/7,10.3,12.3,8.6
2012/3/8,9.1,11.5,7.5
2012/3/9,9.6,11.4,7.9
2012/3/10,10.9,15.8,5.8
2012/3/11,8.6,14.8,3.4
2012/3/12,6.5,13.2,1.2
2012/3/13,7.3,12.7,2.3
2012/3/14,8.5,14.8,2.2
2012/3/15,10.1,17.9,2.2
2012/3/16,10.7,13.0,8.1
2012/3/17,16.4,21.8,12.9
2012/3/18,15.3,19.4,11.3
2012/3/19,12.9,17.0,8.2
2012/3/20,11.2,14.5,8.5
2012/3/21,10.9,16.0,4.5
2012/3/22,13.7,20.0,5.3
2012/3/23,16.3,20.7,12.7
2012/3/24,11.5,15.9,7.9
2012/3/25,9.8,14.4,4.7
2012/3/26,8.7,15.3,2.8
2012/3/27,11.2,18.1,3.7
2012/3/28,14.4,22.5,7.4
2012/3/29,12.8,18.5,6.1
2012/3/30,14.8,21.7,7.8
2012/3/31,13.5,17.9,9.4
2012/4/1,12.3,18.4,8.4
2012/4/2,13.1,18.6,5.5
2012/4/3,13.7,20.0,9.0
2012/4/4,12.2,19.1,7.0
2012/4/5,15.5,22.0,10.3
2012/4/6,13.8,19.3,7.9
2012/4/7,12.5,18.8,7.4
2012/4/8,12.9,19.4,4.3
2012/4/9,16.3,23.1,9.1
2012/4/10,16.6,20.1,11.2
2012/4/11,18.2,23.5,15.4
2012/4/12,18.3,22.9,13.7
2012/4/13,13.3,16.2,11.2
2012/4/14,15.2,20.9,11.8
2012/4/15,15.3,19.8,10.3
2012/4/16,16.4,18.7,14.5
2012/4/17,16.9,21.0,12.1
2012/4/18,17.5,21.8,12.3
2012/4/19,17.4,21.1,13.3
2012/4/20,18.3,22.6,15.5
2012/4/21,18.4,21.7,15.8
2012/4/22,20.3,25.1,16.0
2012/4/23,18.3,25.8,13.6
2012/4/24,18.8,23.5,12.5
2012/4/25,17.3,21.4,13.5
2012/4/26,19.2,23.6,13.3
2012/4/27,16.2,20.7,11.4
2012/4/28,17.6,23.0,12.0
2012/4/29,17.7,22.8,11.7
2012/4/30,17.3,18.8,16.0
2012/5/1,19.4,21.2,17.5
