ダウンロードした時刻：2017/07/24 15:47:53

,屋久島,屋久島,屋久島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/1/1,17.3,21.5,13.3
1991/1/2,13.5,18.5,11.1
1991/1/3,10.6,11.9,8.2
1991/1/4,9.4,14.4,8.0
1991/1/5,8.3,9.5,6.9
1991/1/6,9.8,12.3,6.7
1991/1/7,10.9,13.6,8.9
1991/1/8,10.3,14.1,6.9
1991/1/9,8.7,11.1,6.1
1991/1/10,11.9,16.0,7.6
1991/1/11,11.4,12.8,10.0
1991/1/12,10.2,12.4,7.1
1991/1/13,9.4,11.2,7.3
1991/1/14,8.8,10.1,7.1
1991/1/15,8.5,10.4,6.7
1991/1/16,10.7,14.3,6.2
1991/1/17,12.8,16.4,10.1
1991/1/18,8.7,12.1,5.3
1991/1/19,12.8,15.3,5.7
1991/1/20,15.5,18.2,13.6
1991/1/21,18.9,25.0,16.8
1991/1/22,15.9,18.6,13.5
1991/1/23,13.4,16.2,11.4
1991/1/24,14.7,16.6,12.6
1991/1/25,13.4,15.5,12.3
1991/1/26,10.8,12.6,9.7
1991/1/27,10.5,13.1,8.9
1991/1/28,11.3,14.3,7.9
1991/1/29,11.4,12.4,8.9
1991/1/30,11.5,14.3,8.1
1991/1/31,9.9,11.5,8.6
1991/2/1,10.4,11.9,8.9
1991/2/2,9.9,11.4,8.4
1991/2/3,10.9,13.8,7.7
1991/2/4,11.2,13.9,9.3
1991/2/5,10.3,13.1,8.7
1991/2/6,10.6,13.0,8.3
1991/2/7,12.3,15.7,9.4
1991/2/8,13.3,16.9,10.7
1991/2/9,14.4,19.6,6.7
1991/2/10,17.4,21.1,15.7
1991/2/11,15.0,18.2,12.8
1991/2/12,12.2,14.6,7.8
1991/2/13,13.7,15.2,9.5
1991/2/14,16.8,18.8,14.0
1991/2/15,14.9,18.8,11.1
1991/2/16,12.0,13.7,11.1
1991/2/17,9.1,12.3,5.3
1991/2/18,9.9,13.9,5.5
1991/2/19,9.7,11.5,7.1
1991/2/20,7.1,9.7,5.5
1991/2/21,7.4,9.4,5.8
1991/2/22,8.6,12.9,5.0
1991/2/23,6.5,8.4,4.3
1991/2/24,6.2,9.0,3.8
1991/2/25,6.6,9.0,5.2
1991/2/26,7.9,11.3,4.6
1991/2/27,12.1,17.2,2.4
1991/2/28,17.7,20.4,15.6
1991/3/1,13.1,15.6,10.9
1991/3/2,12.1,15.3,10.1
1991/3/3,11.9,15.7,8.3
1991/3/4,14.9,17.1,10.8
1991/3/5,16.6,20.7,13.7
1991/3/6,15.5,19.1,12.7
1991/3/7,15.7,18.5,11.1
1991/3/8,21.4,25.9,18.1
1991/3/9,15.7,19.8,12.9
1991/3/10,15.7,19.1,11.7
1991/3/11,21.1,25.9,16.3
1991/3/12,14.0,16.4,12.3
1991/3/13,14.2,16.1,12.1
1991/3/14,13.4,16.8,9.8
1991/3/15,13.0,15.3,9.4
1991/3/16,12.9,15.2,10.8
1991/3/17,12.2,15.4,9.5
1991/3/18,11.9,15.9,8.6
1991/3/19,15.0,20.5,8.1
1991/3/20,18.8,22.6,16.2
1991/3/21,18.7,21.1,15.7
1991/3/22,19.3,22.6,17.3
1991/3/23,16.1,19.1,14.5
1991/3/24,16.1,19.5,12.4
1991/3/25,16.3,19.8,11.4
1991/3/26,19.6,23.8,16.7
1991/3/27,19.5,21.8,17.2
1991/3/28,16.8,19.7,14.2
1991/3/29,17.0,19.2,14.7
1991/3/30,16.2,19.2,12.9
1991/3/31,12.6,15.1,10.3
1991/4/1,11.1,12.1,9.8
1991/4/2,12.2,15.3,10.8
1991/4/3,13.9,18.9,10.4
1991/4/4,15.7,19.9,9.2
1991/4/5,18.4,19.7,16.6
1991/4/6,19.9,23.4,16.1
1991/4/7,19.7,22.3,15.7
1991/4/8,18.8,22.1,15.7
1991/4/9,18.4,21.5,16.3
1991/4/10,18.7,20.6,16.1
1991/4/11,19.7,22.7,17.7
1991/4/12,20.1,21.0,18.9
1991/4/13,21.9,26.2,19.2
1991/4/14,18.9,21.5,16.6
1991/4/15,18.3,20.9,15.3
1991/4/16,17.9,20.6,15.4
1991/4/17,22.9,27.3,19.7
1991/4/18,21.3,24.4,17.6
1991/4/19,16.8,19.6,15.3
1991/4/20,17.9,21.8,14.0
1991/4/21,16.9,20.6,14.7
1991/4/22,17.8,22.3,11.2
1991/4/23,19.5,21.6,17.6
1991/4/24,19.0,20.1,17.9
1991/4/25,19.8,22.4,17.3
1991/4/26,18.8,21.3,16.4
1991/4/27,18.1,19.0,17.1
1991/4/28,19.5,20.6,18.4
1991/4/29,19.7,22.0,16.9
1991/4/30,16.9,20.4,12.7
1991/5/1,15.8,20.2,11.3
