ダウンロードした時刻：2019/10/10 16:26:46

,種子島,種子島,種子島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2004/12/1,14.9,19.7,9.5
2004/12/2,18.0,21.4,14.9
2004/12/3,20.3,22.3,17.9
2004/12/4,21.6,24.8,18.5
2004/12/5,16.3,20.5,14.1
2004/12/6,13.7,17.3,9.4
2004/12/7,15.9,18.9,9.8
2004/12/8,15.4,18.6,9.8
2004/12/9,17.0,19.3,14.9
2004/12/10,18.0,21.1,14.5
2004/12/11,15.9,20.2,11.5
2004/12/12,17.1,21.8,14.3
2004/12/13,15.1,18.5,9.8
2004/12/14,13.6,18.2,9.8
2004/12/15,15.1,20.1,10.7
2004/12/16,17.4,19.9,10.3
2004/12/17,16.7,19.7,14.5
2004/12/18,17.0,19.7,13.3
2004/12/19,16.5,19.4,13.4
2004/12/20,17.3,21.0,14.7
2004/12/21,14.7,17.8,10.6
2004/12/22,14.8,15.8,14.1
2004/12/23,14.4,15.3,13.7
2004/12/24,13.4,14.3,11.5
2004/12/25,13.7,15.2,12.4
2004/12/26,13.1,14.5,12.2
2004/12/27,12.5,13.3,11.3
2004/12/28,11.8,14.4,9.5
2004/12/29,10.2,12.1,8.0
2004/12/30,10.8,13.6,9.1
2004/12/31,11.6,16.8,7.5
2005/1/1,8.0,9.9,6.8
2005/1/2,8.8,12.0,4.0
2005/1/3,13.0,17.6,4.6
2005/1/4,13.8,18.3,9.2
2005/1/5,9.7,11.8,7.0
2005/1/6,12.9,14.7,10.0
2005/1/7,13.0,14.5,10.7
2005/1/8,10.3,11.3,9.2
2005/1/9,8.9,10.7,6.7
2005/1/10,8.2,9.8,6.6
2005/1/11,10.7,12.7,8.2
2005/1/12,9.9,12.2,8.9
2005/1/13,9.7,11.1,8.0
2005/1/14,10.3,11.8,8.2
2005/1/15,10.8,12.5,8.7
2005/1/16,8.8,10.4,6.7
2005/1/17,10.2,11.8,8.9
2005/1/18,11.7,13.9,9.7
2005/1/19,11.6,15.6,8.8
2005/1/20,9.6,10.9,8.7
2005/1/21,7.4,9.2,3.0
2005/1/22,9.9,14.4,2.6
2005/1/23,13.0,17.5,8.8
2005/1/24,13.9,17.0,8.7
2005/1/25,14.3,17.5,13.7
2005/1/26,12.9,14.5,10.5
2005/1/27,12.5,13.3,11.3
2005/1/28,13.2,14.4,11.7
2005/1/29,15.2,17.4,12.1
2005/1/30,10.8,14.9,9.0
2005/1/31,9.0,10.9,7.8
2005/2/1,7.4,10.7,4.1
2005/2/2,6.7,9.2,4.4
2005/2/3,8.6,9.8,6.8
2005/2/4,11.0,13.3,7.9
2005/2/5,12.4,15.9,7.6
2005/2/6,11.6,14.2,6.3
2005/2/7,14.2,17.0,12.3
2005/2/8,16.1,17.6,13.8
2005/2/9,14.8,17.0,11.4
2005/2/10,11.8,16.9,9.7
2005/2/11,9.7,11.3,8.6
2005/2/12,9.0,11.7,4.6
2005/2/13,10.0,11.5,6.3
2005/2/14,12.6,17.0,5.5
2005/2/15,17.2,21.0,14.9
2005/2/16,19.0,21.0,15.9
2005/2/17,14.4,16.5,12.7
2005/2/18,15.3,16.8,12.9
2005/2/19,13.5,15.5,10.5
2005/2/20,7.5,10.7,5.5
2005/2/21,7.2,8.6,5.6
2005/2/22,9.5,12.9,7.0
2005/2/23,14.7,17.1,11.1
2005/2/24,15.2,20.1,11.7
2005/2/25,12.3,14.6,10.1
2005/2/26,7.9,10.7,6.0
2005/2/27,8.4,10.9,3.2
2005/2/28,11.5,13.1,9.9
2005/3/1,11.2,13.2,9.2
2005/3/2,11.9,15.2,5.1
2005/3/3,10.5,13.8,8.8
2005/3/4,9.4,11.0,6.3
2005/3/5,6.3,9.7,2.6
2005/3/6,7.0,9.4,3.3
2005/3/7,11.4,13.7,8.7
2005/3/8,14.7,16.8,12.6
2005/3/9,16.2,19.4,10.7
2005/3/10,17.5,19.6,15.0
2005/3/11,15.6,18.0,12.1
2005/3/12,8.0,12.3,6.1
2005/3/13,6.3,7.7,5.1
2005/3/14,8.3,10.5,5.7
2005/3/15,12.9,18.6,5.9
2005/3/16,17.0,19.6,14.3
2005/3/17,17.7,22.0,13.5
2005/3/18,12.4,14.8,10.4
2005/3/19,11.1,16.1,6.3
2005/3/20,12.1,16.2,5.9
2005/3/21,14.3,17.8,8.8
2005/3/22,17.9,20.8,15.5
2005/3/23,15.1,17.4,13.4
2005/3/24,11.9,16.5,8.1
2005/3/25,10.1,11.8,8.3
2005/3/26,13.9,16.3,11.1
2005/3/27,15.5,18.1,11.5
2005/3/28,17.9,19.7,16.1
2005/3/29,14.5,16.3,12.7
2005/3/30,13.5,16.2,10.7
2005/3/31,16.9,19.9,10.8
