ダウンロードした時刻：2019/10/10 16:23:35

,福江,福江,福江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2017/12/1,8.0,11.9,4.6
2017/12/2,8.5,13.5,3.6
2017/12/3,10.8,15.1,4.7
2017/12/4,12.0,16.1,6.8
2017/12/5,6.0,8.6,2.9
2017/12/6,8.0,11.9,4.9
2017/12/7,10.4,16.9,4.1
2017/12/8,7.5,11.6,6.2
2017/12/9,7.5,10.3,6.0
2017/12/10,11.6,15.6,6.7
2017/12/11,7.9,11.7,4.8
2017/12/12,4.9,6.0,4.0
2017/12/13,4.9,7.1,2.7
2017/12/14,6.6,9.6,2.2
2017/12/15,9.3,13.3,6.1
2017/12/16,7.7,10.7,4.1
2017/12/17,4.9,6.5,3.7
2017/12/18,6.6,9.0,5.1
2017/12/19,8.6,11.2,5.9
2017/12/20,6.4,9.1,4.9
2017/12/21,6.7,11.6,1.8
2017/12/22,7.7,13.8,3.4
2017/12/23,9.5,16.0,3.8
2017/12/24,12.0,17.9,6.6
2017/12/25,8.0,9.8,6.2
2017/12/26,8.3,10.5,6.1
2017/12/27,5.1,7.5,2.4
2017/12/28,6.5,11.0,2.5
2017/12/29,9.3,11.8,3.9
2017/12/30,9.4,14.2,4.3
2017/12/31,8.8,10.4,7.9
2018/1/1,7.3,9.3,5.6
2018/1/2,8.4,11.9,3.2
2018/1/3,8.3,10.7,4.0
2018/1/4,7.7,10.1,5.8
2018/1/5,6.8,8.5,5.0
2018/1/6,7.0,10.4,3.9
2018/1/7,9.6,12.8,3.2
2018/1/8,12.4,15.7,8.5
2018/1/9,6.2,8.7,4.3
2018/1/10,4.8,7.4,1.0
2018/1/11,0.8,3.0,-0.3
2018/1/12,1.2,2.6,-0.8
2018/1/13,4.1,5.7,1.6
2018/1/14,5.0,9.8,1.7
2018/1/15,8.1,15.3,1.8
2018/1/16,13.7,19.2,5.6
2018/1/17,12.0,16.1,7.1
2018/1/18,10.0,12.7,5.3
2018/1/19,8.0,13.0,4.1
2018/1/20,7.5,13.2,2.8
2018/1/21,8.2,13.2,2.8
2018/1/22,8.1,10.9,5.6
2018/1/23,5.8,10.8,3.1
2018/1/24,2.0,3.3,0.8
2018/1/25,1.8,3.4,0.7
2018/1/26,1.7,3.0,0.2
2018/1/27,3.6,7.7,0.9
2018/1/28,4.9,6.7,2.4
2018/1/29,3.7,5.7,2.3
2018/1/30,3.1,5.4,1.4
2018/1/31,4.8,8.2,1.0
2018/2/1,5.7,7.1,4.2
2018/2/2,5.9,9.7,1.9
2018/2/3,4.0,6.2,1.8
2018/2/4,0.8,2.0,-0.2
2018/2/5,0.8,3.4,-0.7
2018/2/6,0.4,1.7,-0.8
2018/2/7,1.5,4.2,-0.5
2018/2/8,3.3,7.8,-0.2
2018/2/9,10.2,14.5,4.3
2018/2/10,8.3,10.2,6.1
2018/2/11,3.3,6.1,1.2
2018/2/12,3.4,7.0,0.7
2018/2/13,3.3,7.9,-1.7
2018/2/14,7.8,14.3,-1.9
2018/2/15,9.5,12.2,5.9
2018/2/16,7.9,10.5,4.9
2018/2/17,6.8,10.3,0.6
2018/2/18,6.6,13.0,-0.3
2018/2/19,8.1,9.6,5.7
2018/2/20,9.9,14.7,5.6
2018/2/21,8.1,12.2,4.7
2018/2/22,7.0,12.5,2.4
2018/2/23,6.6,13.3,1.3
2018/2/24,8.5,15.0,1.0
2018/2/25,8.6,10.2,6.6
2018/2/26,8.4,14.2,3.8
2018/2/27,8.1,15.2,1.3
2018/2/28,12.4,17.0,4.4
2018/3/1,10.1,14.4,6.3
2018/3/2,7.9,12.6,4.3
2018/3/3,9.2,13.2,3.9
2018/3/4,16.1,19.8,9.5
2018/3/5,14.0,20.4,9.5
2018/3/6,10.2,13.2,8.5
2018/3/7,12.0,15.1,8.3
2018/3/8,11.3,15.8,8.5
2018/3/9,8.4,11.4,6.5
2018/3/10,8.7,13.5,4.3
2018/3/11,8.6,14.9,2.3
2018/3/12,9.9,16.3,3.9
2018/3/13,12.9,19.4,6.2
2018/3/14,15.1,21.5,7.7
2018/3/15,17.3,20.1,13.7
2018/3/16,11.1,17.5,7.5
2018/3/17,10.0,15.6,5.9
2018/3/18,14.6,18.6,5.8
2018/3/19,16.2,18.1,12.0
2018/3/20,10.5,12.0,8.6
2018/3/21,8.7,10.3,7.0
2018/3/22,7.2,10.9,3.0
2018/3/23,8.2,14.9,2.1
2018/3/24,10.5,16.5,3.9
2018/3/25,12.6,18.8,6.2
2018/3/26,13.4,18.8,8.3
2018/3/27,13.9,19.9,8.2
2018/3/28,14.2,19.9,8.2
2018/3/29,15.2,21.5,9.1
2018/3/30,15.9,21.6,10.7
2018/3/31,15.0,21.3,7.9
