É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 16:17:00

,âFòaìá,âFòaìá,âFòaìá
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1994/12/1,13.0,18.0,8.1
1994/12/2,14.4,20.5,9.3
1994/12/3,11.4,14.2,8.8
1994/12/4,9.4,12.1,7.2
1994/12/5,12.6,14.7,9.6
1994/12/6,9.7,15.5,5.1
1994/12/7,12.3,19.2,4.9
1994/12/8,13.0,18.7,6.3
1994/12/9,16.0,19.6,11.8
1994/12/10,13.1,16.5,10.5
1994/12/11,13.5,15.1,11.5
1994/12/12,14.0,18.7,9.4
1994/12/13,13.5,15.3,10.1
1994/12/14,8.4,11.0,6.6
1994/12/15,10.5,13.2,6.9
1994/12/16,5.8,7.8,4.0
1994/12/17,6.6,11.8,3.9
1994/12/18,7.3,11.3,3.1
1994/12/19,6.3,12.4,1.7
1994/12/20,7.6,12.4,4.3
1994/12/21,8.6,11.0,5.5
1994/12/22,7.6,14.1,2.2
1994/12/23,8.0,16.3,2.1
1994/12/24,9.5,13.4,3.9
1994/12/25,12.2,18.0,8.1
1994/12/26,10.1,13.3,7.0
1994/12/27,9.6,16.1,5.4
1994/12/28,8.8,13.6,4.7
1994/12/29,7.0,13.7,2.8
1994/12/30,8.1,15.1,2.8
1994/12/31,9.8,13.2,7.7
1995/1/1,7.2,11.9,3.4
1995/1/2,6.6,12.8,2.2
1995/1/3,7.5,10.8,2.7
1995/1/4,11.0,13.7,9.1
1995/1/5,8.0,10.0,5.7
1995/1/6,6.4,8.9,2.7
1995/1/7,11.0,14.1,7.1
1995/1/8,9.4,15.9,4.6
1995/1/9,11.3,18.0,5.0
1995/1/10,7.3,11.5,5.7
1995/1/11,6.3,8.4,5.3
1995/1/12,6.4,9.4,4.2
1995/1/13,6.3,8.3,1.4
1995/1/14,3.3,5.8,1.4
1995/1/15,5.0,8.3,0.7
1995/1/16,5.7,9.2,2.7
1995/1/17,6.2,9.4,2.9
1995/1/18,6.9,11.9,2.3
1995/1/19,9.1,12.3,5.1
1995/1/20,7.5,13.3,3.0
1995/1/21,8.0,16.2,1.3
1995/1/22,14.0,19.2,10.8
1995/1/23,12.5,14.7,9.6
1995/1/24,7.4,10.2,5.3
1995/1/25,6.5,9.6,3.3
1995/1/26,6.8,12.3,0.9
1995/1/27,5.5,10.1,1.0
1995/1/28,5.5,9.5,0.9
1995/1/29,5.3,8.6,3.5
1995/1/30,3.9,6.1,1.1
1995/1/31,3.9,7.9,-0.2
1995/2/1,2.8,8.5,-0.2
1995/2/2,4.2,9.5,-1.3
1995/2/3,4.4,11.4,-1.6
1995/2/4,5.3,12.5,1.5
1995/2/5,4.0,7.0,0.9
1995/2/6,3.1,7.9,-0.6
1995/2/7,7.6,11.7,1.8
1995/2/8,7.5,14.6,1.2
1995/2/9,9.1,13.7,6.5
1995/2/10,6.3,11.0,0.9
1995/2/11,5.8,12.9,-1.0
1995/2/12,9.4,12.9,4.7
1995/2/13,11.7,14.4,8.5
1995/2/14,9.4,13.5,4.4
1995/2/15,7.8,12.4,2.8
1995/2/16,6.9,10.0,4.9
1995/2/17,5.6,11.2,0.0
1995/2/18,5.8,12.0,-0.5
1995/2/19,7.2,12.8,2.3
1995/2/20,6.7,13.1,-0.2
1995/2/21,6.1,11.0,2.0
1995/2/22,5.3,11.2,-0.8
1995/2/23,6.4,13.5,0.4
1995/2/24,8.0,15.6,2.5
1995/2/25,8.0,13.0,3.5
1995/2/26,8.6,12.8,4.2
1995/2/27,7.7,13.0,3.0
1995/2/28,7.6,13.0,1.4
1995/3/1,9.0,12.4,6.1
1995/3/2,7.8,13.4,4.0
1995/3/3,6.4,9.9,2.6
1995/3/4,5.1,7.9,1.9
1995/3/5,4.3,10.9,-1.2
1995/3/6,7.5,14.7,1.7
1995/3/7,8.9,16.1,2.6
1995/3/8,9.6,17.7,2.8
1995/3/9,11.0,16.8,2.9
1995/3/10,13.6,16.8,10.1
1995/3/11,10.8,13.6,8.6
1995/3/12,9.3,14.1,4.9
1995/3/13,8.8,14.1,5.0
1995/3/14,8.4,13.9,2.2
1995/3/15,9.9,15.6,2.4
1995/3/16,15.3,18.0,12.3
1995/3/17,12.9,16.4,8.9
1995/3/18,8.8,12.4,5.3
1995/3/19,6.5,11.6,2.0
1995/3/20,8.5,16.2,0.5
1995/3/21,11.8,17.6,6.1
1995/3/22,13.3,18.5,7.6
1995/3/23,14.6,20.9,8.5
1995/3/24,14.6,17.1,13.4
1995/3/25,12.4,14.1,9.2
1995/3/26,10.2,14.9,5.2
1995/3/27,9.6,16.5,2.8
1995/3/28,11.2,15.5,6.5
1995/3/29,11.1,14.2,6.9
1995/3/30,14.9,19.3,11.2
1995/3/31,14.4,18.1,10.4
