ダウンロードした時刻：2019/10/10 16:18:51

,徳島,徳島,徳島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2018/12/1,13.0,17.8,8.4
2018/12/2,13.5,17.0,8.2
2018/12/3,16.4,19.1,14.4
2018/12/4,19.0,26.7,15.3
2018/12/5,16.2,19.5,13.1
2018/12/6,13.5,14.8,12.4
2018/12/7,11.7,14.0,7.3
2018/12/8,6.7,9.1,4.8
2018/12/9,5.9,8.4,4.7
2018/12/10,6.6,10.0,4.3
2018/12/11,7.4,11.4,2.8
2018/12/12,9.9,13.8,7.1
2018/12/13,8.6,12.4,5.5
2018/12/14,7.3,9.8,5.4
2018/12/15,6.5,10.4,3.6
2018/12/16,7.0,12.7,1.1
2018/12/17,9.6,14.2,7.5
2018/12/18,9.2,12.3,6.2
2018/12/19,9.9,15.1,4.2
2018/12/20,10.9,14.6,7.0
2018/12/21,12.2,14.9,8.2
2018/12/22,12.7,14.1,11.9
2018/12/23,13.3,16.2,10.1
2018/12/24,9.4,11.9,7.2
2018/12/25,8.2,11.7,4.5
2018/12/26,8.9,10.2,7.0
2018/12/27,9.0,11.8,6.3
2018/12/28,4.9,7.2,2.8
2018/12/29,4.9,8.3,2.5
2018/12/30,5.4,8.5,3.2
2018/12/31,5.5,8.9,3.6
2019/1/1,6.3,9.8,0.4
2019/1/2,7.1,10.1,5.4
2019/1/3,7.1,11.1,4.4
2019/1/4,7.4,10.7,3.3
2019/1/5,9.2,11.0,7.2
2019/1/6,6.7,9.1,4.5
2019/1/7,6.7,11.6,3.4
2019/1/8,8.3,13.1,3.5
2019/1/9,6.1,8.4,3.3
2019/1/10,5.3,9.5,0.4
2019/1/11,9.6,12.9,7.0
2019/1/12,6.4,7.1,5.4
2019/1/13,7.3,11.5,3.1
2019/1/14,6.9,12.1,2.6
2019/1/15,7.0,12.1,2.8
2019/1/16,7.8,10.7,4.9
2019/1/17,7.4,11.3,3.9
2019/1/18,8.1,12.1,5.1
2019/1/19,7.3,12.5,2.1
2019/1/20,8.9,14.4,5.9
2019/1/21,7.7,11.0,5.0
2019/1/22,8.1,12.3,3.4
2019/1/23,8.9,14.8,3.0
2019/1/24,7.5,9.7,4.8
2019/1/25,6.7,10.5,2.2
2019/1/26,4.1,7.8,2.5
2019/1/27,5.5,10.0,1.9
2019/1/28,5.9,12.4,0.7
2019/1/29,6.3,9.4,3.3
2019/1/30,5.9,10.0,0.8
2019/1/31,6.7,9.2,4.8
2019/2/1,5.5,8.5,3.4
2019/2/2,6.5,11.9,2.1
2019/2/3,9.1,15.5,2.1
2019/2/4,12.1,16.2,7.8
2019/2/5,8.6,12.1,4.8
2019/2/6,8.1,11.1,6.3
2019/2/7,9.9,14.6,5.5
2019/2/8,7.7,10.7,5.1
2019/2/9,6.2,10.1,4.5
2019/2/10,5.0,7.4,3.5
2019/2/11,4.6,7.7,1.4
2019/2/12,6.6,10.2,3.5
2019/2/13,7.7,11.5,4.4
2019/2/14,5.9,8.2,4.3
2019/2/15,5.0,7.2,2.8
2019/2/16,8.0,11.9,5.8
2019/2/17,7.1,9.9,5.1
2019/2/18,7.4,11.8,1.8
2019/2/19,11.8,15.2,7.0
2019/2/20,13.8,17.6,9.2
2019/2/21,8.7,11.3,6.7
2019/2/22,8.5,11.6,5.1
2019/2/23,9.8,13.9,7.5
2019/2/24,8.1,12.9,3.9
2019/2/25,10.1,15.5,3.7
2019/2/26,10.5,14.2,7.5
2019/2/27,8.3,10.4,5.1
2019/2/28,8.9,10.8,6.9
2019/3/1,11.0,15.1,7.4
2019/3/2,9.9,13.2,5.7
2019/3/3,9.2,11.0,7.7
2019/3/4,9.7,13.7,7.8
2019/3/5,10.6,15.7,6.1
2019/3/6,10.4,14.0,8.5
2019/3/7,9.9,13.2,6.3
2019/3/8,8.2,12.6,4.9
2019/3/9,9.5,16.6,1.8
2019/3/10,10.9,13.3,8.8
2019/3/11,13.3,16.9,9.8
2019/3/12,12.1,17.0,6.5
2019/3/13,8.7,11.6,4.8
2019/3/14,9.1,14.1,4.0
2019/3/15,8.3,14.4,3.1
2019/3/16,8.9,13.5,4.7
2019/3/17,8.1,12.0,4.5
2019/3/18,9.0,14.3,2.2
2019/3/19,9.9,12.5,8.6
2019/3/20,13.3,19.7,7.2
2019/3/21,18.0,23.1,14.9
2019/3/22,12.7,17.9,8.1
2019/3/23,7.7,12.0,3.7
2019/3/24,8.2,13.6,3.1
2019/3/25,9.1,13.3,3.6
2019/3/26,13.6,18.8,8.8
2019/3/27,13.8,20.1,7.7
2019/3/28,14.4,18.3,10.0
2019/3/29,12.0,16.1,8.6
2019/3/30,13.3,17.7,10.1
2019/3/31,11.6,14.6,7.7
