ダウンロードした時刻：2017/07/19 16:59:32

,伊那,伊那,伊那,伊那,伊那,伊那
年月日,平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃)
,,平年値(℃),,平年値(℃),,平年値(℃)
2017/1/1,1.2,-0.4,10.7,5.5,-4.6,-6.0
2017/1/2,1.2,-0.5,10.2,5.4,-4.5,-6.1
2017/1/3,2.1,-0.6,9.9,5.3,-3.9,-6.2
2017/1/4,2.2,-0.7,11.1,5.2,-4.5,-6.3
2017/1/5,0.8,-0.7,6.0,5.1,-3.0,-6.4
2017/1/6,-0.2,-0.8,5.4,5.1,-4.6,-6.5
2017/1/7,-0.8,-0.9,9.1,5.0,-6.5,-6.5
2017/1/8,-0.5,-1.0,2.1,4.9,-4.4,-6.6
2017/1/9,3.2,-1.0,9.8,4.8,-1.5,-6.7
2017/1/10,2.5,-1.0,8.8,4.8,-3.8,-6.7
2017/1/11,1.2,-1.1,6.8,4.7,-4.2,-6.7
2017/1/12,0.9,-1.1,5.6,4.7,-1.7,-6.7
2017/1/13,-0.1,-1.1,3.3,4.6,-2.2,-6.7
2017/1/14,-2.9,-1.1,-0.5,4.6,-5.6,-6.7
2017/1/15,-4.7,-1.1,-1.2,4.5,-7.3,-6.7
2017/1/16,-2.2,-1.1,2.2,4.5,-5.5,-6.7
2017/1/17,-1.7,-1.1,5.5,4.4,-8.5,-6.7
2017/1/18,-0.2,-1.1,7.7,4.4,-7.0,-6.7
2017/1/19,1.2,-1.2,5.7,4.4,-3.3,-6.7
2017/1/20,-0.7,-1.2,3.9,4.3,-5.0,-6.8
2017/1/21,0.3,-1.2,6.1,4.3,-2.7,-6.8
2017/1/22,0.3,-1.3,5.9,4.2,-6.2,-6.9
2017/1/23,-2.4,-1.3,1.3,4.2,-6.9,-7.0
2017/1/24,-3.0,-1.4,1.4,4.2,-7.7,-7.1
2017/1/25,-3.2,-1.4,4.6,4.2,-10.9,-7.2
2017/1/26,-3.1,-1.4,6.9,4.2,-9.7,-7.3
2017/1/27,2.0,-1.4,9.9,4.2,-7.9,-7.3
2017/1/28,1.3,-1.4,11.1,4.3,-5.4,-7.4
2017/1/29,2.8,-1.4,12.1,4.3,-5.4,-7.4
2017/1/30,5.6,-1.4,10.6,4.4,0.9,-7.4
2017/1/31,0.1,-1.4,4.5,4.4,-3.4,-7.4
2017/2/1,0.9,-1.3,9.2,4.5,-5.1,-7.4
2017/2/2,0.1,-1.3,3.9,4.6,-3.4,-7.3
2017/2/3,2.6,-1.2,8.7,4.8,-2.6,-7.2
2017/2/4,0.9,-1.1,10.0,4.9,-5.8,-7.2
2017/2/5,-1.1,-0.9,1.1,5.1,-4.3,-7.1
2017/2/6,3.0,-0.8,6.9,5.2,-0.2,-7.0
2017/2/7,-0.2,-0.7,3.1,5.4,-4.7,-6.8
2017/2/8,-0.8,-0.6,6.1,5.5,-6.8,-6.7
