地点名,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
札幌,5/7,5/4,5/11,5/4,5/9,-,5/5,5/5,5/4,4/30,5/2,5/4,5/13,5/3,5/1,4/26,5/5,5/3,5/9,4/29,5/5,5/11,5/4,5/7,5/11,5/10,5/9,5/14,5/5,5/4,4/28,5/12,5/3,5/5,5/6,5/3,4/29,4/25,5/2,5/4,5/6,5/6,5/1,5/5,5/1,4/23,5/3,5/8,4/29,4/22,5/1,5/5,5/10,5/8,5/4,4/21,5/1,5/7,5/7,5/1,5/13,4/29,4/22,4/25
室蘭,5/10,5/7,5/18,5/8,5/8,5/12,4/27,5/8,5/5,5/8,5/6,5/7,5/16,5/16,5/4,5/5,5/7,5/14,5/12,5/4,5/8,5/11,5/8,5/10,5/12,5/12,5/12,5/15,5/6,5/10,4/29,5/25,5/10,5/8,5/9,5/6,4/30,4/26,5/2,5/6,5/4,5/6,5/5,5/13,5/2,4/29,5/8,5/15,5/9,4/23,5/2,5/4,5/10,5/12,5/7,4/25,5/3,5/14,5/6,5/9,5/16,4/29,4/28,4/25
江差,5/8,5/1,5/3,5/3,5/4,5/5,4/27,5/2,4/28,4/29,4/27,5/5,5/13,5/4,5/1,4/27,5/5,5/7,5/10,4/29,5/1,5/10,4/30,5/5,5/8,5/8,5/4,5/12,5/3,5/2,4/26,5/19,5/4,5/6,5/5,5/4,4/23,4/23,4/30,4/28,5/1,-,4/29,5/5,4/30,4/22,4/28,5/5,4/29,4/18,4/29,4/29,5/3,5/7,5/1,-,-,-,-,-,-,-,-,-
函館,5/2,5/3,5/8,5/3,5/8,5/4,4/26,5/4,4/30,5/3,5/3,5/5,5/14,5/7,5/3,5/2,5/5,5/6,5/11,4/29,5/2,5/9,5/1,5/9,5/8,5/8,5/7,5/12,5/3,5/7,4/27,5/23,5/4,5/5,5/4,5/2,4/23,4/22,4/28,4/28,4/27,4/30,4/30,5/4,4/27,4/22,4/27,5/3,4/28,4/18,4/28,4/26,5/1,5/7,4/30,4/22,4/25,5/5,5/2,5/2,5/8,4/28,4/21,4/24
新庄,-,-,-,-,-,4/23,4/15,4/23,4/22,4/23,4/20,4/17,5/6,4/22,4/23,4/21,4/22,4/29,4/23,4/13,4/20,4/28,4/22,4/25,4/26,4/28,4/22,4/29,4/27,4/23,4/18,5/6,4/25,4/26,4/21,4/26,4/14,4/13,4/17,4/19,4/21,4/20,4/20,4/27,4/24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
青森,-,-,-,4/26,5/1,4/29,4/19,4/27,4/24,4/25,4/21,4/29,5/3,4/28,4/27,4/24,4/29,5/4,4/28,4/24,4/22,5/1,4/26,4/25,5/2,5/1,4/30,5/4,4/27,4/27,4/21,5/11,4/29,5/1,4/25,4/28,4/15,4/15,4/24,4/22,4/23,4/22,4/24,4/30,4/23,4/16,4/26,4/29,4/23,4/14,4/20,4/18,4/29,5/1,4/25,4/17,4/18,4/28,4/25,4/29,4/29,4/22,4/14,4/17
八戸,4/26,4/24,4/23,4/24,4/27,4/24,4/21,4/27,4/22,4/23,4/20,4/27,5/6,4/26,4/26,4/22,4/26,4/30,4/22,4/24,4/20,4/29,4/25,4/25,4/28,4/28,5/1,4/29,4/25,4/26,4/20,5/18,4/27,4/29,4/23,4/27,4/15,4/12,4/19,4/21,4/21,4/23,4/23,4/28,4/22,4/14,4/22,4/25,4/19,4/13,4/22,4/16,4/27,4/29,4/26,-,-,-,-,-,-,-,-,-
秋田,4/22,4/17,4/16,4/21,4/24,4/22,4/9,4/21,4/19,4/20,4/17,4/18,4/30,4/21,4/22,4/17,4/25,4/27,4/22,4/17,4/19,4/26,4/21,4/23,4/22,4/26,4/18,4/23,4/22,4/20,4/15,4/30,4/19,4/20,4/17,4/23,4/10,4/10,4/16,4/17,4/19,4/19,4/18,4/25,4/17,4/13,4/17,4/20,4/12,4/7,4/16,4/12,4/24,4/21,4/18,4/10,4/14,4/24,4/23,4/24,4/23,4/20,4/11,4/14
盛岡,4/27,4/19,4/18,4/24,4/27,4/24,4/18,4/27,4/22,4/22,4/18,4/18,5/4,4/23,4/26,4/17,4/26,4/28,4/23,4/21,4/20,4/28,4/24,4/26,4/26,4/29,4/24,4/28,4/24,4/23,4/18,5/6,4/25,4/29,4/23,4/27,4/14,4/13,4/17,4/21,4/23,4/21,4/24,4/28,4/23,4/12,4/20,4/22,4/15,4/11,4/16,4/13,4/23,4/24,4/20,4/12,4/13,4/25,4/20,4/24,4/23,4/13,4/9,4/11
宮古,4/22,4/16,4/12,4/18,4/20,4/19,4/14,4/20,4/18,4/18,4/15,4/20,4/30,4/17,4/20,4/16,4/20,4/25,4/19,4/19,4/16,4/25,4/20,4/21,4/23,4/26,4/19,4/22,4/23,4/17,4/16,5/7,4/21,4/22,4/18,4/20,4/13,4/11,4/17,4/21,4/20,4/17,4/22,4/25,4/22,4/14,4/17,4/23,4/15,4/8,4/17,4/10,4/18,4/23,4/21,-,-,-,-,-,-,-,-,-
